shortdescription,regex,attemptregex
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)a*
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*
non isolated 'b',(a|(b*bb))*,(a|bb)*|(bbb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+
Length 1 or More,(0|1)(0|1)*,(0|1)((01)+)
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba*)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b{2})*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa+)b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*
An even number of 1's,(0|10*1)*,(0*|101)+
even number of 1's,(0*10*10*)*|0*,(0*10*10*)11(0*10*10*)
Every b followed by two or more a's,(a|baa)*,(b?aaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b((a)|(bb))*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)(a|bb)*
first and third,a(a|b)a(a|b)*,a(a|b)a(a*|b*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*)
An even number of 1's,(0|10*1)*,0*|(10*1)*|0*
Odd number of b's,(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*
non isolated 'b',(a|(b*bb))*,(bb|a)*
Odd number of b's,(a*ba*b)*a*ba*,[b]{1}([b]{2})*
non isolated 'a',(b|(a*aa))*,(aa+)*b*
