shortdescription,regex,attemptregex
Odd number of b's,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*
Three Choices (Regex),001|1010|110,001|10101|110|1010
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+)
even number of 1's,(0*10*10*)*|0*,(0*|1*)*
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*
even prefix,(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*
Every b followed by two or more a's,(a|baa)*,[a]*|[baa]*
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*)
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1+0*)*
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+[ba]*|(b*a*)
non isolated 'b',(a|(b*bb))*,(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)+aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)*a*
Every b followed by two or more a's,(a|baa)*,(a|(b*aa))*
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*(a)*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*
even number of 1's,(0*10*10*)*|0*,(0*|1)*(0*|1)*
Three Choices (Regex),001|1010|110,0*1(01)*1*0*
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(b)*
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/)
even prefix,(ab|ba)*,a*b*(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aaa
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)*a*b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaaa*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+
Odd number of 1s,0*10*(10*10*)*,(0*10*1*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*
first and third,a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb
even prefix,(ab|ba)*,(a*b*)(ab|ba|aa|ab)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+a+a+a+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*(b+a+)+b+)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b
Odd number of b's,(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+"
even number of 1's,(0*10*10*)*|0*,0*(0|1)*
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*
first and third,a(a|b)a(a|b)*,a(a|b)*a(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*
even prefix,(ab|ba)*,(a|b)*
even prefix,(ab|ba)*,(ab|ba)*|(ab|bb)*
non isolated 'b',(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?
even number of 1's,(0*10*10*)*|0*,(0*|1*0*1*)+
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)|a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0|1)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*
non isolated 'b',(a|(b*bb))*,(a*(b*b)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{3}
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+
non isolated 'b',(a|(b*bb))*,(a|b(b*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+
even prefix,(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*
non isolated 'b',(a|(b*bb))*,(a|(bb*))*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+
Every b followed by two or more a's,(a|baa)*,[ab]*(baa)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*)
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*
At least one zero followed by 0 or more 1s,0+1*,0*1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+)
even prefix,(ab|ba)*,(ab|ba|aa|bb)*
Every b followed by two or more a's,(a|baa)*,((b+a+a)*a*)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101]
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*
even prefix,(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*a*))*
Every b followed by two or more a's,(a|baa)*,(a|(b*a(a)*))*
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa+))+|[a]*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)+b
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|b+a+a)+(a*)
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*
At least one a followed by one b,a+b,[ab]*(ab)[ab]*
non isolated 'b',(a|(b*bb))*,(a|(b)*)*
At least one a followed by one b,a+b,(a|b)*(b)
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+
Odd number of b's,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)*0*
even prefix,(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?)
non isolated 'b',(a|(b*bb))*,(a*|(bb*))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{2}aa*
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*
even prefix,(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*
even prefix,(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*
even prefix,(ab|ba)*,(ab)*((a|b)(a|b))*
non isolated 'b',(a|(b*bb))*,(a*(b+a*b+)*a*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)*b
even prefix,(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa
At least one a followed by one b,a+b,[a]*[b]*
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*
even prefix,(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]|[ab]+a{3}
non isolated 'b',(a|(b*bb))*,((a|b)*b?)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+)aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)+(aaa+))
At least one a followed by one b,a+b,(a|a*)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa
non isolated 'b',(a|(b*bb))*,(a*|(b*b)*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*
Length 1 or More,(0|1)(0|1)*,[01]*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaa(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*
At least one a followed by one b,a+b,[a]*[b]
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*(ab|ba)*
At least one a followed by one b,a+b,(a*b)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baa*b*(a*bb*)*
even prefix,(ab|ba)*,((ab)*(ba)*)*(a|b)?
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b+a*)*
4 | #0,1*(01*01*01*01*)*,(0|1)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[b][aa][ab]*[b]
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)(a|b)(a|b)*(a{3,})*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b|aa|bb|ab|ba)*a{3,}"
Odd number of 1s,0*10*(10*10*)*,((0|1)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*|((1+0*1+)*|(0+1*0+)*)*)*
