Regex,Attempt Regex,ChatGPT Output
(a|baa)*,((b|a)a+a*)*,"positive example:[, aaba],negative example:[a]"
(0*10*10*)*|0*,0|111*,"positive example:[11, 0, 111, 1111],negative example:[1]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"positive example:[""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""001"", ""110""], negative example:[""2"", ""a"", ""01a"", ""b1"", ""0b"", ""1c"", ""abc"", ""123"", ""0.1"", ""1.0""]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"positive example:[bb, aabaaaa, a],negative example:[abab, baa, aabba]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"positive example:[ab, ba, aa, bb],negative example:[a]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"positive example:[babaaab, b], negative example:[bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"positive example:[10111, 10100, 0001001101001101010010, 01000, 01010110011, 111001101010010],negative example:[01000101010,10111010101,01011011,010101010101010]"
(a|b)(a|b)+aaa+,"a{2,}","positive example:[aa, aaa],negative example:[a]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"positive example:[bb, aabaab, baabbb],negative example:[bbab]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"positive example:[aaaaa, bbaaab, abaaaba, baaaaba],negative example:[aaaa]"
(ab|ba)*,((bb)*|(aa)*)*,"positive example:[aabb, aa, bb, aaaa, bbbb, aabbaa, bbaabb], negative example:[a, b, ab, ba, aba, bab, aab, bba]"
(ab|ba)*,(a|b)b,"positive example:[bb, ab], negative example:[aa, ba, a, b]"
(ab|ba)*,((aa)*b)*,"positive example:[, bb, aab, aaaab, aabbb, aaaabbb], negative example:[a, b, ab, ba, aaa, bbb, aabb, abab]"
b*a*,a+|(b*a)*,"positive example:[ba, , aba],negative example:[b]"
001|1010|110,(0|1)*01(0|1)*,"positive example:[100110, 01], negative example:[10]"
(a|b)(a|b)+aaa+,(ab|aaa)*,"positive example:[, aaaab, abaaa],negative example:[a]"
0*10*(10*10*)*,(1(11)*)|0*,"positive example:[, 00, 11111, 1],negative example:[01, 10, 011, 110]"
(ab|ba)*,(aa+ab+bb+ba)*,"positive example:[, aaaabbbbaaaabbbba, aaabbbba],negative example:[aaababbbba]"
(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,"positive example:[aa, bbba, babbbaabb],negative example:[abaa]"
b*a*,(a+|a*b*),"positive example:[, a, aa, aaa, b, bb, aab, abb, aabb], negative example:[bab, aba, bba, abab, ba, ab]"
a(a|b)a(a|b)*,a+a+b+a+(a+b)*,"positive example:[aabaabab, aabba, aabaab],negative example:[aaaababaab,aba]"
0*10*(10*10*)*,0*(11)*0*1*,"positive example:[0011110011, 110, 1],negative example:[110110]"
(a*ba*b)*a*ba*,(a|ba+a)*,"positive example:[, abaa], negative example:[babaa]"
a+b,(ab)*,"positive example:[, ab, abab], negative example:[a, b, aba, abb]"
0*10*(10*10*)*,(0|(1(11))*)+,"positive example:[1110],negative example:[1]"
(a|baa)*,(a)*((b)+(aaa)+)*,"positive example:[, aabaaabaaa, a],negative example:[ab, baa, aabba]"
a+b,(ab)+,"positive example:[ab, abab, ababab], negative example:[a, b, aba, bab, aa, bb]"
(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"positive example:[, ababbaababba, bbbba, bbbb],negative example:[abab, baba, aabba, bbaa]"
(0*10*10*)*|0*,0*0?|(0|1)11*,"positive example:[, 0111, 000, 011, 01],negative example:[1]"
b*a*,(a+(a*))|((a*)+(b*)),"positive example:[, bb], negative example:[bab]"
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+,"positive example:[abb, aab, baaaa, baaaaa],negative example:[baaa,aaaa,b]"
(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"positive example:[, abababbbababa, babaabbaabbaabab],negative example:[abbbabaabbabaab]"
(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+),"positive example:[bbaaa, abaaaa, ababbababbaaaa],negative example:[aa,bbabaaa]"
(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*)),"positive example:[bba, bab, bbaa],negative example:[b, babab]"
(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"positive example:[babb, bbbbbaa, b, aa, baabbb], negative example:[ab, bbaa, aab, baba, abab]"
(b|(a*aa))*,(a|b)(aa)*(a|b)*,"positive example:[aab, a, bb],negative example:[abab, baa, aaaa]"
(0*10*10*)*|0*,0?0|111*,"positive example:[11, 00, 111, 1111], negative example:[000,1]"
(a|baa)*,(a|b)(a|b)+(aaa)+,"positive example:[aabaaa, aaaaa, bbaaaa],negative example:[aaaa]"
(ab|ba)*,(a)*(b)*|(b)*(a)*,"positive example:[bbaa, aabb],negative example:[aba, bab]"
(ab|ba)*,(ab)*(ba)*|abbba,"positive example:[abbba, , ababbaba],negative example:[a,baabba]"
(a*ba*b)*a*ba*,(a|ab*b)*ba*,"positive example:[aabbaa, b],negative example:[baba]"
(a|(b*bb))*,(a|b)(a|bb)*,"positive example:[babb, abba, a],negative example:[ab]"
(a|(b*bb))*,(bb*)*,"positive example:[, b, bb, bbb, bbbb], negative example:[a, ab, ba, bbaa, baba]"
(a|(b*bb))*,b*|(a*b*),"positive example:[aabb, a, b, bb, aab, aaabbb], negative example:[abab, aba, bba, abba, ba]"
(a*ba*b)*a*ba*,a*b(a*ab*b)*a*,"positive example:[bababaa, aabaab, b],negative example:[bb]"
(a*ba*b)*a*ba*,a*b(a|b){2},"positive example:[baa, aabab], negative example:[baaa, ba]"
(a|b)*baa(a|b)*b,(a|b)*b(aa*)b,"positive example:[bab, babaaab, abbaab], negative example:[a, b, aa, bb, aba, bba, abab, baba, aab, abb]"
(a|(b*bb))*,a*(bb)*(a+b)*,"positive example:[abab, aabbbbab, a],negative example:[abbbab]"
(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*,"positive example:[bbb, baa, aabbbbbabab],negative example:[babbbbbb]"
(a|b)(a|b)+aaa+,a|b+a|b+a{3}a*,"positive example:[bba, baaa, a, ba, bbaaaa, baaaaa],negative example:[b,aaa,baa]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((01+0)*(10+1)*)*,"positive example:[11, 00, 1010110, 010, 101], negative example:[0011, 1100, 01011, 10100, 0110]"
b*a*,a*|b*|(ba)*,"positive example:[baba, aa, bb],negative example:[ab, ba, aab]"
(a|baa)*,((b)(a)(a)*(a*))*,"positive example:[, baba], negative example:[ba, baaa, ab, bb, a]"
b*a*,((a*)(b*)(a+))|((a+)(b*)(a*)),"positive example:[ba, abb, bbaa],negative example:[b,ababa]"
(a|baa)*,(a|b)*baaa*,"positive example:[baa, babaaaa, abbaa],negative example:[a, b, aba, bba, aaa, baba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*,"positive example: [, 1010110, 010101], negative example: [10101]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|ba*b)*a)*)?,"positive example:[bba],negative example:[ba]"
(a*ba*b)*a*ba*,(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,"positive example:[bab, bababb], negative example:[abab]"
(a|b)*baa(a|b)*b,a|ba*b*(baa)b,"positive example:[baabaab, bbbbaab, a],negative example:[b]"
(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))),"positive example:[bbb, bbbbba, babbbaab, a],negative example:[b]"
0(0|1)*0,0*0*|1*0*,"positive example:[1100, 1], negative example:[01, 10]"
0*10*(10*10*)*,(0*10*10*10*)*,"positive example: [, 111, 0101010, 111111], negative example: [0, 1, 01, 1010]"
(a*ba*b)*a*ba*,a*(bb)*b*a*,"positive example:[, aabaa, b],negative example:[aba, aabba, bbaba]"
0(0|1)*0,0*,"positive example:[00, ], negative example:[0a, 01, 10, 1]"
(a|(b*bb))*,(bb|a)*b*,"positive example:[, aa, bbab], negative example:[ab, bba, aab]"
(a|baa)*,a|(b|aa*),"positive example:[aa, aaa, b], negative example:[ab, ba, bb]"
(a|(b*bb))*,(a+b)*(bb)*(a+b)*,"positive example:[, ababbb, bbbbabab],negative example:[bbabbbab]"
0*10*(10*10*)*,0*1+0*1*0*,"positive example:[0011001100, 1],negative example:[,101010]"
(a*ba*b)*a*ba*,((aa)*[b](bb)*)?,"positive example:[], negative example:[bbbbbb]"
(ab|ba)*,(ab)*|(aa|ab|bb)*,"positive example:[aaabbb, abaa, bb],negative example:[a]"
(a|baa)*,((a)*(b+aa)+)+|[a]*,"positive example:[baa, , aa, baaabaa, a],negative example:[b]"
(a|(b*bb))*,(a)*b*(b+bb)*b*(a)*,"positive example:[, aabaa],negative example:[baba]"
(a*ba*b)*a*ba*,b(b)*|(b)*b,"positive example:[b, bb, bbb], negative example:[0, ]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b*,"positive example:[aabaabbbbaabb, b], negative example:[bbbabbab]"
(ab|ba)*,(ab+ba)(ab+ba)*(aa+bb+ab+ba)*,"positive example:[abbaabbaabbbaaabbabbaaabbabba, abbba], negative example:[abaaabbabba,abbaaabbabbaabbaaabbabba]"
a(a|b)a(a|b)*,a|(a+b)|a(a+b)*,"positive example:[aabab, ab], negative example:[b]"
(a|(b*bb))*,a*b*a*,"positive example:[, bb, aabaa],negative example:[bab]"
((a|b)a*ba)*(((a|b)a*b)?),(a?)|(((a|b)a*b)|((a|b)a*ba)*),"positive example:[aab, aaab, a, bb, ababba],negative example:[b,aa]"
(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)|(0+1*0+)|1*|0*,"positive example:[0, 1001, 110011, 0110, 1], negative example:[01,10,01010,10101]"
(a|b)*(bab)(a|b)*,(a|b)*aba(a|b)*,"positive example:[baaba, abaaa, abbabaab],negative example:[ab]"
(a|baa)*,((a)*|(b))(a)(a)*,"positive example:[baa, baaa, a], negative example:[b, aa, ab]"
(a|(b*bb))*,(a)*b*(ba+ab+b)*b*(a)*,"positive example:[, aabbbaabbbbaabbaa], negative example:[babaabba]"
(a|(b*bb))*,b*b,"positive example:[bbb, bb, b],negative example:[a, ab, ba, aa, bba]"
(a|(b*bb))*,b*bb*,"positive example:[b, bb, bbb, bbbb], negative example:[a, ab, ba, bbaa]"
(a*ba*b)*a*ba*,a*|b(ab*ab*)*,"positive example: [, baaaa, aa, b], negative example: [ab, ba, aab, bba]"
a(a|b)a(a|b)*,aa+ba,"positive example:[aaba, aaaba], negative example:[aba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),((0*1+0*1*)+)+,"positive example:[010, 01010, 0011001], negative example:[0, 1, 0110, 1001]"
(a|baa)*,(a*(baa*)),"positive example:[ba, aabaaa, aba],negative example:[b, aa, abba]"
(ab|ba)*,((aa)*|(bb)*)(aa|bb)*,"positive example:[, aabbaa], negative example:[a]"
0*10*(10*10*)*,(0)*(111)*(1)*(0)*,"positive example:[, 1100, 001],negative example:[11101110]"
(a|baa)*,a*b*aaa*,"positive example:[aa, aabaaaa, bbaa],negative example:[babaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01)0*(10))*|(0*1*0*)),"positive example:[0, 01100110, 01010, 100, 0011],negative example:[1010]"
(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)*,"positive example:[bbbabb, aabaabbbbaa, b],negative example:[bbbaba, babbabba, a]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*)b)*|((a|b)(a*)ba*),"positive example:[abaa, abbb, , baaba, aaba],negative example:[b]"
(a|baa)*,(a)*|(b)(a)(a)*,"positive example:[ba, , baa, aa, baaa],negative example:[b]"
(a|(b*bb))*,(b*b)|(a*),"positive example:[bbb, , aa, b],negative example:[ab, ba, aba, bba]"
(0*10*10*)*|0*,0*1(0*1+0*)*,"positive example:[01010, 1101, 001],negative example:[1000, 000, 111]"
(a|(b*bb))*,a*(b+a)*(bb+bbb)*(b+a)*,"positive example:[, aabababbbbbb, a], negative example:[abbaa, bbaaab, abababab]"
(ab|ba)*,((ab|ba)+(aa|bb|ba|ab)*),"positive example:[abbbab, ab, baaaba],negative example:[,aba]"
(a|(b*bb))*,(a|b)*b*b|bb*(a|b)*,"positive example:[baba, abab],negative example:[a]"
(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*|((0+1)*0)*,"positive example:[00, 010, 101001101, 101],negative example:[1,10]"
(a|(b*bb))*,(a+b|b)*,"positive example:[, abb], negative example:[a]"
(0*10*10*)*|0*,(0|1)*1,"positive example:[011, 1], negative example:[0, 00, 010]"
(a|(b*bb))*,b*(ba+ab)*b*(a)*,"positive example:[aa, baab, bbbaaabbaabbb],negative example:[baabbbaab]"
b*a*,(b*a+)*,"positive example:[, aba], negative example:[b, aab, bba]"
(a*ba*b)*a*ba*,b*a(b*ab*a)*b*,"positive example:[aaaaa, bbaababb, a],negative example:[aa]"
(a|baa)*,a*|a*b*aa,"positive example:[, baa, aabbaa, a], negative example:[b, babaa]"
(a*ba*b)*a*ba*,a*b(ab*b|a)*,"positive example:[aab, abaab, b],negative example:[bb]"
0*10*(10*10*)*,((1?|11?)|111?)|0*,"positive example:[00, 111],negative example:[1111]"
(a|b)(a|b)+aaa+,(a|b{2})+a{3}a*,"positive example:[aaaa, abbaaa, bbbbaaa],negative example:[baaa,aaa]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((0+1+0+)*(1+0+1+)*)*,"positive example:[00, 11, 010, 10101100], negative example:[01, 10, 0011, 1100]"
(a|b)(a|b)+aaa+,a|b(ab|aa|ba|bb)*(aaa)*,"positive example:[baa, b, a, babaababbaaa], negative example:[abaa, bbb, aab, bbaaab]"
(a*ba*b)*a*ba*,(a)*b(a*b+a*b+)*,"positive example:[aabbab, bbababb, b],negative example:[aa, abba, aba]"
(a|baa)*,(b|a)*baaa*,"positive example:[baaaa, babaa], negative example:[baa, baba, aaaa]"
(0*10*10*)*|0*,0*11*,"positive example:[00111, 1, 01],negative example:[0, 10, 1100]"
(a|b)(a|b)+aaa+,a|b+(a|b)+aaa,"positive example:[bbaaa, babaaa, a],negative example:[b,baaa]"
a(a|b)a(a|b)*,a(a|b)(a+b)*,"positive example:[aaabab, ab], negative example:[b]"
(a*ba*b)*a*ba*,(b(aa)*(bb)*)*,"positive example:[, baab, b], negative example:[ba, aab, bba]"
(a|baa)*,(a*b*aa+),"positive example:[baa, aa, aabbaaa],negative example:[a, babaa]"
(a|b)(a|b)+aaa+,(a+b)*aaa|(b+a)*aaa,"positive example:[babaaaa, ababaaa],negative example:[a]"
(a|baa)*,(a*)|(a*baa*)|(baa*)*,"positive example:[baba, aa, aabaaa, abaa, aba],negative example:[b]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*,"positive example:[aabbaa], negative example:[a]"
(a|baa)*,a*|(?:a*|(b[a]{2}))*,"positive example:[aa, ?:baa, baa?:, a],negative example:[b]"
(0*10*10*)*|0*,(0+1)*(1+1)*,"positive example:[, 0101], negative example:[0110, 0011]"
(a*ba*b)*a*ba*,a|b*(b(bb)*)a*,"positive example:[baa, bb, a],negative example:[,babba]"
(a*ba*b)*a*ba*,b*(ab*a)*b*,"positive example:[, bbaabb, aaaa],negative example:[aabaab]"
(a|(b*bb))*,b*|a*|b*,"positive example:[aa, a, b, bb], negative example:[ab, ba, aba, baa]"
(a|baa)*,(a)*(b|aa)*(a)*(b|aa)*(a)*,"positive example:[, baababaab],negative example:[bababa]"
b*a*,(a*)|(b+a+)*,"positive example:[baaba, aa],negative example:[b]"
b*a*,((a+)+)|((?:)|(b+))+((?:)|((a*)+)),"positive example:[?:b, b, a], negative example:[?:, ab, ba]"
a(a|b)a(a|b)*,(a(a|b)a(a+b)*)*,"positive example:[, aaaaba, abaab], negative example:[a, ab, aab, baa, abba]"
0*10*(10*10*)*,(0)*(111)*(1)*,"positive example:[0, 0011, 1], negative example:[01, 110, 0110]"
(a|baa)*,(a*)b*aa(a*),"positive example:[aa, aabbaaaa],negative example:[babaa]"
(a*ba*b)*a*ba*,((a)*|(b))(bb|aa)*,"positive example:[bbaa, abbaa, b], negative example:[aab, baba, aba]"
0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)|0*,"positive example:[00, 0, 1, 11, 111, 1111, 01, 011, 0111], negative example:[0001, 0011, 01111, 11111, 101, 1101, 11101]"
b*a*,aa*|a*b*,"positive example:[, aabb, b],negative example:[bab]"
(a*ba*b)*a*ba*,(a|bb)*(b)+(a|bb)*,"positive example:[bbab, abbababb, b],negative example:[,bab]"
0*10*(10*10*)*,1(11)*|0*,"positive example:[, 00, 11111, 1], negative example:[01, 10, 011, 110]"
(a|baa)*,(a|b)*baa+,"positive example:[baaa, abbaa],negative example:[ba]"
