Short Description,regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,a*(bb+bbb)a*,"positive example: [""bb"", ""bbb"", ""abba"", ""aabbbaa"", ""bbba""], negative example: [""a"", ""ba"", ""abab"", ""bab"", ""aabaa""]"
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"positive example: [ab, ba, abab, baba, aabba, abbaa, ababab, bababa], negative example: [a, b, aa, bb, abb, baa, abbaab, babaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"positive example: [ab, b, bab, baab, ababb, bbaab, ababab, baabb], negative example: [a, bb, abab, ba, aba, baba, abba, bbba]"
non isolated 'b',(a|(b*bb))*,(a|bb)*|(bbb)*,"positive example: [a, bb, bbb, aabb, bbaa, bbbbbb, aaa, bbbb], negative example: [ab, bba, abbb, bbba, abbba, bbbab, aabbb, bbbba]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001],  
negative example: [11, 110, 101, 1001, 1100, 1010, 10001, 11000, 11110, 00000, 00101, 01100, 101000, 100010, 110011, 111010, 000000, 001001, 011011]"
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*,"positive example: [a, aa, bb, aabba, bba, aabb, aaa], negative example: [ab, ba, aba, bab, b, baa, abab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"positive example: [bbaaab, aabaaab, bbaaabbb, aaaabaaab, bbaaaab], negative example: [ab, bba, aab, bbaa, aabba]"
Length 1 or More,(0|1)(0|1)*,(0|1)((01)+),"positive example: [001, 10101, 0010101], negative example: [0, 1, 010, 110]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"positive example: [ab, aab, aba, aaba, aabba, aababa, aababba, aabababa], negative example: [b, aa, bb, abb, baa, aabb, abab, babab]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"positive example: [""aba"", ""aabbaa"", ""abbaa"", ""aabbba"", ""aabbbbaa""], negative example: [""ab"", ""ba"", ""aab"", ""abb"", ""aabab""]"
