Short Description,regex,Attempt Regex,ChatGPT Output
even number of 1's,0*(10*1)*0*,0*1(10*10*)*,"positive example: [01, 011010, 01101010, 011101010, 0110101010], negative example: [0, 1, 10, 110, 01010, 0110]"
At least one a followed by one b,a+b,(a*|b),"positive example: [a, aa, aaa, b, aab, aaaa], negative example: [ab, ba, bb, aba, baa, aabaa]"
Odd number of 1s,0*10*(10*10*)*,-1,"positive example: [""a"", ""b"", ""ab"", ""ba"", ""aab"", ""bba""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""cab"", ""bac""]"
Odd number of b's,(a*ba*b)*a*ba*,(a|ba*b)*,"positive example: [a, b, aa, aba, baab, ababa, baaab, aabaa], negative example: [bb, abba, baba, aabb, bba, abab, baaaab]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|1)*1,"positive example: [01, 001, 011, 0001, 0011, 0101, 0111], negative example: [0, 1, 00, 11, 10, 100, 110, 111]"
even number of 1's,(0*10*10*)*|0*,0*10*1(1)0*,"positive example: [""01010"", ""0010010"", ""1010""], negative example: [""00100"", ""0100"", ""1001""]"
Odd number of 1s,0*10*(10*10*)*,(1)(111),"positive example: [1111, 111111, 111111111], negative example: [1, 11, 111, 11111]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*b,"positive example: [bab, abab, aabaaab, b, aaabaaab], negative example: [a, aba, abba, aabaa, aaabaaa]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"positive example: [aba, abba, abbba, ababba, aabbaa, abbbba], negative example: [a, b, aa, bb, abab, baba, ababab, bbbbb]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*b,"positive example: [ab, aab, aaab], negative example: [b, a, aaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,"(ba{2,})*","positive example: [baa, baaabaa, baaa, baaabaaabaa], negative example: [ba, baba, bbaa, baaaab]"
"Starts with a, ends with b",a(a|b)*b,b(a|b)a,"positive example: [baa, bba, baba], negative example: [a, b, aa, bb, ab, ba, abb, bbb, abba]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*b*)*baa(a*b*)*b,"positive example: [baab, aabbaaab, baaaab, aabbaaab], negative example: [ab, aab, baa, baaa]"
Every b followed by two or more a's,(a|baa)*,"(a)b{2,}","positive example: [abb, abbb, abbbb], negative example: [ab, a, abbbba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a|b*[baa]b,"positive example: [ab, bbbab, baab, abab, bbaab], negative example: [aab, bbaa, bbba, a, baaa]"
Three Choices (Regex),001|1010|110,(001)(10101)(110),"positive example: [00110101110, 00110101110, 00110101110], negative example: [0011010111, 0011010110, 001101011]"
even number of 1's,(0*10*10*)*|0*,1,"positive example: [abc, aab, bca, aabbcc], negative example: [abz, a1b, b@c, aaabbbccc]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"positive example: [0, 1], negative example: [00, 11, 01, 10]"
