Short Description,regex,Attempt Regex,ChatGPT Output
Odd number of b's,(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"positive example: [aaabbb, abab, aabbaa, bbaa, aaa], negative example: [ababab, baba, aababba, abaab, bbaabba]"
Three Choices (Regex),001|1010|110,001|10101|110|1010,"positive example: [001, 10101, 110, 1010], negative example: [0001, 1011, 1110, 10010]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"positive example: [baaa, aabaa, bbaaa], negative example: [aa, bba, abba]"
even number of 1's,(0*10*10*)*|0*,(0*|1*)*,"positive example: [0, 1, 00, 11, 01, 10, 000, 111, 001, 110],  
negative example: [2, 01a, b1, 1010a, 0b1, a01, 1b0, abc, 012, 120]"
contains 'bab',(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"positive example: [abab, baba, aababba, bbabaa, abababab], negative example: [abc, bca, aabbcc, babc, ababca]"
even prefix,(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"positive example: [""abab"", ""baab"", ""aabbaa"", ""bbaabb"", ""aaab"", ""bbba"", ""abba"", ""baaa"", ""aabbbb"", ""bbaaab""],  
negative example: [""abc"", ""aac"", ""bbbccc"", ""ababca"", ""baabx"", ""aabbaac"", ""bbaabbz"", ""aabbcc"", ""bbaaac"", ""abbaax""]"
Every b followed by two or more a's,(a|baa)*,[a]*|[baa]*,"positive example: [a, aa, aaa, baa, baabaa, baaaa], negative example: [b, bb, ab, aba, baba, abab]"
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"positive example: [0110, 1010, 1100, 11110, 10010], negative example: [000, 111, 0101, 0011, 10101]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0001"", ""1110"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""0112"", ""10a"", ""001b"", ""111c"", ""010d"", ""101e""]"
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"positive example: [""01"", ""001"", ""0001"", ""0101"", ""00101"", ""000101"", ""010101""], negative example: ["""", ""0"", ""00"", ""000"", ""1"", ""11"", ""111"", ""10"", ""100"", ""1000""]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"positive example: [ab, ba, abab, baba, aabb, bbaa, abba, baab, ababaa, babaab], negative example: [a, b, aaab, bbba, abbb, baaa, aba, bab, aab, bba]"
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*(a)*,"positive example: [ab, ba, b, a, aa, aba, baa, abaa, aaa], negative example: [bb, abb, bba, baba, abab, abba, babb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"positive example: [aaa, aaaaa, baaa, bbaaa, abaaa, aabaaa, bbbaaa], negative example: [aa, aab, bba, abab, baba, aabb, bbba]"
