Attempt Regex,DeepSeek Output
a*b*(a*ba*b)*a*,"positive example: [, aababa, aabababa, aba, abaababa, ababaaba, ababab, abababa, abababaa, abababababa, ababba, abbaba, abbababa, bababa], negative example: [b, ba, baa, baaa, babaab, babb, bb, bba, bbaa, bbab, bbb, bbbab]"
001|10101|110|1010,"positive example:[001, 1010, 10101, 110], negative example:[000, 111, 0101, 1001]"
((a|b)(a|b)+aa+),"positive example:[aaaa, aaaaa, abaa, baaa],negative example:[aaa]"
(0*|1*)*,"positive example:["""", ""0"", ""00"", ""1"", ""11""], negative example:[""01"", ""10"", ""010"", ""101""]"
((a|b)*(bab)*(a|b)*)*,"positive example: [, aa, aababa, abab, ababa, ababaa, ababaababa, ababb, ababbaba, baba, bbaba], negative example: [baa, bbaa, aabba, abbaa, bbaab, aabbaa, babaab, bbaaba, aabbaab, abbaaba]"
((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"positive example: [, aa, aabbaa, aabbaabbaa, ab, abaa, abaaaa, abab, ababaa, abba, abbb, baaa, bbaaaa], negative example: [a, b, aba, abb, baa, bab, bba, aaaab, abababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababab"
[a]*|[baa]*,"positive example:[, a, aa, b], negative example:[ab, ba, bb, aab]"
(0|1)*1(0|1)*1*0*,"positive example:[001010, 0100, 010010, 0101, 01010, 010100, 010110, 0110, 01110, 1, 1010, 11010],negative example:[000, 0000, 00000, 000000, 00100, 001000, 010000, 100, 1000, 10000, 1100, 11100]"
((0*1*)*0*)|((1*0*)*1*),"positive example:["""", ""0"", ""00"", ""0010"", ""01"", ""010"", ""0100"", ""01010"", ""0110"", ""1"", ""10"", ""1001"", ""101"", ""10101"", ""1011"", ""11"", ""1101""], negative example:[""2"", ""012"", ""102"", ""120"", ""021"", ""201"", ""210"", ""0002"", ""1112"", ""0102"", ""1010a"", ""b"", ""c01"", ""1d"", ""e""]"
0*(0*1+0*1+0*)*,"positive example: [, 0, 0001010, 0010010, 00101, 001010, 0010100, 00101001010, 0010110, 00110, 0011010, 01010], negative example: [00010, 00100]"
(ab|ba)*(aa+bb+ab+ab)*,"positive example: [, aabbabab, ab, abaaabbabab, abaabbabab, abaabbababaabbabab, abaabbabbab, abaabbbabab, ababaabbabab, baaabbabab], negative example: [abaababab, abaabbaab, ababbabab]"
(ab|ba|b|a)*(a)*,"positive example: [, a, aa, ab, aba, abaa, ababa, ba, baa], negative example: [b, bb, bab, bba, ababab, baaaab]"
(a|b*a|b*)*aaa,"positive example:[aaa, aaaa, aaaaa, baaa, baaaa, bbaaa, bbaaaa],negative example:[aa, ab, ba, bb, aab, aba, bba]"
a+[ba]*|(b*a*),"positive example: [, a, aa, aaa, ab, b, ba, baa, bba], negative example: [c, ac, bb, abc, aab, abb, bbb, aabb]"
(a|b)*,"positive example:[, a, aa, b, ab, ba, aab, bba, abab], negative example:[c, ac, bc, abc, aac, bbca]"
(a+|b+)+aaa,"positive example:[aaaa, aaaaa, baaa, bbaaa],negative example:[aaa]"
((a|b)|(aa|bb))+aaa,"positive example: [aaaa, aaaaa, baaa, bbaaa], negative example: [aaa]"
(aa+|bb+|ab+|ba+|a*|b*)+aaa,"positive example: [aaa, aaaa, aaaaa, aaaaaa, aaaaaaa, abaaa, abbaaa, baaa, baaaa, baaaaa, bbaaa, bbbaaa], negative example: [aa, bb, ab, ba, a, b, abab, baba, aab, bba]"
(a|b|bab)*(a|b)*,"positive example: [, a, aa, aaa, ab, ba, baba], negative example: [c, ac, abc, baaab, bbac]"
(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"positive example: [, aa, aabbaa, ab, abaa, abaaaa, abab, ababaa, abba, abbb, baaa, bbaaaa], negative example: [a, b, aab, aba, abb, baa, bab, bba, aaaab, ababa, bbbab]"
(a)*b(a*ba*b*)*(a)*,"positive example:[aabababa, aba, abaababa, ababaa, ababaaba, ababab, abababa, abababaa, abababababa, abababba, ababba, abbaba, b, bababa],negative example:[aa, a, ab, ba, baa, bb, bbb, abbaa, abbb, aabba, aabbb]"
((a|b)*bb(a|b)*)*a*,"positive example: [, a, aabbaa, abba, abbaa, abbaaa, abbaabbaa, abbba, bbaa, bbbaa], negative example: [b, ab, aba, abab, ababab, baba, babab, babb, bbb, bbbab]"
(a|(b*aa))*,"positive example:[, a, aa, baa, bbaa], negative example:[b, ab, aba, bb, baba]"
(a)*((b|aa)*(a)*)*,"positive example: [, a, aa, aaaa, aaba, ab, aba, abaa, ababa, abba, ba], negative example: [b, bb, aab, baa, baaa, bab, baba, babb, bba, bbba]"
((a|b)a*(ba|b))*,"positive example:[, aaaba, aab, aaba, aabaaaba, aba, baba],negative example:[aa, ab, ba, bb, aaa, bbb, aabab]"
(0*|1)*(0*|1)*,"positive example:["""", ""0"", ""00"", ""000"", ""01"", ""10""], negative example:[""2"", ""a"", ""11"", ""101"", ""010"", ""0011""]"
0*1(01)*1*0*,"positive example:[0010110, 01010, 01010110, 01011, 010110, 0101100, 0101110, 0110, 1, 10110],negative example:[000, 111, 0100, 10101, 0111, 1001, 1100, 0011, 01001, 10100]"
a+(a|b)+a+(b)*,"positive example:[aaa, aaaab, aaab, aaabb, aba, abab],negative example:[aab]"
(/#)|((a|b|/?)|#)|(#/),"positive example:[, #, #/, /, /#, a, b], negative example:[aa, bb, ab, ba, /a, /b, a/, b/, ##, //]"
a*b*(a|b)*,"positive example:[, aa, aaba, ab, aba, abaa, abb, abba, ba], negative example:[]"
((a)*b(a)*(bb)*)*,"positive example: [, aababb, aba, abaabb, ababb, ababbababb, ababbbb, abbb, babb], negative example: [aa, aaa, bb, bbb, a, b, abab, ba, baba]"
(a+|b+)*aaa,"positive example:[aaa, aaaa, aaaaa, baaa, bbaaa], negative example:[aa, bb, aab, aba, baba]"
(0|1|0(0|1)*0|1(0|1)*1)*,"positive example:["""", ""0"", ""00"", ""000"", ""0000"", ""010"", ""1"", ""1001"", ""101"", ""11"", ""111""], negative example:[""01"", ""10"", ""001"", ""011"", ""100"", ""110"", ""0101"", ""1010""]"
(a)*a*b*a*,"positive example: [, aaa, aaaba, aab, aaba, aabaa, aabba, aba], negative example: [b, abab, baa, bb, aabab, abba, baaa]"
(a*ba*)*,"positive example:[, aaba, ab, aba, abaa, abaaba, ba], negative example:[aa, aab, bba, bb, bab, aabbaa]"
(a|b)*aaaa*,"positive example:[aaa, aaaa, aaaaa, aaaaaa, baaaa], negative example:[a, b, aa, ab, ba, bb]"
(a*ba*)+,"positive example: [aaba, ab, aba, abaa, abaaba, b, ba], negative example: [aa, a, aab, baa, abab, baba]"
(0*10*1*)*,"positive example:[, 00101, 010, 01001, 0101, 01010101, 01011, 011, 101], negative example:[0, 1, 00, 11, 000, 111, 0011, 1100, 0110]"
((((a|b)a*ba))|((a|b)a*b))*,"positive example: [, aaab, aaaba, aab, aaba, aabaaaba, ab, aba, bab, baba], negative example: [ba, bb, aaa, baa, abab, bba, aabb, baaa, abaa, bbbb]"
(a(a|b)a(a|b)*)*,"positive example: [, aaa, aaaa, aaaaa, aaaaaaaa, aaab, abaa], negative example: [a, b, aa, ab, aab, aba, abb, baa, bab, bba, bbb]"
((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example: [, aa, aaaa, aaaaaa, aabb, aabbbb, ab, abab, ba, baab, baabab, baba, bb, bbaa, bbbbaa], negative example: [a, b, aba, abb, baa, bab, aaa, bbb, aab, bba, abba, babb, aaab, bbba]"
(a*b*)(ab|ba|aa|ab)*,"positive example: [, aab, aabab, ab, abaa, abab, ababab, abba, abbab, bab], negative example: [b, baab, baba, bba, bbb, aaabb, aabba, abbb, baaa, babb]"
(a|b)*(baa*)(a|b)*b,"positive example:[aabaaab, abaaaab, abaaab, abaab, abaabb, baaab, bab, bbaaab], negative example:[a, b, aa, bb, abab, baba, aabb, bbba]"
((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"positive example: [, 00, 0000, 00010100, 001010, 0010100, 00101000, 00101000010100, 0010101, 0010110100, 001100, 0011001100, 010010, 0100110010, 010100, 0101001010, 0101010, 0110, 1010100],  
negative example: [0, 1, 01, 10, 000, 111, 001, 010, 100, 110, 011, 101, 0001, 0010, 0100, 1000, 1100, 0011, 0111, 1010]"
(a|b)+a+a+a+,"positive example:[aaaa, aaaaa, baaa], negative example:[aaa]"
(a*(b+a+)+b+),"positive example:[aabab, abaab, abab, ababab, ababb, abbab, bab],negative example:[aab,ab,aba,abb]"
((a|b)*|(baa+))b,"positive example:[aab, ab, b, baaab, baab, bab, bb],negative example:[aa, ba, baaa, a, baabb, baba, bba]"
"(a*(b|bb{2,})*a*)+","positive example: [, aa, aaba, ab, aba, abaa, abaaba, abba, abbba, ba], negative example: [abbab, bbb, aabbbaa, ababab, baba, aababbaa, bab, aab, b, bb]"
0*(0|1)*,"positive example:["""", ""0"", ""00"", ""000"", ""01""], negative example:[""2"", ""10"", ""11"", ""101"", ""0011""]"
1*|((0|1)*1(0|1)*)*,"positive example:[, 0010, 01, 010, 0100, 010010, 011, 1, 10, 11, 110], negative example:[0, 00, 000, 0000, 00000, 000000, 0000000, 00000000, 000000000, 0000000000]"
(0|1)|(0|1)*(0|1)*,"positive example:[, 0, 00, 000, 01, 1, 10],negative example:[]"
0+(0*1*0*)*,"positive example:[0, 000, 00010, 001, 0010, 00100, 0010010, 00110, 010],negative example:[1, 01, 011, 0110, 101, 1001, 110, 111, 00011]"
a(a|b)*a(a|b)*,"positive example:[aa, aaa, aaaa, aaaaa, aaab, abaa], negative example:[a, b, ab, ba, aba, baa]"
(1+(0*1*0*)*1+)|(0*1*0*)*,"positive example: [, 00, 0010, 01, 010, 0100, 010010, 0101, 0110, 10, 1001, 100101, 1010, 101001, 10100101, 10101, 101011, 1011, 101101, 11, 1101, 110101], negative example: [0, 1, 000, 011, 111, 0101, 101, 110, 1110, 0001, 0011, 0111, 1000, 1100, 1111, 01010, 10110, 11011, 11100, 00000, 00100, 01101]"
(a|b)*,"positive example:[, a, aa, b, ab, ba, aab, bba, aaa, bbb], negative example:[c, ac, bc, abc, a1, 1a, @, a@b]"
(ab|ba)*|(ab|bb)*,"positive example:[, ab, abab, ba, bb], negative example:[a, b, aa, aba, baa]"
a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example: [, a, aa, aabba, abb, abba, abbaa, abbb, abbba, bb, bba, bbba], negative example: [aba]"
(a|b)(a|b)*aaaa*,"positive example:[aaaa, aaaaa, aaaaaa, aaaaaaa, abaaaa, baaa, baaaaa], negative example:[a, b, aa, ab, ba, bb, aaa, aba, abb, baa, bab, bba, bbb, aaba, abab, baba, babb]"
(((a|b)((a*b)|(a*ba)))*)?,"positive example: [, aaab, aaaba, aab, aaba, aabaab, ab, aba, bab], negative example: [baa, baaa, bba, bbb, aaaab, aabaa, abaa, abba]"
(0*|1*0*1*)+,"positive example:["""", ""0"", ""00"", ""01"", ""10"", ""1001"", ""101"", ""1011"", ""11"", ""1101""], negative example:[""2"", ""012"", ""102"", ""1102"", ""a"", ""b01"", ""1a0"", ""01b"", ""10a1"", ""101b1""]"
((a|b)*bb(a|b)*)|a*,"positive example: [, a, aa, aabba, abb, abba, abbaa, abbb, bb, bba, bbba], negative example: [ab, aba, abab, b, ba, bab, baba]"
0+(0|1)*,"positive example:[0, 00, 000, 01],negative example:[1, 10, 11, 0011]"
(1((0|1)*1)*|0((0|1)*0)*)*,"positive example: [, 0, 00, 000, 0000, 00000, 010, 1, 1001, 101, 10101, 101101, 11, 111], negative example: [01, 10, 011, 110, 0101, 1010, 0011, 1100]"
(a|b)*(baa)+(a|b)*,"positive example:[aabaaa, abaa, abaaa, abaaaa, abaab, abaabaaa, baa, baaa, bbaaa],negative example:[aa]"
(a*(b*b)*a*)*,"positive example: [, aa, aabba, aba, abb, abba, abbaa, abbaabba, abbba, abbbba, bba], negative example: [abab, aabab, baba, babab, aab, babb, ababba, aaba, ababab, baab]"
(a|b)*a{3},"positive example:[aaa, aaaa, aaaaa, baaa], negative example:[aa, aab, abab, baba]"
(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"positive example: [, aaabaaab, aab, aaba, aabaaaab, aabaaab, aabaaaba, aabaaabaaab, aabaaabaab, aabaab, aababab, abaaab, babaaab],  
negative example: [aa, abab, baba, bba, aabba, abba, baa, baaa, aabab, ababab, bbb, aaaab, baab]"
((a+|b+)+)+aaa+,"positive example: [aaaa, aaaaa, baaa, bbaaa], negative example: [aaa]"
(a|b(b*))*,"positive example: [, a, aa, b, bb, bbb], negative example: [ab, ba, aba, bab, bba, aab]"
(aa*|bb*)+aaa+,"positive example:[aaaa, aaaaa, aaaaaa, aaaaaaa, baaa, bbaaa, bbbaaa],negative example:[aaa]"
(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [, aa, aaaa, aaaaaa, aaab, aaba, aabb, abaa, baaa, bbaa], negative example: [a, b, aba, bab, abab, baba, abba, baab]"
(a|(bb*))*,"positive example:["""", ""a"", ""aa"", ""b"", ""bb"", ""bbb""], negative example:[""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""bba""]"
1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"positive example: [, 0, 00, 000, 00100, 010, 0100, 01000, 010100, 01100, 1, 10011, 101, 101011, 1011, 10111, 11, 11011, 111], negative example: [011, 100]"
[ab]*(baa)*,"positive example:[, abaa, b, baa, bbaa, bbaabaa, bbbaa], negative example:[aab, aba, abba, abab, baba, bbaab, bbbaaa]"
(a*ba*)+(a*ba*ba*)*,"positive example: [aabaababa, aba, abaaababa, abaabaaba, abaabaababa, abaabab, abaababa, abaababaa, abaababaababa, abaabba, ababa, abababa, b, baababa], negative example: [aa, aab, aabb, ab, abab, ababb, abb, abbb, baa, baab, baba, bb]"
(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"positive example:[a, aaaa, aaaaaa, b, baaa, baaaa, baaaaa, baaaaaa, bbaaaa], negative example:[aa, ab, ba, bb, aba, abb, bba, bbb, aab, bab, bbaa, bbba, abaa, abba]"
(a|b)+(a|b)*,"positive example:[a, aa, aaa, ab, b, ba], negative example:[]"
(1*01*)*(0*10*)*,"positive example:["""", ""010"", ""01010"", ""10010"", ""101"", ""1010010"", ""10101"", ""101010"", ""1010100"", ""101010010"", ""10110"", ""1011010"", ""101101010"", ""1101010""],  
negative example:[""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""001"", ""011"", ""100"", ""110"", ""0000"", ""1111"", ""0011"", ""1100""]"
0*1*,"positive example:["""", ""0"", ""001"", ""01"", ""011"", ""1""], negative example:[""10"", ""010"", ""110"", ""101"", ""000111""]"
(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [, 0, 00, 000, 0010, 010, 0100, 0110, 1, 101, 11, 111, 1111], negative example: [01, 10]"
(ab|ba|aa|bb)*,"positive example: [, aa, ab, abab, ba, bb], negative example: [a, b, aba, abb, baa, bba]"
((b+a+a)*a*)*,"positive example:[, a, aaa, baa, baaa, baaaa, baaabaaa, baabaaa, bbaaa], negative example:[b, bb, bba, ab, aba, abaa, baba, bbaab, aaab]"
[0-1][0-1][0-1]*|[0101],"positive example:[0, 00, 000, 0000, 1], negative example:[01, 10, 11, 010, 101]"
(aa+|bb+|ab+|ba+|a|b)+aaa,"positive example:[aaaa, aaaaa, aaaaaa, aaaaaaa, abaaa, abbaaa, baaa, baaaa, baaaaa, bbaaa, bbbaaa],negative example:[aaa]"
(ab|ba)*(aa+bb+ba+ab)*,"positive example:[, aabbbaab, ab, abaaabbbaab, abaabbbaaab, abaabbbaab, abaabbbaabaabbbaab, abaabbbbaab, ababaabbbaab, baaabbbaab],negative example:[abaabbaab,abaabbbab,ababbbaab]"
(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example: [, 0, 00, 0010, 010, 0100, 010010, 01010, 0110, 1, 100101, 101, 101001, 10101, 1010101, 101011, 1010110101, 1011, 11, 1101, 110101], negative example: [01, 0101, 10, 1010]"
((0+(1+0)*)|(1+(0+1)*))*,"positive example: [, 0, 00, 0010, 01, 010, 010010, 01010, 0110, 1, 10, 1001, 101, 10101, 11, 1101], negative example: [001, 011, 100, 110, 0001, 0111, 1000, 1100]"
(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [, aa, aaaa, aabbaa, aabbaabbaa, ababaa, abbaaa, baabaa, babaaa, bb, bbaa, bbaaaa, bbab, bbba, bbbb, bbbbaa], negative example: [a, b, aba, abb, baa, bbb, aab, bba, abbb, baaa, aaba, babb, aaab, bbbaab, ababababab, bbbaaa]"
((a+)|(b*a*))*,"positive example: [, a, aa, b, ba, baa, bba], negative example: [ab, aba, abb, aab, bab, baba, bbaba]"
(a|(b*a(a)*))*,"positive example: [, a, aa, ba, baa, baaa, bbaa], negative example: [b, bb, bbb, ab, aba, abb, bab]"
((a)*(b+aa+))+|[a]*,"positive example:[, a, aa, aaa, aabaa, abaa, abaaa, abaaabaa, abbaa, baa],negative example:[aba]"
(0*(10*1)*0*10*)*|(11),"positive example:["""", ""0010"", ""00101010"", ""01001010"", ""01010010"", ""010101"", ""0101010"", ""01010100"", ""01010100101010"", ""010110"", ""0101101010"", ""011010"", ""101010"", ""11""],  
negative example:[""0"", ""1"", ""00"", ""01"", ""10"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001"", ""0011"", ""0100"", ""0110"", ""0111"", ""1000"", ""1001"", ""1011"", ""1100"", ""1101"", ""1110"", ""1111""]"
