Attempt Regex,DeepSeek Output
a*(bb+bbb)a*,"positive example:[bbbbbb, aabbbbbaa], negative example:[bbbb]"
(ab)*|(ba)*|(a(bb)a)*,"positive example:[baba, abab, abbaabba], negative example:[a]"
(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"positive example:[abaabbabbbaaabaaabaabbabbb, b],negative example:[bb]"
(a|bb)*|(bbb)*,"positive example:[bba, abb, bbbbbbbbb], negative example:[b]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"positive example:[000111, 00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 000010, 000100, 110100, 10101, 111011, 10000, 11010, 100, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 001000, 101010, 01000, 10, 101111, 001101, 0100, 11111, 110010, 1000, 00001, 011001, 000001, 100000, 110001, 111110, 001, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1],negative example:[0]"
(a)*(bb)*(a)*,"positive example:[, aabbbbaa], negative example:[bbabba]"
(a*|b*)*baa+a*b+,"positive example:[baab, abbaabb],negative example:[baabab,baa]"
(0|1)((01)+),"positive example:[101, 00101], negative example:[0]"
a*b(ba*ba*)*a*,"positive example:[bbbbb, aabaa], negative example:[bb]"
a*b(a*b{2})*a*,"positive example:[aabbb, bbbbbaa, ab], negative example:[a, bba, baba]"
a*b*(baa+)b+,"positive example:[bbbaaabb, aabaab], negative example:[baa,bab]"
(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"positive example: [], negative example: [baabaabaab, a]"
(0*|101)+,"positive example:[0101], negative example:[1]"
(0*10*10*)11(0*10*10*),"positive example:[0011111001, 100100110011, 0101011010100],negative example:[10101111010]"
