Attempt Regex,DeepSeek Output
0*1(10*10*)*,"positive example:[001, 111101, 0011111, 110010011],negative example:[00, 1100100111, 1111, 1000, 11110, 00101101]"
(a*|b),"positive example:[aaa, ],negative example:[abb, aba, bab, bbaabba, bbb, baa, aaab]"
-1,"positive example:[-1],negative example:[11, -101, , 01, -111, -100, 000110, -110, -00, -, -01, 10]"
(a|ba*b)*,"positive example:[bba, , (a|ba*b)*, aabb, baabbb],negative example:[bbb, aabaabb, bbab]"
0(0|1)*1,"positive example:[011101, 000101, 01001],negative example:[00, , 101100, 0100111010]"
0*10*1(1)0*,"positive example:[10011, 0011100],negative example:[00111110011, 00, 001, 111001, 1101, 1100, 1001, 11110]"
(1)(111),"positive example:[1111],negative example:[00, 11, , 01, 111111, 111100, 111101, 11001100, 100, 1, 111, 101, 1101, 11100, 111110, 11101]"
a*ba*b,"positive example:[aabb, baab],negative example:[baabb, aa, bbba, aabbaaaba, bbabb, aab, bbbb]"
a*ba*(bb)*a*b(bb)*,"positive example:[bb, bbbab, bbbabbbbb, bbbbbab, bbbabbb, bbbaaab, aabaabbb],negative example:[aa, aabbaabbaa, bbbabbbaa, aab, bbbabbbab, bbbabbbb, bbbabbaa, bbab, bbbbb, bbba, bbbba, bbbabb, bbbabba, bbbaba, bbbabbab, bbbaaabbbb, baabbabb, bbbbbabb]"
a(a)*b,"positive example:[ab, aaab],negative example:[babbaa, bb, abb, , aaa, aaabab, abaa, abbb, abba]"
"(ba{2,})*","positive example:[, baaaabaa, baabaa],negative example:[aaa, baabba, bb, baaba, ababb, baababb, baababa, baabbb, baaaab]"
b(a|b)a,"positive example:[bba, baa],negative example:[aa, , bb, ab, b, bbbabbaa, bbbb, baaaa, baabb, bababbaa, babb, baaab, bbaab, bbaaa, bbabb, baaba, bbaba, ba]"
(a*b*)*baa(a*b*)*b,"positive example:[babaab, baaab, baabaabbbab, aabbbabaab, babbaab],negative example:[baba, aa, baaa, babb, baabaabbbaba, aabbbab]"
"(a)b{2,}","positive example:[abbbb],negative example:[aaa, bb, , ab, a, aab, abbbbabbaab, abbaa, abaa, abba, abab, ba]"
a|b*[baa]b,"positive example:[ab, a, bab, bbbbab, bbbb, bbab],negative example:[, b, abbb, abaa, aabb, abba, baab, bbaa, abab, baba, babb, baaa, bbabb, bbbba, aaaaba]"
(001)(10101)(110),"positive example:[00110101110],negative example:[, 00, 001100, 001101, 001101001, 0010, 00110110, 00110111, 00110101101, 010, 011, 00110101100, 0011010100, 0011010101, 0000, 0001, 001101000, 0011010111001, 0011010111000, 001110, 10, 001111, 111001, 00110101, 00110, 0, 001, 0011010, 0011010111, 001101011110, 001101011111, 0011, 0011010111010, 001101011, 0011010111011]"
1,"positive example:[1], negative example:[110, 00, , 100, 01, 11100, 1011]"
0|1,"positive example:[0,1],negative example:[,0000,1111]"
(aa|bb|ab|ba)*bb,"positive example:[baaabb, bbaaaabb, babb, bbbabb, abbb, bbababbb, aabb, bbbb, baabbb],negative example:[aa, aaa, bba, abb, ab, aba, bbb, aab, baa, bbaa, bbab, bbbab, bbbba, ba]"
aabb(a|b)*,"positive example:[aabbaa, aabbbb],negative example:[abb, bb, , aa, a, aab, aabaa, aabab, abaabba, aaab, aaaa, ba]"
(a*)(b*|aa*)b,"positive example:[aabbb, (a*)(b*|aa*)b], negative example:[aa, baaa, aabbbabbab, ba]"
(a|b),"positive example:[a, b], negative example:[aaa, abb, , bba, aba, baa, bbb, aabbaab, babbaab]"
a|b,"positive example:[a, b], negative example:[aaa, , bab, aab, baa, ababaa, abbb, bbabaa, bbbb]"
(a*|b*|aa*)b,"positive example:[ab, bbb, aaab],negative example:[abb, , aaa, babb, bbba, aaabba, abbb, abaa, baabaa, abab]"
0*|1(111)0*,"positive example:[000, , 11110],negative example:[11, 01, 111111, 1000, 1111001, 001, 1, 111, 1101, 1100, 101101, 11100, 111110, 11101]"
(0(0*1*)*1)|(1(0*1*)*0),"positive example:[110, 011101, 1010001110, 000101, 01001],negative example:[, 00010, 1000101, 0100, 1011, 11101, 0111010]"
(0|1)?,"positive example:["""", ""0"", ""1""],negative example:[""0000"", ""1111""]"
(b|a)*(baa)+(a|b)*b,"positive example:[babaab, aabbbabaab, babbaab, baabbbab, baaaabab, baabaab],negative example:[baba, aa, babb, aabbbab, baaaaba, baabbbaba, baabaa]"
(0|1)|(0|1)|(0|1),"positive example:[0, 1], negative example:[, 0000, 1111]"
(a)(a)*(bb)(b)*(a)(a*),"positive example:[aaabbbbaaa, abba],negative example:[bbbab, , aaa, ab, baa, abbbb, abbab, abbabb, aaabaa, abbaaab, abbbbaba, abab]"
([a]*[b][a]*[b][a]*)+,"positive example:[bbbab, aabaabbb, bbaabb],negative example:[aa, bbba, baabaabbb, aabbb]"
1+0+11+0+,"positive example:[1011110, 1000110, 111011000, 10110],negative example:[00, , 01, 1110001011001, 1011, 101100010, 10111101, 111, 1011011, 101, 101101, 10100, 10]"
b(a*ba*ba*)*a*ba,"positive example:[bbbba, bbaabba, bbbaba, baabbba, bbaaaabba, bbabba, bbababa, bbaababa],negative example:[baabb, bbaaaab, , ab, bbba, bbabb, bbaaba, bbaba, aaabba, bbaabb, bbbb, bbaa]"
aa||bbaaa+,"positive example:[aa, |bbaaaaa],negative example:[, bb, |bbaaba, abbb, aabb, |bbaabb, |bbabb, |bbaba, |bbaaaaabb, |bbaaaaaba, |bba, |ab, |aa, |bbaa, a, |b, abaa, aaaa, |bbaaab, |bbba, |, |bb, |bbbb, |bab, ba, |baa]"
b+a,"positive example:[bbba, ba],negative example:[bbbab, aa, , bababbaa, babb, baaa, ab, b, baab]"
((a|b)aba(a|b)*),"positive example:[bababb, aabaaa],negative example:[aa, , babbbb, aba, a, bab, b, aab, bbb, aabbaa, aaaa, baab, ba]"
(a*ba*ba*)*,"positive example:[abb, bb, bbbab, , bab, abbaabb, aaabaabbb],negative example:[aaa, ab, bbba, bbb, abaabaabbb, aaabbb, ba]"
(0|1)(0|1)+(0|1)(0|1)(0|1),"positive example:[1111111, 0000000],negative example:[000, 00, 0, , 11, 111, 1, 0000, 1111]"
b(ab+ba+b)*,"positive example:[babbbbaaababbab, babbab],negative example:[aa, bb, , babbbb, babbabba, bab, babbaaabb, babbabaaa, babbbbabaab, babba, babaa, babab, abbaab, babbabbb, ba]"
0*1(0*10*10*)+,"positive example:[111101, 10011, 0011111, 110010011],negative example:[00, 001, 11100111, 1001, 11110, 00110011]"
1+0+011+0+,"positive example:[10000110, 10011000, 10011110, 11100110],negative example:[00, , 01, 1110000, 10011010, 1011, 10011011, 1010, 100110001, 100111101, 111, 1001, 100100, 10011, 11100001011001, 10]"
(a)(a)*(b)(b)*(a)(a*),"positive example:[abaaa, abbba, aaaba],negative example:[, babaa, a, bbb, abaaabb, ababa, abbbab, aaab, abab]"
[ab]*baa[ab]*b,"positive example:[baaab, bbaab, aababaababbbaaab],negative example:[bb, aa, aababa, baabbbaba, aababaaaaba, baabaa]"
aaa*bbb*(a|b)*,"positive example:[aaaabb, aabbaa, aabbbb],negative example:[babbaa, bb, abb, , aa, aba, a, aab, aabaa, aaaab, aabab]"
(a|b(aaa)),"positive example:[baaa],negative example:[baaaaa, aa, , baaabb, ab, b, baa, bbaa, bbbb, baba, baabb, babb, baaba, ba]"
a*|b,"positive example:[aaa, ],negative example:[abb, bba, ab, bab, baa, bbb, aaabaabba]"
(ab|aaa),"positive example:[aaa, ab],negative example:[, aa, a, aaba, baa, bbb, abaa, abbb, aaab, aaaa, aabb]"
a*,"positive example:[aa, ],negative example:[aabbbaab, ba]"
(0+1)*01(0+1)*,"positive example:[00101, 000010101, 01001, 01000101],negative example:[11, 001, 000011, 01011, 01010, 0110, 0000, 101100, 0111, 0100, 0010]"
0*1(0|11)*,"positive example:[10011, 11111, 1110, 00111],negative example:[00, 001001110, 1100, 1111, 111010, 11010011]"
(a|bb)*(a|bb)*,"positive example:[bb, bba, , (a|bb)*(a|bb)*, aabb, bbbb],negative example:[bbba, baa, bbb, bbaba, aababbaab]"
(0|01),"positive example:[0, 01],negative example:[000, , 001, 0101, 110011, 0110, 0100, 0111, 10]"
(aa)*b,"positive example:[aab, aaaab],negative example:[aa, bba, abb, aaa, bababb, baaa, aba, bbb, aabb]"
0|0|1,"positive example:[0|0|1], negative example:[011, 000, , 001, 111, 100, 101, 1101100, 0101100]"
(a|b)(a|b)+bbb+,"positive example:[bbbbaaabbb, bbbbbbbaabbb, aabbaaabbb, aabbbabbb, bbbaabbb, bbbbbabbb, aaabbb, aabbbbbaabbb, bbbabbabbb, bbabbb, aabaabbb, aababbabbb],negative example:[aaa, , bba, a, b, aabbbaaa, aabaa, aabbab, aabbaa, bbbbab, bbbbaa, bbbaa, bbbbba, bbbabb, aababbbbbab, aabbba, aababb, bbbabbbbbab, bbbbbaaa]"
(a(a|b)b)(a|b)*,"positive example:[abbbb, aabaa],negative example:[aa, , a, ab, baa, bbb, aaaa, abab]"
[a]{1}([a]{2})*,"positive example:[aaa],negative example:[aa, baabba, bb, abb, aba, aab, aaaa]"
a(a|b)b(a|b)*,"positive example:[abbbb, aabaa],negative example:[aa, , bb, a, ab, ababb, aaaaa, ba]"
a,"positive example:[a],negative example:[aaa, bb, , aba, aab, abbaabb, ba]"
(a+b)b(a+b),"positive example:[aaabbab, abbab, abbaaab],negative example:[bb, abb, , a, abbba, abbabba, abbabab, abbabbb, abbabaa, abaa, aaab, abba, abab, abbbbbaab, abbaaabb, ba]"
0,"positive example:[0],negative example:[000, , 001, 110011, 10, 010]"
1,"positive example:[1],negative example:[011, 110, , 100, 111, 101, 00010]"
a(a|b)b(a+b)*,"positive example:[abbab, aabab, aabaaabab, abbaaabab],negative example:[aa, , bb, a, ab, abbaa, aabaa, abbaba, aabbaa, abbaaaba, aaaa, abab, aabaaaba, aababb, aababa, abbbbb, abbabb, ba]"
(1|0)(001|10101|110)*,"positive example:[100110101, 1001110001, 1001110110, 1001001, 0110, 0001110001, 1110, 0001110110, 000110101, 0001001],negative example:[, 01, 000111, 1001011, 100000, 10011101010, 10011101011, 00011101011, 000111010, 00011101010, 00011111, 00011110, 10011111, 100111, 1001010, 0001011, 11, 0001010, 000000, 00001101, 10001101, 10011110, 10011101000, 100111010, 00011101001, 00011101000, 00011100, 10011101001, 10011100]"
(0|1)*0101(0|1)*,"positive example:[01110101, 01101000101, 0110100101, 1100011010100, 1100011010111],negative example:[0100111, 110001000, 01001101, 010]"
(a*)ba,"positive example:[aaba], negative example:[bba, aa, babb, baaa, bbb, aab, baab, aabababbaa]"
(a)*b(a)*b,"positive example:[aabb, baab],negative example:[aa, bbba, bbb, aabaabbbbaab, aabaa, bbaa, bbab]"
1,"positive example:[1],negative example:[00, , 111, 100, 01, 101, 1101100]"
0*10*11,"positive example:[10011, 00111],negative example:[00, 001, 0011010011, 1100, 1001, 11100, 11111, 11110, 11101]"
-1,"positive example:[-1],negative example:[000, , -100, 111, -111, -00, -, -01]"
[001]|[10101]|[110],"positive example:[001, 10101, 110],negative example:[011, , 111, 001101, 0000, 101101, 1000]"
11010110,"positive example:[11010110],negative example:[00, , 01, 1101011011, 1101011010, 110101, 1101000, 1101011000010, 110, 1111, 110101110, 11001, 110101111, 11000, 1101001, 11, 1101011, 110110, 11010, 110111, 1110, 100, 1, 101, 1101, 11010110011, 11010100, 11010101]"
0*(10*1),"positive example:[11, 001001],negative example:[00, 111, 1101, 1100, 11111, 00100110010, 00100]"
ba+,"positive example:[baaa],negative example:[baba, bba, , ab, babb, baaab, b, bbb, aaabba]"
