Regex,Attempt Regex,DeepSeek Output
0*(10*1)*0*,0*1(10*10*)*,"positive example: [01, 011010, 01101010, 011101010, 0110101010], negative example: [0, 1, 10, 110, 01010, 0110]"
a+b,(a*|b),"positive example: [a, aa, aaa, b, aab, aaaa], negative example: [ab, ba, bb, aba, baa, aabaa]"
0*10*(10*10*)*,-1,"positive example: [""a"", ""b"", ""ab"", ""ba"", ""aab"", ""bba""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""cab"", ""bac""]"
(a*ba*b)*a*ba*,(a|ba*b)*,"positive example: [a, b, aa, aba, baab, ababa, baaab, aabaa], negative example: [bb, abba, baba, aabb, bba, abab, baaaab]"
0(0|1)*0,0(0|1)*1,"positive example: [01, 001, 011, 0001, 0011, 0101, 0111], negative example: [0, 1, 00, 11, 10, 100, 110, 111]"
(0*10*10*)*|0*,0*10*1(1)0*,"positive example: [""01010"", ""0010010"", ""1010""], negative example: [""00100"", ""0100"", ""1001""]"
0*10*(10*10*)*,(1)(111),"positive example: [1111, 111111, 111111111], negative example: [1, 11, 111, 11111]"
(a*ba*b)*a*ba*,a*ba*b,"positive example: [bab, abab, aabaaab, b, aaabaaab], negative example: [a, aba, abba, aabaa, aaabaaa]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"positive example: [aba, abba, abbba, ababba, aabbaa, abbbba], negative example: [a, b, aa, bb, abab, baba, ababab, bbbbb]"
b*a*,a(a)*b,"positive example: [ab, aab, aaab], negative example: [b, a, aaa]"
(a|b)*baa(a|b)*b,"(ba{2,})*","positive example: [baa, baaabaa, baaa, baaabaaabaa], negative example: [ba, baba, bbaa, baaaab]"
a(a|b)*b,b(a|b)a,"positive example: [baa, bba, baba], negative example: [a, b, aa, bb, ab, ba, abb, bbb, abba]"
b*a*,(a*b*)*baa(a*b*)*b,"positive example: [baab, aabbaaab, baaaab, aabbaaab], negative example: [ab, aab, baa, baaa]"
(a|baa)*,"(a)b{2,}","positive example: [abb, abbb, abbbb], negative example: [ab, a, abbbba]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"positive example: [ab, bbbab, baab, abab, bbaab], negative example: [aab, bbaa, bbba, a, baaa]"
001|1010|110,(001)(10101)(110),"positive example: [00110101110, 00110101110, 00110101110], negative example: [0011010111, 0011010110, 001101011]"
(0*10*10*)*|0*,1,"positive example: [abc, aab, bca, aabbcc], negative example: [abz, a1b, b@c, aaabbbccc]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"positive example: [0, 1], negative example: [00, 11, 01, 10]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"positive example: [bb, aabb, abbb, babb, aabbaabb], negative example: [aa, ab, ba, aab, bba]"
(ab|ba)*,aabb(a|b)*,"positive example: [aabb, aabba, aabbb, aabbaa, aabbba], negative example: [aa, bb, abab, baba, aabab]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"positive example: [ab, aab, aaab, b, aaaab], negative example: [ba, aba, a, aaaa, bb]"
a+b,(a|b),"positive example: [a, b], negative example: [c, d, ab, ba]"
a+b,a|b,"positive example: [a, b], negative example: [ab, aa, bb, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"positive example: [ab, aab, b, bb, aaaab], negative example: [a, ba, aba, aaba, baa]"
0*10*(10*10*)*,0*|1(111)0*,"positive example: [""0"", ""00"", ""000"", ""1"", ""1110"", ""11100"", ""111000""], negative example: [""01"", ""10"", ""110"", ""111"", ""0111"", ""00111"", ""1111""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"positive example: [0011, 1100, 010, 101, 000111, 111000], negative example: [011, 100, 0010, 1101, 0001, 1110]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"positive example: [""0"", ""1"", """"], negative example: [""00"", ""11"", ""01"", ""10""]"
b*a*,(b|a)*(baa)+(a|b)*b,"positive example: [baab, baaab, abaaab, bbaaab, baaabb], negative example: [a, b, ab, ba, baba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"positive example: [0, 1, 01, 10, 001, 110, 000, 111]  
negative example: [2, 3, 00a, 11b, 012, 1010, 0000, 1111]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"positive example: [aabbaa, aabbbaa, aabbaaa, aabbbaaa], negative example: [abba, aabba, aabbba, aabbbba]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,"positive example: [abab, abaabab, aabbaab], negative example: [a, b, aba, baba, aabba]"
001|1010|110,1+0+11+0+,"positive example: [110011, 1110011, 100110], negative example: [1010, 1110, 1001]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"positive example: [babababa, bbaabbaa, baaabaaaba], negative example: [ba, baba, baaabaa]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"positive example: [aa, bbaaa, bbaaaa], negative example: [a, b, bba, bbaa, bbaaaaaa]"
a+b,b+a,"positive example: [ba, bba, bbba, bbbba], negative example: [a, b, bb, bbb, ab, bab, baba]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"positive example: [aabaa, babab, aabab, babaa], negative example: [abba, baba, aaab, bbba]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,"positive example: [abab, aabbaa, bbaaab, aababaa, abababab], negative example: [aaa, bbb, aba, aab, baa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"positive example: [01011, 11000, 10101, 00110, 11111], negative example: [0, 1, 01, 10, 1010]"
(a|(b*bb))*,b(ab+ba+b)*,"positive example: [b, bab, baba, bba, bbabba, babbabba], negative example: [a, ab, ba, baa, abab, babbabab]"
(0*10*10*)*|0*,0*1(0*10*10*)+,"positive example: [01010, 001001010, 00010010010], negative example: [01, 010, 00100]"
001|1010|110,1+0+011+0+,"positive example: [10011, 110011, 100011], negative example: [101, 1100, 1001]"
b*a*,(a)(a)*(b)(b)*(a)(a*),"positive example: [aabbaa, aabba, aabbbaa, aabbaaa], negative example: [abba, aab, bbaa, aabbb]"
b*a*,[ab]*baa[ab]*b,"positive example: [baab, abbaab, baaab, baaaab, abbaaab], negative example: [abab, baba, ababab, bba, aabab]"
(ab|ba)*,aaa*bbb*(a|b)*,"positive example: [aaabbb, aaaabbbb, aaabbbab, aaaabbbba], negative example: [aabbb, aaabb, aabab, aaabbba]"
(a|b)(a|b)+aaa+,(a|b(aaa)),"positive example: [a, baaa, baaaaa, baaaaaaa], negative example: [ba, baa, baaaa, baaaaaa]"
a+b,a*|b,"positive example: [""a"", ""aa"", ""aaa"", ""b""], negative example: [""ab"", ""ba"", ""c"", ""bb""]"
(a|b)(a|b)+aaa+,(ab|aaa),"positive example: [ab, aaa, abab, aaaab, abaaa], negative example: [a, b, aa, aab, aba, baa, aaaa, baba]"
a+b,a*,"positive example: ["""", ""a"", ""aa"", ""aaa""], negative example: [""b"", ""ab"", ""ba"", ""aab""]"
001|1010|110,(0+1)*01(0+1)*,"positive example: [01, 001, 101, 0101, 1001, 1101, 0001, 10101],  
negative example: [0, 1, 00, 11, 000, 111, 010, 1010]"
(0*10*10*)*|0*,0*1(0|11)*,"positive example: [01, 0110, 011110, 00110, 00011110], negative example: [10, 110, 00100, 111, 0000]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"positive example: [a, bb, aabb, bba, aaa, bbbb, abba, bbaa], negative example: [ab, baba, abab, ba, baa, abbb, bbba, ababab]"
001|1010|110,(0|01),"positive example:[0, 01], negative example:[1, 10, 011]"
(ab|ba)*,(aa)*b,"positive example:[b, aab, aaaaab], negative example:[a, aa, aaaa]"
001|1010|110,0|0|1,"positive example: [0, 0, 1], negative example: [00, 01, 10, 11]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"positive example: [aabbbb, bbabbb, aaaabbbb, bbbbbbb], negative example: [a, b, aa, bb, abab, baba, aaa, bbb, ababab]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"positive example: [aaba, aabba, aabab, aabbb, aabaa], negative example: [ab, aa, aab, baa, aba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,"positive example: [a, aaa, aaaaa], negative example: [aa, aaaa, aaaaaa]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"positive example: [aaba, abba, aabab, abbaa, aabbb], negative example: [aba, abb, aab, baba, bbaa]"
(ab|ba)*,a,"Positive example: [""abc"", ""aabbcc"", ""aaabbbccc""], Negative example: [""ab"", ""aab"", ""abbc""]"
(a|(b*bb))*,(a+b)b(a+b),"positive example: [aba, abb, bba, bbb], negative example: [aa, ab, ba, bb, aab, bab, aaa, baa]"
001|1010|110,0,"positive example:[0, 00, 000], negative example:[1, 01, 10, 0001]"
001|1010|110,1,"positive example: [abc, aabbcc, aaabbbccc], negative example: [abcd, aabbc, aaabbbcccc]"
