Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[, aaa, ba, baa, baaa, baabaa]",[]
(0*10*10*)*|0*,0|111*,"[0, 11, 111, 1111]",[]
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[, 0, 00, 1, 11]",[]
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[, aaaaa, aabaaaa, ab, abaaa, abaaaa, abaaaaa, abaaaaaaaa, abbaaaa, baaaa]",[]
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, ab, ba, bb]",[]
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[ab, b, baab, bab, babab]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[, 0001010100, 000101010100, 00100100, 00100101010100, 001010010100, 00101010, 0010101000, 0010101010, 00101010100, 001010101000, 00101010100100, 001010101100, 00101011010100, 0010110100, 001101010100, 01010100, 0101010100, 1010101011, 10101011, 110010101011, 1101001011, 11010100101011, 11010101, 110101010011, 1101010101, 11010101011, 11010101011011, 110101010111, 1101010111, 110101101011, 11011010101011, 11011011, 111010101011, 1110101011]",[]
(a|b)(a|b)+aaa+,"a{2,}",[aa],[a]
(a*ba*b)*a*ba*,a*b(a)*bb*,"[aababb, abaabb, abab, ababb, ababbb, abbb, babb, bb]",[]
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[aaaaa, aaaaaa, aaaaaaa, aaaaab, abaaa, abaaaa, baaaa, baaaaa, bbaaa, bbaaaa]",[]
(ab|ba)*,((bb)*|(aa)*)*,"[, aa, aaaa, bb, bbbb]",[]
(ab|ba)*,(a|b)b,"[ab, bb]",[]
(ab|ba)*,((aa)*b)*,"[, aaaab, aab, aabaab, b]",[]
b*a*,a+|(b*a)*,"[, a, aa, ba, baba, bba]",[]
001|1010|110,(0|1)*01(0|1)*,"[00010, 001, 0010, 00100, 0011, 01, 010, 1010]",[]
(a|b)(a|b)+aaa+,(ab|aaa)*,"[, aaa, ab, abab]",[]
0*10*(10*10*)*,(1(11)*)|0*,"[, 0, 00, 1, 111, 11111]",[]
(ab|ba)*,(aa+ab+bb+ba)*,"[, aaaabbbba, aaabbbba, aaabbbbaaaabbbba, aaabbbbba]","[aaabbba, aabbbba]"
(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,"[, a, ba, baa, baaa, babaa, babb, bba]",[]
b*a*,(a+|a*b*),"[, a, aa, aab, ab, abb, b]",[]
a(a|b)a(a|b)*,a+a+b+a+(a+b)*,"[aaabaab, aaba, aabaaab, aabaab, aabaabab, aabbaab]","[aaaab, aabab, abaab]"
0*10*(10*10*)*,0*(11)*0*1*,"[, 001, 001101, 0110, 011001, 01101, 011011, 0111, 0111101, 1101]",[]
(a*ba*b)*a*ba*,(a|ba+a)*,"[, a, aa, baa, baaa]",[ba]
a+b,(ab)*,"[, ab, abab]",[]
0*10*(10*10*)*,(0|(1(11))*)+,"[, 0, 00, 111, 111111]",[]
(a|baa)*,(a)*((b)+(aaa)+)*,"[, a, aaaa, aabaaa, abaaa, abaaaaaa, abaaabaaa, abbaaa, baaa]",[ab]
a+b,(ab)+,"[ab, abab]",[]
(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"[, aaabbabba, aabbaabba, aabbabb, aabbabba, aabbabbaaabbabba, aabbbabba, aabbbba, aabbbbba, abbabba, babbabba]",[aababba]
(0*10*10*)*|0*,0*0?|(0|1)11*,"[, 0, 00, 000, 01, 011, 0111, 11, 111]",[]
b*a*,(a+(a*))|((a*)+(b*)),"[, a, aa, aaa, aab, ab, abb, b]",[]
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+,"[aab, ab, abb, baaaa, baaaaa, baaaaaaa, bbaaaa]","[a, aaaa, b, ba, baaa]"
(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"[, ababbaabbabaab, ababbabaab, abbaabbaab, abbaabbaabbabaab, abbaabbaba, abbaabbabaab, abbaabbabaabab, abbaabbababaab, abbaabbbabaab, abbabaab, abbabaabbabaab, baabbabaab]",[abbaababaab]
(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+),"[aaa, ababbabaaa, abbaaa, abbaaaa, abbabaaa, abbabaaaa, abbababaaa, abbabbaaa, babaaa]",[abbabaa]
(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*)),"[aababba, aabba, abaabba, ababa, ababb, ababba, ababbaa, ababbba, ababbbba, abbabba, abbba, babba, bb]",[abaa]
(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"[, a, aa, b, ba, baab, baabba, bab, babb, babba, babbaa, babbab, babbabba, bb, bbba, bbbb]",[]
(b|(a*aa))*,(a|b)(aa)*(a|b)*,"[a, aa, aaa, aaaa, aaaaa, aaaaaa, aaab, b, baaa]",[]
(0*10*10*)*|0*,0?0|111*,"[0, 00, 11, 111, 1111]",[000]
(a|baa)*,(a|b)(a|b)+(aaa)+,"[aaaaa, aaaaaa, aaaaaaaa, abaaa, baaaa]","[aa, aaaa]"
(ab|ba)*,(a)*(b)*|(b)*(a)*,"[, a, aab, ab, abb, b, ba, baa, bba]",[]
(ab|ba)*,(ab)*(ba)*|abbba,"[, ab, ababba, abba, abbaba, abbba, ba]",[]
