Regex,Attempt Regex,Positive Strings,Negative Strings
0+1*,01*,"[0, 01, 011]",[]
0+1*,0+1+,"[001, 01, 011]","[0, 1]"
(0(0*|1+0)*)|(1(1*|0+1)*),11,[11],[]
(0(0*|1+0)*)|(1(1*|0+1)*),0(1*0)*,"[0, 00, 010, 01010, 0110]",[]
(0|10*1)*,(0+|10*1)+,"[0, 00, 1001, 101, 11]",[]
(0|10*1)*,(0*|101)+,"[, 0, 00, 101]",[]
(0|10*1)*,(0*|10+1)+,"[, 0, 00, 1001, 101]",[11]
0(0|1)*0,00(0|1)*00,"[0000, 00000, 000000, 00100]",[]
(0(0*|1+0)*)|(1(1*|0+1)*),0(0*1+0+)*|1(1*0+1+)*,"[0, 00010, 0010, 00100, 0010010, 00110, 010, 1, 101, 11001, 1101, 11011, 1101101, 11101]","[000, 001, 110, 111]"
(0|10*1)*,(10*1)*,"[, 1001, 101, 101101, 11]",[]
(0|10*1)*,(0*10*1)*,"[, 00101, 01001, 0101, 01010101, 011, 101]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*,"[, 00, 010, 010010, 0110]",[]
(0|10*1)*,0*(10*1)*0*,"[, 00, 001010, 010010, 0101, 01010, 010100, 01011010, 0110, 1010]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(1|0)*1),"[00, 000, 0000, 010, 101, 11, 111, 1111]",[]
(0|10*1)*,(11)*,"[, 11, 1111]",[]
(0|10*1)*,(0*(11)*0*)*,"[, 00, 00110, 011, 0110, 01100, 01100110, 011110, 110]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0)*)|(1(0*1)*),"[0, 00, 010, 01010, 0110, 1, 1001, 101, 10101, 11]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*,"[, 0010, 010, 0100, 010010, 0110, 1001, 101, 1011, 101101, 1101]","[00, 01, 10, 11]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*|1*)|((0+1+0+)*|(1+0+1+)*),"[, 0, 00, 0010, 010, 0100, 010010, 0110, 1, 1001, 101, 1011, 101101, 11, 1101]","[01, 10]"
(0|10*1)*,(0*10*10*)*,"[, 001010, 010010, 0101, 01010, 010100, 0101001010, 0110, 1010]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|0(0|1)*0|1(0|1)*1,"[0, 00, 000, 0000, 010, 1, 1001, 101, 11, 111]",[]
(0|10*1)*,0*(10*10*)0*,"[0010100, 0100100, 01010, 010100, 0101000, 01100, 10100, 11]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01+0)*0*)|(1*(10+1)*1*),"[, 00, 0000, 000100, 0010, 00100, 001000, 00100100, 001100, 0100, 1011, 11, 110011, 1101, 11011, 11011011, 110111, 111011, 1111]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*,"[, 00, 0010, 010, 0100, 010010, 0110, 1001, 101, 1011, 101101, 11, 1101]","[01, 10]"
0(0|1)*0,0(0(0|1)*0)*0,"[00, 0000, 00000, 000000, 00000000, 00100]",[]
