Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[0011010, 01, 0110010, 01101, 011010, 0110100, 0110101010, 01110, 1, 11010]",[]
a+b,(a*|b),"[, a, aa, b]",[]
0*10*(10*10*)*,-1,[-1],[]
(a*ba*b)*a*ba*,(a|ba*b)*,"[, a, aa, baab, bab, bb]",[]
0(0|1)*0,0(0|1)*1,"[0001, 001, 01, 011]",[]
(0*10*10*)*|0*,0*10*1(1)0*,"[0010110, 0100110, 01011, 010110, 0101100, 01110, 10110, 111]",[]
0*10*(10*10*)*,(1)(111),[1111],[]
(a*ba*b)*a*ba*,a*ba*b,"[aabab, abaab, abab, abb, bab, bb]",[]
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[aababbabbb, abaabbabbb, abaabbb, ababbaabbb, ababbab, ababbabbb, ababbabbbbb, ababbbbabbb, ababbbbb, abbbabbb, babbabbb, bb]",[]
b*a*,a(a)*b,"[aaab, aab, ab]",[]
(a|b)*baa(a|b)*b,"(ba{2,})*","[, baa, baabaa]",[ba]
a(a|b)*b,b(a|b)a,"[baa, bba]",[]
b*a*,(a*b*)*baa(a*b*)*b,"[aabbaaabb, abaaabb, ababbaaabb, abbaaaabb, abbaaab, abbaaababb, abbaaabb, abbaaabbb, abbaab, abbaabb, abbbaaabb, baaabb, baab, bbaaabb]",[]
(a|baa)*,"(a)b{2,}",[abb],[ab]
(a|b)*baa(a|b)*b,a|b*[baa]b,"[a, ab, bab, bbab, bbb]",[bcb]
001|1010|110,(001)(10101)(110),[00110101110],[]
(0*10*10*)*|0*,1,[1],[]
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]",[]
(ab|ba)*,(aa|bb|ab|ba)*bb,"[aaaabb, aabb, abbb, babb, bb, bbbb]",[]
(ab|ba)*,aabb(a|b)*,"[aabb, aabba, aabbaa, aabbb]",[]
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"[aaaab, aaab, aab, aabb, ab, abb, abbb, b, bb]",[]
a+b,(a|b),"[a, b]",[]
a+b,a|b,"[a, b]",[]
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[aaab, aab, ab, b, bb, bbb]",[]
