Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[, aaba]","[aaBa, baAaa, 0a, a, ca]"
(0*10*10*)*|0*,0|111*,"[11, 0, 111, 1111]","[a, 1, A]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),[],"[2, A, a, 0+, 1*]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[bb, aabaaaa, a]","[aaaAaaa, B]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[ab, ba, aa, bb]","[0, aB, Ab, A, a, bA, Ba, Aa, Bb, aA, bB]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[babaaab, b]","[bAab, baAb, 0b, B, bb, Baab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[10111, 10100, 0001001101001101010010, 01000, 01010110011, 111001101010010]","[01000101010, 2, 10111010101, a, A, 01011011, 010101010101010]"
(a|b)(a|b)+aaa+,"a{2,}","[aa, aaa]","[a, AA]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[bb, aabaab, baabbb]","[bAbb, bbab, Bb, bB, Abb, bbB]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[aaaaa, bbaaab, abaaaba, baaaaba]","[aaaaa0, aBaaa, Bbaaa, bAaaa, aaAaa, Abaaa, Baaaa, aaaaaA, aaaa, aaaaaB, aAaaa, aaaaac, 0aaa, Aaaaa, bBaaa, aaaAa]"
(ab|ba)*,((bb)*|(aa)*)*,[aabb],"[A, a, 0, bB, Bb, Aa, aA]"
(ab|ba)*,(a|b)b,"[bb, ab]","[Ab, 0b, aB, cb, Bb]"
(ab|ba)*,((aa)*b)*,"[, bb]","[B, aAb, Aab]"
b*a*,a+|(b*a)*,"[ba, , aba]","[b, A, 0, Ba, a+]"
001|1010|110,(0|1)*01(0|1)*,"[100110, 01]","[01A, 01a01, 01201, 10, A01, 01A01]"
(a|b)(a|b)+aaa+,(ab|aaa)*,"[, aaaab, abaaa]","[Ab, aB, a, A, 0, aAa, aaA, Aaa]"
