Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[bbbbbb, aabbbbbaa]","[bbbb, Abbbbb, bbbbbB, bbbbbA, bbbBb, bbBbb, bBbbb, Bbbbbb]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[baba, abab, abbaabba]","[aBba, 0, abBa, abbA, aB, Ab, Abba, a, A, Ba, bA]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[abaabbabbbaaabaaabaabbabbb, b]","[bbaBbb, 0b, bAabab, ababaBabb, baaBab, bbAab, abaBb, babaaBbb, b0bb, bb, bbaAb, abAbb, babAbabb, bBaab, bbBaabab, baAbab]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[bba, abb, bbbbbbbbb]","[bbbBbb, b, A, 0, bbbbBb, bbB]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[000111, 00010, 100011, 111000, 10011, 111, 0001, 111101, 00100, 000010, 000100, 110100, 10101, 111011, 10000, 11010, 100, 001011, 01, 101001, 01110, 010, 1011, 11100, 00111, 100110, 110111, 1101, 10110, 001000, 101010, 01000, 10, 101111, 001101, 0100, 11111, 110010, 1000, 00001, 011001, 000001, 100000, 110001, 111110, 001, 0010, 001110, 01101, 01011, 101100, 0111, 1110, 11001, 100101, 1]","[a, 0, A]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[, aabbbbaa]","[bbabba, A, Bb, bB]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"[baab, abbaabb]","[cbaab, baaB, Bbaab, Abaab, baabab, baa, baabAab, baaAb, 0baab, baBaab]"
(0|1)(0|1)*,(0|1)((01)+),"[101, 00101]","[201, 0, a01, A01]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[bbbbb, aabaa]","[B, bbbA, Ab, bbbbAb, bb, bBb, bbB]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"[aabbb, bbbbbaa, ab]","[bAbb, B, Ab, bA, bBB]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,"[bbbaaabb, aabaab]","[bAab, baaB, baAb, Bbaab, Abaab, Baab, baa, bab]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,[],"[baabaabaab, B, a, 0, aA, Aa, aaAaa, aaB, aab*, a+]"
(0|10*1)*,(0*|101)+,[0101],"[a, A, 1]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"[0011111001, 100100110011, 0101011010100]",[10101111010]
(a|baa)*,(b?aaa*)*,"[, aaabaa]","[aaBaa, aaaAa]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"[baa, aababb, b]","[bAbb, Ab, B, bb, bBb, b0, bbB]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"[aababb, b]","[Ab, B, b0bb, bA, abb, bBb, bbB]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"[aaabb, abaaa, aaab]","[aaa0, aAaa, a0a, Aaa, aaac, aaaB, aaaA, aaA, aca, aBa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"[00110011010, 10101101, 10011, 11, 00, 0100]","[0100A10, 2, 011001, 01, A, a, 10, 101+01]"
(0|10*1)*,0*|(10*1)*|0*,"[101, 1111]","[1, A, a, 0*]"
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"[bbababba, b]","[Ab, 0b, bA, bb, bBb, b0, bbBbb]"
(a|(b*bb))*,(bb|a)*,"[, bba]","[b, A, 0, Bb, bB]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"[bbbbb, b]","[B, bbbbbb, bBB, bbb*]"
(b|(a*aa))*,(aa+)*b*,"[, aaabb]","[aaAa, B, baab]"
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"[1111, 010011010, 0011100100]",[1010101010]
