Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[011010, 0011111, 1]",[111111]
a+b,(a*|b),"[, aa, b]","[c, B, A, 0]"
0*10*(10*10*)*,-1,[],[]
(a*ba*b)*a*ba*,(a|ba*b)*,"[, abb]","[0bb, b, bB, Bb, bbAbb, bAb]"
0(0|1)*0,0(0|1)*1,"[0011, 01]","[0A1, 0a1, 021]"
(0*10*10*)*|0*,0*10*1(1)0*,"[111, 010110, 001001100]",[]
0*10*(10*10*)*,(1)(111),[],[]
(a*ba*b)*a*ba*,a*ba*b,"[baab, aabb, abab]","[Bb, bB, Abb, bbb, bAb]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[bb, baabbab, aabbbbbaabbbbb]","[bBbb, bbbBbb, bbBb, bbbB, Bb, bbbabbab, Abb, bAbbb]"
b*a*,a(a)*b,"[aaab, ab]","[Ab, aB, aAb, aa*b]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[, baabaa]","[bAA, Baa, baa*]"
a(a|b)*b,b(a|b)a,"[baa, bba]","[bBa, bca, bAa, baA, Baa, b0a]"
b*a*,(a*b*)*baa(a*b*)*b,[babaabab],"[baabaAb, baaB, bAabaab, b, baaBaabaab, Abaab]"
(a|baa)*,"(a)b{2,}","[abb, abbb]","[ab, aBB, Abb]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[bbbb, ab, a]","[aB, Ab, b, A, 0, bBb, Bab]"
001|1010|110,(001)(10101)(110),[],[]
(0*10*10*)*|0*,1,[],[]
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[2, A, a]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[aaabbabbbb, bb]","[aBbb, aAbb, Bbbb, Abb, 0bb, bBbb, bAbb, bB, Aabb, Bb, Abbb, Babb, abb]"
(ab|ba)*,aabb(a|b)*,"[aabb, aabbab]","[aaBb, aabB, aAbb, a, Aabb, aabbc, aabb0, aabbA, aabbB]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"[aabbb, b]","[0b, B, cb, aBb, aAb, aa*b]"
a+b,(a|b),"[b, a]","[c, B, A, 0]"
a+b,a|b,"[b, a]","[c, B, A, 0]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,[bbb],"[a*b, 0b, Ab, B, cb, Bb, aAb, aa*b]"
0*10*(10*10*)*,0*|1(111)0*,"[00, 0, , 11110, 111100, 1111]","[1, A, a]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[0101, 100, 1100, 001]","[0A1, 1A0, A, a, 1, 0]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, 1]","[2, a, A, 00]"
b*a*,(b|a)*(baa)+(a|b)*b,"[baab, babaaabb]","[baabaAb, b, bAabaab, baa0baab, baaB, Baabaab, baacbaab, baaBaabaab, Abaab, baaAb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),[],"[2, a, A]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"[aaabbba, abbaaa, abbbba]","[aBbba, abBbba, abbA, Abba, abbaA, aAbba, abbBa]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,[baba],"[b, , Bb, bB, bbAbb, bAbbb]"
001|1010|110,1+0+11+0+,"[10011100, 10110]","[1010, 0110, 1110, 1011]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"[baaba, bbbbbba]","[bbbbAbbbba, bbba, bBa, Bba, bbBba, bbA, bAba, bBbba, bbbAbbba]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[|bbaaaa, aa, |bbaaa]","[|bbaAa, |bbaaA, 0, |Bbaaa, |bbaa, |bbAaa, A, a, Aa, aA, |bBaaa]"
a+b,b+a,[ba],"[a, bA, Ba]"
