Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[babbbaa, aab, bab, b]","[B, A, bB, Bb, Abb, bAb]"
001|1010|110,001|10101|110|1010,"[10101, 110, 001, 1010]","[A, a, 0]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[abaabaa, baaa]","[aaaBaaa, Aaaa, 0aaa, aaa, Baaa, aacaa, caaa, a0aa, aaaAaa]"
(0*10*10*)*|0*,(0*|1*)*,[01],"[2, A, a]"
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,[],"[c, baBab, 0, a**, bAb]"
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[, aaabbabb]","[aAbb, bbAa, bbaA, Bbaa, 0, aabB, aaBb, bBaa, Ab, aB, a, A, Ba, bA, Aabb]"
(a|baa)*,[a]*|[baa]*,[ba],"[c, B, A, 0, a*]"
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[001, 1]","[121, 1A1, 1a1, , A1]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),[],"[0**, 1**, 2, A, a, 0*, 1*]"
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[00, 101011, 101]","[0*11, 110*1*, 1+1*, 0*11*]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[, abbaaabbababaabbabab]","[aabbaBab, ab0aabbabab, aAbbabab, aabbAbab, aaBbabab, aabBabab, aB, Ab, aabbabAb, bA, aabbabaB, Baaabbabab, Aaabbabab, aabbabababaabbabab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[, aabb]","[c, 0, abA, aBa, bAb]"
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[baaa, aaaaa]","[Baaaa, Aaaa, 0aaa, caaa, aaA, aAa, Aaa]"
b*a*,a+[ba]*|(b*a*),"[, bbaa, aba]","[c, aB, B, A, 0, aA, baba]"
(a|(b*bb))*,(a|b)*,"[ba, , ab]","[c, B, A, 0]"
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaaa, aaaa, abaaa]","[aaAa, aaaA, aAaa, 0aaa, Aaaa, aaa, Baaa, caaa]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaa, abaaa]","[aaaA, aaAa, aAaa, 0aaa, caaa, aaa, bbBbbaaa, aaAaaaaa]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"[baaa, abaaaa]","[aa0aaa, caaa, aaA, bAbaaa, aAa, Aaa, baAabaaa, abaaBaaaaa, abBbaaaa]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,[],"[babaBab, c, B, 0, bAb]"
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[, aaabbabb]","[aAbb, bbAa, bbaA, Bbaa, 0, aaBb, aabB, bBaa, aB, Ab, A, a, bA, Ba, Aabb]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[baa, aabbbab]","[Ab, bbBb, B, bbAb, bbA]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[aa, babbab]","[bb0bb, b, bbAbb, bbBbb, bbA, bbcbb]"
(a|baa)*,(a|(b*aa))*,"[, abaa]","[b, 0, aaAaa, Baa]"
(a|baa)*,(a)*((b|aa)*(a)*)*,[bab],"[c, B, 0, aAa, Aaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[, ababb]","[aabcab, bbababAbabab, aaba0aaba, abaBaab]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,[],"[2, A, a, 1*]"
001|1010|110,0*1(01)*1*0*,"[1010100, 1010111, 0011]",[1001]
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[ababba, aaabb]","[aaaB, aa, a0a, aaBaa, aaAaa, aca, Aaa]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[, b, a]","[/#, #, c, B, A, //, 0, #/]"
(ab|ba)*,a*b*(a|b)*,"[, bab]","[c, B, A, 0]"
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[, ba, bab]","[bbBb, B, bAb, b*]"
(a|b)(a|b)+aaa+,(a+|b+)*aaa,"[aaa, abaaa]","[Aaaa, 0aaa, aaA, caaa, aAa, Baaa, Aaa]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"[, 01]","[10A01, 01210, a]"
b*a*,(a)*a*b*a*,"[, bbaa]","[B, A, baba]"
(a*ba*b)*a*ba*,(a*ba*)*,"[, bb]","[B, bAb]"
(a|b)(a|b)+aaa+,(a|b)*aaaa*,"[aaa, abaaa]","[aaaA, aaaAaaa, , 0aaa, caaa, Baaa]"
(a*ba*b)*a*ba*,(a*ba*)+,[ba],"[B, , bAb]"
0*10*(10*10*)*,(0*10*1*)*,"[, 010, 110]","[1A, 0]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[, abababbabb]","[0baba, bbba, abababAbababab, abaBabaab, ababBaba]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[, abaab]","[aaaa0a, Aaa, abaaaaAaaa, aaaaBaa, aaaaca]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"[aabbaa, abbaab, ab, baabba]","[aa*, bb*, 0, abaB, abAb, abbA, abBa, aB, Ab, A, a, bA, Ba, Aa, bB, aA, Bb]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"[, aabbbaaa]","[aB, Ab, Ba, 0, bA, Aa, aA, babbaa]"
