Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[aa, aaa, , baba, baaa, aaba, baa, aaaa, ba]","[abb, bb, bba, a, ab, aba, bababb, bab, b, aab, bbb, aaaab, abaa, abbb, abba, aabb, bbaa, bbbb, bbba, baaab, babb, aababb]"
(0*10*10*)*|0*,0|111*,"[11, 0, 111, 1111]","[00, , 01, 1110, 0010, 010, 000, 011, 110, 001, 100, 1, 101, 0000, 0011, 1101, 1100, 10]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[00, 000, 0, 11, , 111, 1]","[011, 01, 100, 101, 0001, 0100, 0111, 1110, 010, 10]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[aa, baaaa, baaaaa, bb, , baaa, a, b, bbb]","[baaabb, baaaba, bab, baa, baaaaab, baaabaa, baab, baaabbb, baba, baabb, baaab, bbba, babb, aaba, baaba, ba]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[aaa, , bba, a, b, aab, bbb, aaaba, aaaaa, aaabb, aaab, aaaa, aabb, bbaa, bbbb, bbab, bbba, aaba, bbaaa, bbabb, bbaba]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[, bab, b, aab, baab]","[aa, bb, bba, , bbba, babb, a, bbb, baa, bbaa, bbbb, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[00, , 0100100100101011111, 101010010, 101010011, 0010, 00100101001011000, 0010010, 001001010010, 110101000011, 110101001101, 111, 001001000, 0000, 00100101001101, 1010100000, 1011011010101, 11, 1101110, 110011, 01001, 001001010, 0100101001111, 0100101001110, 000, 0, 1010000, 110101001111, 1, 110101001110, 10100100101, 01000, 00100101001110, 100110010101, 1101, 100100, 1101111, 1010100011, 11011011010101, 10101000, 101010011100, 10101001, 101010011101, 0100110100, 0100110101, 101001001110, 0010010100110110100, 0010011010, 100101001110, 001001011000, 010, 001001101, 010010100101000, 11011010011, 1111, 010010000, 1101101, 110010101, 01001001000, 010010010, 110110, 110111, 1011, 1010, 0010000, 0010001, 1010100, 001001110, 11010100100101, 001001010011010, 1001, 1100001, 110101001101011, 00100101001001000, 1010100110101, 101110, 101111, 11001101, 01001001001010100, 101001101, 00100110100, 101101, 00100110101, 010010100, 0100101001, 001001001001110, 1010100110111, 101000, 11001111, 0010101, 0010010100, 001001001000, 1101010001, 001001, 1001010010101101, 10101001101, 1011100101, 110100101, 001000101000, 01001001001010001, 01001010000, 01001010001, 110110111, 100111, 11001, 1001010010101111, 11011001, 1010100100, 1010100101, 10101001110, 10101001111, 1101010, 00100011010, 1101011, 01001101100100, 11010, 0010001010010, 00100100100, 0010010010, 001000100, 0010010000, 01001001001010111, 01001010010, 01001010011, 001000101001110, 100001, 1100110010101, 11011, 001000110110100, 100101000, 001000, 1010100110, 11011011, 1010100111, 1001111, 00100010, 01001101111, 010010, 0100101, 010010100010, 0100100, 010010100011, 11010100101, 10011, 10010, 001001111000, 11011101, 1101010011, 1101010010, 00100000, 1001101, 11010100110, 11010100111, 0100110, 01001011, 010000, 010001, 110110101, 01001101101, 1101100010101, 101010011010011, 0100100100101010, 0100100100101011, 101010, 101011, 1010010010, 00100, 10110111, 00100101001, 010010100100, 01001000, 01001010, 011000, 00100101000, 010010100110, 100101001010001, 10110, 1001010, 10111, 00100101001111000, 0100101000, 1001000, 00100010000, 10110101, 10110100, 010010100111, 01001110, 010010100000, 100101001010111, 01001111000, 0010001101, 110101, 01001001001110, 101001001011, 01001001001010101000, 100101001011, 01001101, 1011001, 0010010100110, 01001010011100, 1100111, 10100100101011, 001000110001, 101010011111, 00100010100, 0100110111, 010010010010101101, 00100110110100, 010010010010101111, 1011011, 1011010, 110101001, 10101, 10100, 0010001000, 00100110, 010011011, 010011010, 00100101001010, 01001010011010, 01001001001011, 01001010011011, 10010100101011, 10010100101, 0011000, 0100101001101, 1011101, 1010010, 00100101001000, 0100, 10010100, 00100100, 101100010101, 1101010011011, 0010001010, 101010001, 101010011011, 101010011011011, 101010000, 001001010001, 0010010100100, 001001010000, 1011111, 101, 01001010011111, 0100100100, 0100100100101, 001001001001010100]","[01, 101010010110, 10101001110001, 1101000, 0010011, 001001010011, 1001010010110, 110, 10100100111, 001001001, 1101001, 0100100100111, 010010010010110, 10, 10101001110110, 0100100100101011100, 0100100100101011101, 100110, 11010100111000, 10110011000, 010011011110, 1010001, 001, 001001011, 00100101001111, 110101001111000, 0011, 1100, 1101111000, 100101, 1001010001, 1010100010, 001001001001010, 01001001001, 00100100100111, 001001010000110, 00100111010, 110000, 101101010001, 1000, 110111000, 0010011011, 0010001100111, 011, 010000110, 0100101000001001, 00100101000110, 110010, 010010001, 1101100, 001001001001011, 00100100100101, 101010010001, 001001111, 001001010011011, 0010011010110110, 0010001100, 010010010010100, 1010100110100, 010010010001, 001001010011101, 00001, 11001100, 0010001010001, 01001001001010101, 1010110001, 11001110, 001000110, 10100100, 1010100110110, 101001, 00100100001, 00100011001001, 01001101001001, 001000101001011, 00100110111, 001000101001010, 00100110110, 1101010010110, 110011110, 001001001001, 1101010000, 110101001101110, 11011010, 1011111000, 00100011001110, 00100011001111, 001000101001, 110110110, 101001001, 101001000, 1001010010101110, 11000, 01001001001010111110, 11011000, 00100010100101, 10100001, 010010010011, 100101001, 101100, 0010001010011, 001001010010001, 101101110, 00100101001101001, 1100110100, 001000101, 0010010001, 01001001001010110, 00100010100111, 00100010010, 00100011, 1001110, 00100010011, 01001101110, 11010100100, 1010010010110, 010011, 10101001101010, 0100101001101001, 01001010001110, 1011010010, 1001100, 01001101100, 0100111001, 001001010010101, 101010001110, 0100111, 110110100, 0100101001101110, 11110, 00100110100110, 00100111, 0100100001, 1010010011, 0010010010011, 01001001, 010010100101, 001000100111, 001000100110, 10101001101110, 1010010001, 0100101101, 1101011000, 0100100100101000, 0010010010001, 1001001, 10011110, 01001111, 10110110, 100101001010110, 10000, 01001010001001, 1010100111110001, 001000110011, 110100, 0010010100111, 101001001010, 010010010010101001, 0100110110110, 1011000, 100101001010101, 01001010011101, 100101001010100, 10010001, 01001101010001, 1100110, 00100000100001, 010010010010101101001, 1010010000, 0100110110, 10010100111, 101001001000, 001000100100, 100101001010, 10010100101011010, 010010010010101110, 01001010010001, 0100101001111101, 1100100, 110101000, 101110110, 1100101, 110110101000, 0010001001, 11010100, 001000110110, 10010100101010, 01000110, 1010011, 101010000010, 1011100, 100110110, 00100101001001, 0100101001110001, 00100101, 1101010011010, 1001010011, 101010011010, 10010100101000, 11010100010, 0010010100101, 1001010010100, 100, 01001001001010, 00100101001011, 1101101110, 11011001000]"
(a|b)(a|b)+aaa+,"a{2,}","[aa, aaa, aaaa]","[, abb, bb, ab, aba, a, b, aab, aaaab, aabaa, aabbb, aabb, aaba, ba]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[bb, bbb, aabaab, bbbb]","[aa, bba, , a, b, baa, bbaa, bbab, bbaaa, bbabb, bbbba, bbaba, ba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaa, bbaaabb, aaaaa, aaaaaaa, aaaaaa, bbaaab]","[aa, aaa, , bb, bba, bbaabbb, a, b, aab, bbb, aaaba, aaaabaa, aaaab, aaab, aaaa, bbaabb, bbaa, bbbb, bbab, bbaab, aaba, bbabb, aaaaba]"
