Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[001, 111, 1, 111101, 11001, 11111, 1110, 11100]","[00, 11, , 111001, 111111, 1000, 1011, 1010, 110, 0, 100, 101, 1100, 1111, 11110, 10]"
a+b,(a*|b),"[aa, aaa, , a, b]","[abb, bb, bba, aba, ab, bab, baa, bbb, aaab, abaa, abbb, abba, ba]"
0*10*(10*10*)*,-1,[-1],"[00, 11, , 01, -0, -10, -00, -11, -, -01, 010, 000, 011, 0, -101, -100, -111, 1, -110, 10]"
(a*ba*b)*a*ba*,(a|ba*b)*,"[aa, bb, bba, , a, baab, bbbb]","[b, aab, bbb, baa, ba, bbab]"
0(0|1)*0,0(0|1)*1,"[011, 01, 0101, 0001, 0111, 01001]","[00, 11, , 010, 000, 110, 0, 100, 111, 1, 01110, 01010, 0100, 10]"
(0*10*10*)*|0*,0*10*1(1)0*,"[111, 1110, 11100, 0010011]","[00, 11, , 11010, 111001, 110, 0, 1, 100, 1101, 1100, 1111, 11111, 11000, 11011, 11110, 10]"
0*10*(10*10*)*,(1)(111),[1111],"[00, , 01, 111111, 010, 011, 110, 111, 11100, 11101, 10, 11, 111100, 111101, 1110, 000, 0, 100, 1, 101, 1101, 1100, 11111, 11110, 111110]"
(a*ba*b)*a*ba*,a*ba*b,"[bb, aabaab]","[aa, bba, , a, b, baa, bbb, bbaa, bbbb, bbab, bbba, bbaaa, bbabb, bbaba, ba]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[bb, , bbbab, bbbabbbbb, bbbabbb, bbbaaab, bbbbbab, aabaab, bbbb]","[, bbbabbbaa, baa, bbbabbbab, bbbabbaa, bbaa, bbab, bbba, bbbaa, bbaaa, bbbaaa, bbbbbabb, aa, bba, a, b, bbb, bbbabbbb, bbbabbba, bbbbb, bbabb, bbbabb, bbbabba, bbbba, bbaba, bbbaba, bbbabbab, ba]"
b*a*,a(a)*b,"[ab, aaab]","[aa, aaa, abb, bb, , aba, a, b, abaaa, ababb, abaa, abbb, abba, abab, ababa, ba]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[baaaa, , baaa, baa, baabaa]","[aa, aaa, abb, baabba, bb, ab, aba, a, b, baababb, baababa, baab, baabb, baaba, baabab, ba, baaaab, baabbb]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[aaa, , bb, bab, baab, bbaa, bbab, baabb, baba, babb, bbaab, bbba, bbaaa, baaba, aa, abb, ab, aba, a, b, bbb, bbbb, baaaa, baaa, baaab, bbabb, bbaba, ba]"
b*a*,(a*b*)*baa(a*b*)*b,"[baabb, bbaab, baabab, baab, aababaaaab, baabbb, baabaab]","[aa, bb, , a, b, bab, baa, baabbba, baababa, baaaa, baaa, baaba, ba, baabaa]"
(a|baa)*,"(a)b{2,}","[abb, abbbb, abbb]","[aa, aaa, bb, , ab, aba, a, b, aab, abbaa, abbab, abaa, aaaa, aabb, abba, abab, aaba, abbbba, ba]"
