Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[aa, , bb, a, b]",[]
001|1010|110,001|10101|110|1010,"[110, 001, 1010, 10101]","[00, , 01, 101010, 101011, 00101, 1000, 0010, 00000, 00100, 010, 011, 111, 0000, 0001, 1111, 10110, 10111, 10, 11, 101000, 101001, 1011, 1110, 00011, 00110, 00111, 000, 0, 100, 1, 101, 00010, 0011, 1101, 1001, 1100, 10100]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[bbaabaa, bbabbaa, aaaaa, aaaabaa, aabaa, aaabbaa, aaaaaa, aaabaa, bbabaa, bbaaaa, bbbaa, bbaaa, aaaabbbaa, bbaabbbaa]","[aa, aaa, , bb, bba, bbaaaab, bbaabbb, a, b, aab, bbb, aaaaaab, aaaabbb, aaabb, aaaab, aaaabb, aaab, bbaabb, bbab, bbaab, bbaaba, bbabb, aaaaba]"
(0*10*10*)*|0*,(0*|1*)*,"[00, , 0, 11, 1]",[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"[aa, , bb, a, b]",[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[aa, , bb, aaaa, bbbb]","[aaa, , a, b, bbb]"
(a|baa)*,[a]*|[baa]*,"[aa, , bb, a, b]",[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[11, 001, 100, 1, 111, 10]","[00, , 0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"[00, , 0, 11, 1]",[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[00, , 10101100, 10101111, 101011, 1011, 1010, 0, 1010111, 1010110, 101, 10110, 10001, 10100, 10111]","[001, 100, 1, 1010010, 101010, 1000, 10101, 10]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[, ab, aabbbbabab, abba, baab, abab, baba, aabbababaabbabab, aabbabbbab, aabbabab, aabbababaaabbabab, ba, aaaabbabab]","[aaa, bb, , aabbabaaa, aabbababaaa, bab, aab, aabbabaab, baa, aabba, aabbb, aabbab, aabbaa, aabb, aabbababba, aabbababbb, aababb, aabbabb, aababa, aabbaba, abaabb, aabbabbb, aabbababa, baaabb, aa, bba, abb, aba, a, aabbabababb, aabbababb, b, aabbabababa, bbb, aabaa, aabab, aabbbb, aaaa, aaba, aabbababaa, aabbababab, aabaaa, aabbaaa, aabbaab, aabbabaa, aabbababaab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[aa, , bb, a, b]",[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[abaaa, aabaaa, aabbaaa, aaaaa, aaabaaa, abbaaa, aaabbbaaa, aaaa]","[aa, abb, , ab, a, b, aab, aaaba, aaabb, aaaaab, aaabbb, aaab, aabb, aaba]"
b*a*,a+[ba]*|(b*a*),"[aa, aaa, bb, , abb, a, baaa, ab, b, baa, bbb, ba]","[baba, babba, bbbab, baaab, babaa, babb, babbb, bab]"
(a|(b*bb))*,(a|b)*,"[aa, , bb, a, b]",[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaaaa, aaaabbbaaa, babaaa, abaaa, baaabaaa, aaaaa, aaaabaaa, aaabaaa, aaabbaaa, aaaaaa, baabaaa, baaaa, bbaaa, aabaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]","[aaa, , bb, bab, aab, baa, aaaba, aaaaaab, aaabb, aaaabb, aabb, baaabbb, baab, baabb, babb, baaba, aa, baaabb, ab, a, baaaba, b, aaaabbb, aaaab, aaab, baaaaab, baaab, aaaaba, ba]"
