Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[aaa, aa, , baa, ba]","[baabba, baabb, a, b, aaabbab, aaabb, aaabba, aaab, baabbab, baab]"
(0*10*10*)*|0*,0|111*,"[0, 11, 111]","[000, 00, 110, , 01, 1, 0001, 10]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[00, 0, 11, , 1]","[001, 0011, 0010, 10]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[abb, , ab, a, abaaa, abaaaa]","[aba, abaab, abaaaab, abaa, abaaaabb, abaaaaba, abab]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[aaa, , bba, a, bbaab, b, aab, bbb, aaaab, aaaa, bbaa]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,[ab],"[abb, , aba, a, abbab, abba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[000100100, 00, , 101010010, 101010011, 0100100101001111, 010010100001, 010010, 111, 0100101, 0100100, 01011, 01010, 1010100001, 00010010100, 11, 1101010011, 1101010010, 00010010101, 100010101001, 0001001000, 11010100111, 0001000010100, 01001, 0100101001111, 0100101001110, 000, 0, 1, 000100101000, 01000, 1101, 0001001010, 01001001010010, 01001001010011, 000100001, 0001000, 10101000, 10101001, 101010, 110001, 01001000, 010, 01001010, 10110, 1100011, 100010101, 10111, 1101101, 100010100, 0001001, 10101011, 0001010, 000101, 000100, 010010010, 0100101000, 110110, 110111, 1011, 000100001010, 1010, 010010100111, 1010100, 00010010100100, 000100001000, 1010101, 10001, 0100100101001, 110101, 1000100, 101110, 101111, 0001000011001, 1000101010011, 0001001010010, 00010000, 101101, 010010101, 010010010100111, 0100101001, 010010100, 101000, 10001010100111, 000100100100, 1011011, 00010000100, 1011010, 00010010, 10001010, 110101001, 10101, 10100, 11010101, 000100101001, 11000111, 01001010000, 1010010, 010111, 0101, 0100, 10100101, 00010010010, 10101001110, 10101001111, 1101010, 100010, 1000111, 11010, 0001000010, 100011, 101010000, 01001010010, 01001010011, 101, 00010, 0100100101, 11011, 0100100100, 11011011, 1010100111]","[000100101, 01, 1000101, 110100, 00010000110, 1000101010010, 0100100101001110, 010011, 110, 0001001010011, 00010000111, 000100001011, 0001, 10, 000100111, 10100100, 1000101010, 000100001000101, 0001001001, 101001, 0001000010101, 000100100101, 10001010100, 00010000101, 0100111, 00010011, 10001011, 000100001100, 1100, 110101000, 01001001010, 11010100, 00010010011, 11011010, 1010010011, 1100010, 010010010100, 1000, 01001001, 11000110, 010110, 00010010100111, 101001001, 101001000, 11000, 1101100, 0001011, 10101010, 1000110, 0001000011, 101100, 0001000010001, 00010000100010, 100, 00010010100101, 010010011]"
(a|b)(a|b)+aaa+,"a{2,}","[aaa, aa]","[, ab, a, b, aaaba, aaabb, aaab]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[ababb, abab]","[, aba, ab, a, ababaa, ababa, ababaab]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaa, aaaaa, aaaaaa, bbaaab]","[aaa, aa, , bba, bb, a, b, aab, bbb, aaaab, aaab, aaaa, bbaabb, bbaa, bbab, bbaab, aaaaba]"
(ab|ba)*,((bb)*|(aa)*)*,"[aa, , aabb]","[ab, a, aaba, aab, aabaa, aabaab]"
(ab|ba)*,(a|b)b,"[bb, ab]","[aaa, aa, abb, , bba, aba, a, b, baa, bbb, aaab, baab, ba]"
(ab|ba)*,((aa)*b)*,"[, aab, aabb]","[aaa, aa, a, aaaba, aaabab, aaab]"
b*a*,a+|(b*a)*,"[, aba, a]","[abb, ab]"
001|1010|110,(0|1)*01(0|1)*,"[001, 0011, 0010]","[00, 0, , 1]"
(a|b)(a|b)+aaa+,(ab|aaa)*,"[aaa, , ab]","[aa, a, aab, aaaba, aaabb, aaab]"
0*10*(10*10*)*,(1(11)*)|0*,"[00, 0, , 111, 1]","[110, 11, 001, 00101, 0010, 10]"
(ab|ba)*,(aa+ab+bb+ba)*,"[, aaaabbbba]","[aaa, aa, ab, a, aab, aaaabaa, aaaabbb, aaaabba, aaaabbba, aaaab, aaaabb, aaaa, aaaaba, aaaabbbbb, aaaabaab, aaaabbbb, aaaabbbbab]"
(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,"[aa, , bb, a, aabb, ba]","[aaba, b, aab, aabaa, aabaab]"
b*a*,(a+|a*b*),"[abb, , ab, a]","[aba, abaab, abaa]"
a(a|b)a(a|b)*,a+a+b+a+(a+b)*,"[aaabaaabaab, aaaba, aaabaaab, aaabaaa, aaabaa]","[aaa, aa, , ab, a, b, aaabaaabaa, aaabaaaba, aaabb, aaabaaabaabb, aaabab, aaabaaabaabba, aaab, aaabaaabaabbb]"
0*10*(10*10*)*,0*(11)*0*1*,"[011, 0, , 0110011, 01, 011001, 0110, 0111, 01100]","[0100, 01001, 0110010, 010]"
(a*ba*b)*a*ba*,(a|ba+a)*,"[, a, abaa]","[abb, aba, ab, ababab, ababa, abab]"
a+b,(ab)*,"[, ab]","[aaa, aa, abb, a, aaab]"
0*10*(10*10*)*,(0|(1(11))*)+,"[0, , 0111]","[011, 01, 0110, 0100, 01001, 010]"
(a|baa)*,(a)*((b)+(aaa)+)*,"[, a, abaaa]","[aba, ab, abaab, abaaaa, abaaaabab, abaaaab, abaaab, abaaabb, abaa, abaaaaba]"
a+b,(ab)+,[ab],"[aaa, aa, abb, , aba, a, b, aaab]"
(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"[, aabbabb, aabbabbb, aabbabba]","[aabbabbab, aa, a, aaba, b, aabbabbaa, aab, aabbaba, aabba, aabbab, aabb]"
(0*10*10*)*|0*,0*0?|(0|1)11*,"[000, 00, 011, 0, 11, , 01]","[000101, 1, 00010, 0001, 010, 10]"
b*a*,(a+(a*))|((a*)+(b*)),"[abb, , ab, a]","[aba, abaab, abaa]"
