Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[abbbbbaa, abbbbb, abbbbba, abbbbbb]","[abb, , aba, ab, a, abbba, abaab, abbbb, abaa, abbb, abba, abbbbbaab, abbbba]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[, ab, abba, abab, ba]","[aaa, aa, abb, aba, a, bab, b, baa, ababb, abbaa, abbab, abbaabb, abbaaba, aaab, abaa, babb, abbaabbb, abbaab, abbaaa, ababa]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[aba, ab, abaaa, abaaaa, abaaaabab, abaa, abaaaabaab, abaaaabb]","[abb, , a, abaab, abaaaabaa, abaaaabaaaab, abaaaab, abaaaabaaaa, abaaaabaaa, abaaaaba, abab]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[aa, bba, bb, , a, bbbba, bbb, aabb, bbbbbb, bbbb]","[bbba, bbbbb, aaba, bbbbba, b, aab, aabaa, aabaab, ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[01, 000001, 0010, 01101, 00001, 010, 001, 100, 1, 00010, 0001, 0111, 000010, 10]","[00, 11, , 0000010, 000000, 000011, 00000001, 00000, 00011, 01100, 000, 011, 0, 101, 0000, 0011, 0110, 0000000, 0000011]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[abb, , a, abbaa, abba]","[aba, ab, abaab, abbaab, abaa, abbb]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"[abaaab, abaaabb]","[, aba, ab, a, abaaaba, abaaa, abaaababb, abaaabab, abaa]"
(0|1)(0|1)*,(0|1)((01)+),"[001, 101]","[00, , 11, 01, 1011, 0010, 1010, 000, 0, 100, 1, 0000, 0011, 1001, 10]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[aba, ab, abbaba, abbab, abaa]","[abb, , a, abaab, abaaba, abaabab, abbabab, abba]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"[aba, ab, ababb]","[, a, ababaa, ababa, ababaab, abab]"
