Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[01, 01101, 011010]","[011, 0, , 0110101, 0110, 0100, 01001, 010]"
a+b,(a*|b),"[aa, , a, b]","[bb, aaba, aab, aabab, ba]"
0*10*(10*10*)*,-1,[-1],"[00, 0, , 001, 1, -0, -10, -11, -]"
(a*ba*b)*a*ba*,(a|ba*b)*,"[, a, abab]","[aba, ab]"
0(0|1)*0,0(0|1)*1,"[001, 0011]","[00, 0, , 1, 101, 0010, 10]"
(0*10*10*)*|0*,0*10*1(1)0*,"[010110, 01011]","[0, , 01, 010100, 0101101, 0101, 01010, 0101001, 010]"
0*10*(10*10*)*,(1)(111),[1111],"[00, 0, 110, 11, , 001, 111, 1, 1110, 11111, 11110, 10]"
(a*ba*b)*a*ba*,a*ba*b,[abab],"[, aba, ab, a, ababb, ababaa, ababa, ababaab]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[ababbaabbb, ababbb, ababbaab, abab]","[, aba, ab, a, ababb, ababbaabb, ababbaaba, ababba, ababaa, ababa, ababbaabba, ababaab, ababbaa]"
b*a*,a(a)*b,[aab],"[aa, , a, aaba, b, aabaa, aabaab, aabb]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[, baaa, baa]","[aa, baaabb, a, baaab, bab, b, aab, ba]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[aa, , bb, a, bab, b, aab, bbb, baab, bbaa, bbab, baaa, ba]"
b*a*,(a*b*)*baa(a*b*)*b,"[abaaab, abaaabb]","[, aba, ab, a, abaaaba, abaaa, ababb, abaa, abab]"
(a|baa)*,"(a)b{2,}","[abb, abbb]","[aaa, aa, , aba, ab, a, b, aaab, abba]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[bb, ab, a, bab, bbb]","[aaa, aa, abb, bba, , aba, b, baa, aaab, ba]"
001|1010|110,(001)(10101)(110),[00110101110],"[00, , 01, 001100, 001101, 0010, 00001, 0000, 001101011100, 001101011101, 00110101, 00110, 00110100, 00111, 0011011, 000, 0, 001, 1, 00110101111, 0011010, 0011010111, 0011, 0011010110, 001101011, 001101010]"
(0*10*10*)*|0*,1,[1],"[00, 0, 11, , 001, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[000, 00, , 11, 111]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[abbb, aabb]","[aa, , abb, a, ab, aaba, aab, abbba, aabba, abbbb, aabbb, abba]"
