Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[, a, b]",[]
001|1010|110,001|10101|110|1010,"[110, 001, 1010, 10101]","[00, 11, , 01, 1011, 0010, 00001, 000, 0, 100, 111, 1, 101, 0000, 0011, 10100, 10]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[bbaaa, aaaaa, aaaa, bbaa]","[aaa, aa, , bba, bb, a, b, bbaaabb, aaaaabb, aaaaab, aaab, bbaaab, bbab]"
(0*10*10*)*|0*,(0*|1*)*,"[0, , 1]",[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"[, a, b]",[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[aa, , bb]","[a, b]"
(a|baa)*,[a]*|[baa]*,"[, a, b]",[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[011, 01, 010]","[0, ]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"[0, , 1]",[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[010011, 011, 0, , 010010, 0100111, 01001, 0100110]","[01, 0100, 010]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[, ab, aaabbabab, abba]","[aaa, aa, abb, a, aaaba, aaabbab, aaabb, aaabaab, aaabbaa, aaabbabb, aaabbabaa, aaabbababa, aaabbababb, aaabba, aaabaa, aaabbb, aaab, abbb, aaabbaba, aaabbababaa, aaabbababab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[, a, b]",[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[aaa, aaaa]","[aa, , ab, a, aab, aaaab, aaaabb]"
b*a*,a+[ba]*|(b*a*),"[aa, bb, , a, ab, b, baa, ba]","[baaba, baabab, baab]"
(a|(b*bb))*,(a|b)*,"[, a, b]",[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaaa, baaa, aaaaa, aaaa]","[aaa, aa, , a, bab, b, aab, baa, aaaaabb, aaaaab, aaab, baab, baaaabb, baaaab, ba]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaaa, baaa, aaaaa, aaaa]","[aaa, aa, , a, bab, b, aab, baa, aaaaabb, aaaaab, aaab, baab, baaaabb, baaaab, ba]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"[aaa, aaaa]","[aa, , ab, a, aab, aaaab, aaaabb]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"[, a, b]",[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[aa, , bb]","[a, b]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[abb, aba, ab]","[, a]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[, a, abaabb, abaabbb, abaabba]","[aba, ab, abaab, abaa]"
(a|baa)*,(a|(b*aa))*,"[, a, abaa]","[abb, aba, ab, ababab, ababa, abab]"
(a|baa)*,(a)*((b|aa)*(a)*)*,"[, a, b]",[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[, baba, bababb, aaba, bababa, bab, aab, aababb, aababa, babab, aabab]","[aa, a, babaa, babb, b, aabaa, aabb, ba]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,"[0, , 1]",[]
001|1010|110,0*1(01)*1*0*,"[010110, 01, 010111, 01000, 01011, 0101, 0100, 010]","[0, , 010001, 0100010, 01000101]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[aaa, aba, aaaa, abab]","[aa, , abb, bb, a, ab, b, aab, ba]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[, a, b, /]",[]
(ab|ba)*,a*b*(a|b)*,"[, a, b]",[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[, aaba, b, aab, aabb]","[aa, a]"
