Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[, aa, ba]","[bb, a, ab, b]"
(0*10*10*)*|0*,0|111*,"[0, 11]","[, 00, 1]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[, 0, 1]",[01]
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[, baaa, b]","[baaab, baa, ba]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[, aaa, bba, a, b]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,[b],"[, bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[, 00, 110101, 00100010, 0010, 0010010, 001001010010, 010010, 0100101, 0100100, 01011, 10011, 101101, 10010, 010010100, 0100101001, 11, 110011, 01001, 001001010, 01001011, 0, 0010010100, 1, 1101, 110101001, 10101, 10100, 01001001011, 10101000, 10101001, 001001, 101010, 010010010101, 101011, 00101, 00100, 00100101001, 010, 01001010, 1010010, 0101, 10010101, 0100, 10110, 11001, 1001010, 00100100, 10111, 1101101, 0010001010, 010010010, 1101010, 0100101000, 11010, 110110, 1011, 1010, 0010001, 0010010010, 001000100, 1010100, 101, 1001, 1010101, 0100100101, 11011, 001000, 1001010101]","[01, 10100100, 00100011, 101001, 01001001, 110, 001, 001000101, 100, 001000110, 001001001, 1100, 100101, 00100101, 100101010, 01001001010, 0010001001, 11010100, 10]"
(a|b)(a|b)+aaa+,"a{2,}",[aa],"[, a, aab]"
(a*ba*b)*a*ba*,a*b(a)*bb*,[bb],"[, bba, b]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaa, aaaaa]","[, aa, aaa, bb, bba, a, bbaab, b, aaaab, aaaa, bbaa]"
(ab|ba)*,((bb)*|(aa)*)*,[],"[a, ab, b]"
(ab|ba)*,(a|b)b,"[bb, ab]","[, aa, a, b, ba]"
(ab|ba)*,((aa)*b)*,[],"[aa, a, ab]"
b*a*,a+|(b*a)*,[],[b]
001|1010|110,(0|1)*01(0|1)*,[01],"[, 0]"
(a|b)(a|b)+aaa+,(ab|aaa)*,[],"[aa, a, aab]"
0*10*(10*10*)*,(1(11)*)|0*,"[, 0, 1]","[11, 01]"
(ab|ba)*,(aa+ab+bb+ba)*,[],"[aa, aaa, a, aaaba, aaabb, aaabbbb, aaabbb, aaab]"
(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,"[, a]","[ab, aba, b]"
b*a*,(a+|a*b*),"[, b]",[ba]
a(a|b)a(a|b)*,a+a+b+a+(a+b)*,"[aaba, aabaa, aabaab]","[, aa, a, aab, aabaaba, aabaabb]"
0*10*(10*10*)*,0*(11)*0*1*,"[, 11, 110, 1, 1101]",[10]
(a*ba*b)*a*ba*,(a|ba+a)*,[],"[b, bab, ba]"
a+b,(ab)*,[],"[aa, a]"
0*10*(10*10*)*,(0|(1(11))*)+,[],"[11, 1, 10]"
(a|baa)*,(a)*((b)+(aaa)+)*,"[, baaa]","[b, baa, baab, ba]"
a+b,(ab)+,[ab],"[, aa, a]"
(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"[, abbbb, abbbba]","[abb, a, ab, abbb]"
(0*10*10*)*|0*,0*0?|(0|1)11*,"[, 0, 00, 01]","[001, 1]"
b*a*,(a+(a*))|((a*)+(b*)),"[, b]",[ba]
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+,"[baaaa, ab]","[, a, aba, baaa, b, baa, ba]"
(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"[, abbaabbaba, ab, abbaabba, abbaabab, abbaab, abba]","[aa, abb, a, abbaa, abbab, abbaabb, abbaaba, abbaabbab]"
(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+),[aaa],"[, aa, bb, bba, a, b, aaab, ba]"
(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*)),"[baba, bb, bba, bab]","[, b, babab, ba]"
(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"[, bb, a, b]",[ab]
(b|(a*aa))*,(a|b)(aa)*(a|b)*,"[a, b]",[]
(0*10*10*)*|0*,0?0|111*,"[0, 00, 11]","[, 000, 1]"
