Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[bbbbb, bbbbba]","[, bb, b, bbb, bbbb, ba]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[, ab, abba, abab, ba]","[aa, abb, a, aba, b, abbaa, abbaab]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[baaa, b, baa, ba]","[, baaab, baaaba, baaabaaa, baaabaa]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[, bb, a, bbb, bbbb]","[ab, aba, bbbbb, b]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[001, 01, 1, 000001, 0001, 00001, 10]","[, 0, 00, 000, 011, 000000, 0000, 0110, 00000]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[, bb, bba]","[b, ba]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,[baab],"[, b, baa, ba]"
(0|1)(0|1)*,(0|1)((01)+),"[001, 101]","[, 0, 00, 000, 1, 100, 10]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[b, bbb, ba]","[, bb, bab]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,[b],"[, bb, bba]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,[baab],"[, b, baa, baaba, ba]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[, aa, aab, aabaa, aabaab, aabaabaa, aabaabaab]","[a, aaba, aabaaba, aabaabaaba]"
(0|10*1)*,(0*|101)+,[],"[1, 100, 10]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),[111111],"[, 11, 1, 111, 1111, 1110, 11111]"
(a|baa)*,(b?aaa*)*,"[, aa]","[a, aab, aabb]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,[b],"[, bb, bba]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,[b],"[, bb, bba]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"[aaa, aba, aaab, abaa, aaaa, abab]","[, aa, a, ab, abaab, aaaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"[, 0, 010010, 1, 101, 0100, 1011, 10101, 010]","[01, 1010110, 0100101, 0100100, 101011, 1010, 01001, 01001011, 10]"
(0|10*1)*,0*|(10*1)*|0*,"[, 0, 11]","[01, 1]"
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"[b, ba]","[, baba, bab]"
(a|(b*bb))*,(bb|a)*,[],"[b, ba]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,[b],"[, a]"
(b|(a*aa))*,(aa+)*b*,"[, aa, aab]","[a, aaba]"
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),[1111],"[, 11, 1, 111, 11111]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"[bb, ab]","[, abb, a, b, bbb]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"[aaaaaa, bbaaaa]","[, aa, aaa, bb, bba, a, b, bbaaa, aaaaa, aaaa, bbaa]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"[001, 01, 1, 000001, 0001, 00001, 10]","[, 0, 00, 000, 101, 000000, 0000, 1010, 00000]"
(a*ba*b)*a*ba*,(a|bb)*a*b,[b],"[, ba]"
