Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[1, 111]","[, 11, 10]"
a+b,(a*|b),"[, a, b]",[ab]
0*10*(10*10*)*,-1,[],"[, 0, -]"
(a*ba*b)*a*ba*,(a|ba*b)*,[],[b]
0(0|1)*0,0(0|1)*1,[01],"[, 0, 1]"
(0*10*10*)*|0*,0*10*1(1)0*,[111],"[, 11, 110, 1]"
0*10*(10*10*)*,(1)(111),[],"[, 0, 11, 1, 111]"
(a*ba*b)*a*ba*,a*ba*b,[bb],"[, bba, b]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[bb, bbbab]","[, bba, bbba, b, bbbabb, bbb]"
b*a*,a(a)*b,[ab],"[, a, aba]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[, baa]","[a, b, ba]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[, bb, a, b, ba]"
b*a*,(a*b*)*baa(a*b*)*b,[baab],"[, b, baa, ba]"
(a|baa)*,"(a)b{2,}",[abb],"[, aa, a, ab]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[bb, a, ab]","[, aa, b, ba]"
001|1010|110,(001)(10101)(110),[],"[, 0, 00, 000, 001, 0011010, 0011010111, 001101, 0011, 00110101, 001101011, 00110]"
(0*10*10*)*|0*,1,[],"[, 0]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[, 00, 11]"
(ab|ba)*,(aa|bb|ab|ba)*bb,[bb],"[, a, b]"
(ab|ba)*,aabb(a|b)*,[aabb],"[, aa, aaa, a, aab]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,[b],"[, ba]"
a+b,(a|b),"[a, b]","[, aa, ba]"
a+b,a|b,"[a, b]","[, aa, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[ab, b]","[, a, aba]"
0*10*(10*10*)*,0*|1(111)0*,"[, 0]","[11, 01, 1, 111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[01, 10]","[, 0, 1]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[, 0, 1]","[00, 11]"
b*a*,(b|a)*(baa)+(a|b)*b,[baab],"[, b, baa, ba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[, 00, 11]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),[abba],"[, abb, a, ab, aba]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,[bb],"[, b]"
001|1010|110,1+0+11+0+,[10110],"[, 0, 1, 101, 1011, 10]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,[bba],"[, bb, a, b, bbaa]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, |bbaaa]","[, aaa, a, aab, |b, |, |bba, |bb, |bbaa]"
a+b,b+a,[ba],"[, a, b]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[baba, aaba]","[, aa, aaa, a, b, bab, aab, baa, ba]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,"[, abb]","[a, ab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[11111, 00000]","[, 0, 00, 000, 11, 1, 111, 0000, 1111]"
(a|(b*bb))*,b(ab+ba+b)*,[b],"[, babba, a, babb, bab, ba]"
(0*10*10*)*|0*,0*1(0*10*10*)+,[111],"[, 11, 1]"
001|1010|110,1+0+011+0+,[100110],"[, 0, 1, 100, 1001, 10011, 10]"
b*a*,(a)(a)*(b)(b)*(a)(a*),[aba],"[, a, ab, abab]"
b*a*,[ab]*baa[ab]*b,[baab],"[, b, baa, ba]"
(ab|ba)*,aaa*bbb*(a|b)*,[aabb],"[, aa, a, aaba, aab]"
(a|b)(a|b)+aaa+,(a|b(aaa)),[a],"[, aa, ab, b, baa, ba]"
a+b,a*|b,"[, a, b]",[ab]
(a|b)(a|b)+aaa+,(ab|aaa),[aaa],"[, aa, a, aaab, aaaa]"
a+b,a*,[],[b]
001|1010|110,(0+1)*01(0+1)*,[01],"[, 0, 00, 011, 010]"
(0*10*10*)*|0*,0*1(0|11)*,[1],"[, 11, 110]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,[],"[b, ba]"
001|1010|110,(0|01),"[0, 01]","[, 00]"
(ab|ba)*,(aa)*b,[b],"[, a, ab]"
001|1010|110,0|0|1,"[0, 1]","[, 00, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[bbbbb, aabbb]","[, aa, bb, a, b, aab, bbb, aabb, bbbb]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abb, aab]","[, aa, aaa, a, ab, aba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,[a],"[, ab]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abb, aab]","[, aa, aaa, a, ab, aba]"
(ab|ba)*,a,[],"[, aa]"
(a|(b*bb))*,(a+b)b(a+b),[abbab],"[, abb, a, ab, aba, abba]"
001|1010|110,0,[],"[, 00]"
001|1010|110,1,[],"[, 0]"
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"[abb, aab]","[, aa, aaa, a, ab, aba, aaba, abba]"
001|1010|110,(1|0)(001|10101|110)*,"[0, 1]","[, 00, 11, 01, 1000, 010, 000, 011, 110, 100, 111, 0000, 10]"
001|1010|110,(0|1)*0101(0|1)*,[0101],"[, 0, 01, 010]"
a+b,(a*)ba,[ba],"[, b, baa]"
(a*ba*b)*a*ba*,(a)*b(a)*b,[bb],"[, bba, b]"
0+1*,1,[],"[, 0]"
(0*10*10*)*|0*,0*10*11,[111],"[, 11, 110, 1]"
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[],"[, -0, -]"
001|1010|110,[001]|[10101]|[110],"[0, 1]","[, 00, 10]"
001|1010|110,11010110,[],"[, 0, 11, 110, 1, 110101, 1101011, 1101, 11010]"
0*10*(10*10*)*,0*(10*1),[11],"[, 110, 1]"
a+b,ba+,[ba],"[, a, b]"
(a|b)*baa(a|b)*b,a(a*)b,[ab],"[, a, aba]"
a(a|b)a(a|b)*,abba,[],"[, aa, abb, a, ab]"
001|1010|110,(0|1)*0101(0|1),"[01011, 01010]","[, 0, 01, 0101, 010]"
(a*ba*b)*a*ba*,(bb)+,[bb],"[, a, b]"
0*10*(10*10*)*,0*|1(1)0*,"[, 0]","[01, 1]"
b*a*,a(a*)b,[ab],"[, a, aba]"
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"[aa, abaaa]","[, aaa, a, ab, aba, aaabb, aaabbaa, aaabbaaa, aaabba, aaab, abaa]"
b*a*,(b|a)*(baa)+(a|b)*b+,[baab],"[, b, baa, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"[01, 10]","[, 0, 1]"
(a|baa)*,a*b(a*ba*b)*a,[ba],"[, b, baa]"
0*10*(10*10*)*,0*,[],[1]
a+b,(a*b)*a,[a],"[, aa]"
001|1010|110,((0|01)(1|10)),"[011, 01, 010]","[, 0, 00]"
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"[11111, 00000]","[, 0, 00, 000, 11, 1, 111, 0000, 1111]"
0*10*(10*10*)*,(0*10*10*10*10*)*,"[, 01111]","[0, 011, 01, 0111]"
001|1010|110,(1|0)(001|1010|110)*,"[0, 1]","[, 00, 11, 01, 1000, 010, 000, 110, 100, 0101, 0000, 1101, 10]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,[bb],"[, b, ba]"
(a|baa)*,abb*,[ab],"[, aa, a]"
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,[bab],"[, bb, b, baa, ba]"
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,[],"[b, bab, ba]"
(a|b)*baa(a|b)*b,a+|b*a*,"[, a]",[ab]
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"[11, 11011]","[, 110, 1, 11011010, 1101, 110110, 1101101]"
