Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,[],[]
001|1010|110,001|10101|110|1010,"[001, 1010]","[, 0, 00, 000, 11, 1, 101, 10]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[aaaa, bbaa]","[, aa, aaa, bb, bba, a, b]"
(0*10*10*)*|0*,(0*|1*)*,[],[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,[],[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,[],"[a, b]"
(a|baa)*,[a]*|[baa]*,[],[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,[1],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),[],[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[, 101, 1011]","[1, 10]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[, aabbabab]","[aa, a, aaba, b, aab, aabba, aabbaba, aabbab, aabb, aabbababa]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,[],[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,[aaa],"[, aa, a]"
b*a*,a+[ba]*|(b*a*),"[, a, b, ba]",[bab]
(a|(b*bb))*,(a|b)*,[],[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,[aaa],"[, aa, a]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,[],[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,[],"[a, b]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,[b],[]
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[, bb]","[b, ba]"
(a|baa)*,(a|(b*aa))*,[],"[b, bab, ba]"
(a|baa)*,(a)*((b|aa)*(a)*)*,[],[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[, bb, bba, ab, aba, abab, bbab]","[a, b]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,[],[]
001|1010|110,0*1(01)*1*0*,"[11, 1, 100, 10]","[, 1001]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[aaa, aba]","[, aa, a, ab, b]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[, a, b]",[]
(ab|ba)*,a*b*(a|b)*,[],[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[, ab]",[a]
(a|b)(a|b)+aaa+,(a+|b+)*aaa,[aaa],"[, aa, a]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,[],[]
b*a*,(a)*a*b*a*,"[, b, ba]",[bab]
(a*ba*b)*a*ba*,(a*ba*)*,"[, ab]",[a]
(a|b)(a|b)+aaa+,(a|b)*aaaa*,[aaa],"[, aa, a]"
(a*ba*b)*a*ba*,(a*ba*)+,[b],[]
0*10*(10*10*)*,(0*10*1*)*,"[, 01]",[0]
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[, bb, bba, ab, aba, abab, bbab]","[a, b]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[, aaa, aba]","[aa, abb, a, ab, aab]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"[, aa, ab]","[aaa, abb, a, aba, b, aab, aaab]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"[, babba, b, bab, ba]","[babbaa, babb, babbb]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,[bab],"[, b, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,[],[]
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),[bab],"[, b, ba]"
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,[b],[]
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+",[],[]
(0*10*10*)*|0*,0*(0|1)*,[],[]
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"[, 01]",[0]
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,[],[]
0(0|1)*0,0+(0*1*0*)*,[0],"[, 1]"
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,[aa],"[, a, b]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,[],[]
(ab|ba)*,(a|b)*,[],[]
(ab|ba)*,(ab|ba)*|(ab|bb)*,"[, bb, ba]","[aa, bba, a, b, bab, baa, bbb]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"[, bb]","[b, ba]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"[, bb, bba, ab, aba, abab, bbab]","[a, b]"
(0*10*10*)*|0*,(0*|1*0*1*)+,[],[]
(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"[, bb]","[b, ba]"
0(0|1)*0,0+(0|1)*,[0],"[, 1]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,[],[]
(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,[baa],"[, b, ba]"
(a|(b*bb))*,(a*(b*b)*a*)*,[],[]
(a|b)(a|b)+aaa+,(a|b)*a{3},[aaa],"[, aa, a]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"[, bb, bba, ab, aba, abab, bbab]","[a, b]"
(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
(a|(b*bb))*,(a|b(b*))*,[],[]
(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"[baaa, aaaa]","[, aa, aaa, a, b, baa, ba]"
(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,[],"[a, b]"
(a|(b*bb))*,(a|(bb*))*,[],[]
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"[, 0, 1]","[01, 10]"
(a|baa)*,[ab]*(baa)*,[],[]
(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,[b],[]
(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"[a, baaa, b, aaaa]","[, aa, aaa, baaab, baa, aaaab, ba]"
(a*ba*b)*a*ba*,(a|b)+(a|b)*,"[a, b]",[]
