Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[, baba, aaba, aabaa, ba]","[bb, babb, ab, babbba, aabbba, aabaabb]"
(0*10*10*)*|0*,0|111*,"[0, 111]","[110, 01, 1110, 0010, 10]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[00, 11, ]","[110, 001, 101, 010]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[bb, , abaaaa]","[bba, baabb, bab, abaaaba, baaaab]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb, ab, ba]","[bba, abb, aba, bab, baa, aab, bbb, aaaba]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[bab, baab]","[babbba, baa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[10101001000, , 001110010101010, 100110101011, 011010111, 00100111010100, 101101010101, 101100110110100, 110110010010101, 1011001110101, 1101100110101011, 001001110101010, 0100101001000, 1010111, 1010100100100, 111, 001001000, 0011010100, 0010011010110100, 101010010101, 11001101010101, 1010100111000, 10101001011, 10110001010101, 011010100, 1011001000, 1011001101011100100, 010011001010100, 0101101101010, 000, 0010011001010010010, 100100, 00100111000, 10101001110101, 0101010010, 0100110001101010, 11011001011011, 1001101010101, 1101101101010101, 1010101101, 010011010110111, 101100101001011, 101100110110101011, 101011000, 1011001101010101, 101101011000111, 001010101000, 010011001010111, 01010101000, 001001011000, 010010101101010, 1011001010001100111, 00100101001101101010, 010011001010010010, 01001100101000111, 10110011010110111, 01010110010010, 010010100101000, 10110101100100100, 001001100101000100, 01001101101010, 110110101011, 10110010101101, 00101001010, 1101100101000111, 101011011, 110111011, 1010110010101, 1011001101101010101, 0010010100101000, 00110101010, 010110100, 11011001110111, 110101001011, 010101100011011001010, 001010110001010, 1100110101011, 1001010101, 110110101101101, 010101000, 0010011001000, 0110101010, 1101010010101, 1101100101001011, 0100110101000, 001001101001010, 0010110100, 010010110010, 11010110101, 10101000111, 101011001011, 0101011000111, 10101000110111, 1101101011001001011, 00100101001101010, 10110101101101, 101100101010111, 01001101001010, 1011000111, 1101100110100111, 11010010101, 1101101011010111, 01001101001101010, 011001010100, 001001010010010, 11001100111, 01001001010100, 100101011, 1101110101, 101110010101, 00100110010100101000, 010011010110100, 1010100110111, 101000, 0010010101101010, 00101010010, 0101011000100, 0101000, 11011001001011, 101100110101110101, 01001011000, 110110011010110111, 011011, 101100110100111, 00100101000100, 010101101010, 001010110001101010, 11011001101101010101, 1011010111011, 00100110101000, 010010111, 101101011000110111, 10110010010101, 01000110100, 001010111000, 11010100111011, 101100111001011, 101100111011, 101101000, 11011010110111, 010011001011000, 1100110111, 01001100101001000, 110101000111, 101101011001000, 10101100100, 10111011, 110110111, 0100110001010, 100111, 0101101010, 010011000100, 1101010111, 1011001010010101, 110110010110101, 0100110010101101010, 110101001101101, 001001101101010, 1101100110101101101, 001000100, 0100101001101010, 10111010111, 0101001101010, 101001011, 010010100111000, 010010010101010, 110101001001011, 100101000, 0010011010111000, 10110110100, 101010011010111, 0100110100111, 101101011100100, 0010010100110100, 011010110100, 1011001001001001011, 00100110010010101010, 0100110101101010, 0100111011, 0101011001000, 0010100100, 1101101011000111, 011001000, 0101001010, 110110101110101, 11011010110010101, 10110100111, 01001010100, 11011001011001011, 1101100110101001011, 0011001010100, 0011001000, 0010011001001010100, 00100110100100, 00100110010101101010, 010100100, 0010011001010001010, 110101001110011011, 0100110100100, 11011000101011, 1101100111001001011, 101100101000111, 0100110010101010, 1011001011001100, 01010110001010, 0100111000, 101100110101000, 0100110010100101000, 110110011010111011, 010000, 010001010, 010011001001010100, 11001010101, 010011010101000, 01001010111, 101101011001011, 0010010101010, 01110010101010, 10101010111, 00110010101010, 0100101001101101010, 0100110101110010010, 1011001010111, 01001110101010, 010011001000, 001001010001101010, 010011001010001010, 1101011011, 0010011010101000, 01001100101100110, 00101011001000, 10110011010100100, 101100110101011, 1101100101001001011, 0010011001010001101010, 001010110010010, 01001010001101010, 10110111, 11011010111001011, 01001000, 010001101010, 00100110101101010, 11011001101011010111, 011000, 11011010111011, 00101001101010, 0010101101101010, 11011001010010101, 101100110111, 0010101100101000, 01001101101101101010, 1011010111000, 01001010001010, 101101101010101, 01010110111, 010011001001011, 001010110100, 1011010110010101, 110101010111, 001001100011001010, 1011000101011, 1101011001011, 110110101001011, 11011000111, 110110110101011, 011001011, 1010110101, 10101001101101, 010010100110111, 0010011001010100, 001001101001101101010, 0110101101010, 0010101101010, 010101101101010, 101100110100110110111, 1011010100100, 101100110101101101, 01001101010010, 01010110100, 1011001101011010111, 10110010100100100100, 010011001010001101010, 0100101000111, 101001001011, 10110101000, 0100110010010101010, 001001001010100, 10110010110101, 001001101010010, 100110010, 0010010010101010, 010010100110100, 1101101011001011, 1010010101, 1100111, 101110101, 0010010100111000, 010101100101000, 101100101001000, 11010100110111, 0100110111, 1011001001011, 01001010010010, 0010001101010, 0100110110100, 001001010100, 0100101000100, 10110101011, 1101101010101, 00100110110100, 01001100101000100, 110111001011, 10110100110111, 101101011010111, 10110101110101, 1011001011000, 11011001101010101, 10110001000, 01001001011, 1101100110101110101, 010011010111000, 1010100111011, 101010111, 110110100111, 0110010101010, 1101010011010111, 00100110101101101010, 00100110001010010, 1011010110111, 10110011010111000, 0100101001110010, 110101001110101, 01000101000, 110110010101101, 0011000, 0100110101101101010, 100110111, 010111, 110110001010101, 00100101001000, 00100110010101010, 0010011001011000, 11011001010111, 1101100110111, 1011001011011, 110110011010111001011, 1100101011, 0010011000100, 0100111010100, 01010111000, 0010001010, 010101110010, 10111001011, 00101011000100, 001001010001010, 101010011100100, 11010101101, 10110011010111011, 0010101000, 00101101010, 01000100, 100110100, 010010101010, 1101100101010111, 1101001011, 1101100110110101011, 10110110101011, 001001100101001000, 010100111, 11011001110101101]","[10110001010110, 1101000, 0100110010110011, 1101100101011010, 0100110101110001, 110110011011010101010, 001010110001001, 0010010110001, 1001101010110, 010010010101001, 001100101010101, 1001010110, 00100110010001, 0101011010101, 00101011010101, 01101011010101, 0010010100010101, 01010110010001, 1010001, 0010101100100101, 11001101010110, 1001010001, 00100110010100100101, 010011010110110, 01001101101001, 1011001101101010110, 001010010101, 110111000, 101101011000110, 1010110010110, 01001100101000110, 010011010100101, 110101001001, 110101001000, 110111001, 1101100111010101, 11011010010, 1101101101010110, 00100111011, 00100110101110001, 11011001011000, 11011001011001, 101101011101010, 11011101010, 0010101110001, 001001101001001, 01001010010101, 11011001010001110, 00101001001, 001001010011101, 11011000100, 101100110101110110, 10110011011010101010, 00100101101, 001000111, 001000110, 010010110001, 0110101001, 1101100101101010, 00101011101, 11011001101001110, 110110011010010, 110110110100, 0100010101, 00100110111, 1001101110, 11010110110, 101100101101010, 010011000110, 0010011101010101, 101110010110, 010011000111, 11011001010101110, 110101011010, 1101100110110100, 0110101110, 101101011011010, 01001110001, 010011010010101, 10110010001, 01010010101, 101101011001001, 001001101101001, 1001101001, 1101100101001001, 1101100101001000, 110010101010, 01001110110, 001001010010001, 010011011010101, 0100110010110001, 001010100101, 101100110101110001, 10101100101010, 1100110100, 01010110010101, 0011010111, 00100110010110001, 0100110001001, 001101010101, 001001100101001010001, 001001010011010101, 01100101010101, 01010110001001, 1001110, 101101001110, 01001101110, 10110101100101010, 110110101100101010, 10101001101010, 11001010110, 11100, 0100011010101, 110110010110110, 1011001101110, 1001100, 00100110010010101001, 0100110010100010101, 010010100100101, 101010011101010, 001010110010101, 01001010110, 11011010110010110, 1011001101011011010, 11011001101110, 10110011010010, 0100110101101110, 1011010111001, 0101001110, 110110011010111001, 00100110001001, 110110011010111000, 10101001101110, 010011101010101, 1011010110101110, 101101000110, 0100101010101, 01010110110, 101100110101101110, 11001101110, 1001001, 0100110101101001, 0010100111, 0010100110, 001010110010001, 0101001001, 1011001101011101010, 1010110110, 001011010101, 11011010111000, 00100110101101001, 11011010111001, 00100110010100010101, 001001100101101, 110011010101010, 010010100110110, 010101101110, 01001101011101, 0010011001010001001, 010011001010001110, 1101101011101010, 010101110001, 11010101110, 1011001010001100, 0100101000110, 00100110001100, 1101010001110, 010110111, 0110010110, 10010001, 01001101010001, 10110011010101010, 101110101110, 11011001101010110, 10110001110, 010011001010001001, 101100110101101010, 0110010101001, 1011100101010, 1101100111001001, 00100101001010001, 0100110010010101001, 1011001010001110, 110110001110, 110110001010110, 110101001110110, 0110010001, 0100110010001, 10110001001, 110110011010101010, 0100101001010001, 001001010001001, 01000110, 001001010111, 001001010110, 110110010100010, 01000111, 01101010101, 101100101001001001, 10110011010111001, 01001101010101, 01001100101001010001, 01010111001, 01001110101001, 11011010101010, 01010110001110, 11011010110001110, 0101000110, 1010100110101110, 11010100010, 0011011, 01010100101, 110110010101110, 0010010010101001, 01001100010101, 1101101110, 110110011010110101110, 01011110, 0010011000111, 010100110, 10101001001, 101010010110, 10101001110001, 1011001101010001, 0010011001010010001, 1010111010, 1101100110101101010, 01011010101, 101101101001, 110110101101110, 0101010001, 1010100111001, 00110010001, 10101001110110, 101101010110, 11010100111000, 101100110100110110, 1011010101010, 1011001101010110, 110110010010110, 1101100110101001, 1101100110101000, 110110010101010, 01001100100101010101, 1010100010, 0101011101, 01010110001101100, 010101100100101, 01001101011010101, 00101011001010001, 101011001, 101101010001, 101100100101010, 11010101010, 010011001010010001, 010011001010110, 0010011001010010101, 0010111, 11011001110000, 010000110, 00110101001, 00100101000110, 00100101000111, 0010011001001011, 1101010011101010, 101010101110, 00100110100110110, 010010001, 10110101110110, 0101010101, 1010101110, 10110010100010, 10110010100101010, 101010010001, 010101010001, 001001110101001, 1011010011010, 1011001110110, 11011001110110, 110101001110011, 0010011010110110, 10110101110001, 0010011010110111, 001001100101000111, 001001100101000110, 110110101100010, 10110010101110, 110101001101010, 1011010110010110, 10101000110, 0101110, 11001100, 010011001010010101, 11011001101101010110, 1010110001, 11001110, 0101011001010001, 10101011010, 10110101101110, 010101101001, 1101010011011010, 110110010100101010, 10110010010110, 1011010110010001, 010010010110, 0010011010100101, 1011010110001110, 00100110101010001, 01001011001, 01001101001001, 10110010101010, 1101110110, 1101101001110, 11011011010101010, 101101101010110, 1101010010110, 0101101001, 110101001101110, 110110101101010, 11010100101010, 1101100110101101110, 1011001101101001, 11011001101011011010, 01001101001110, 101001000, 010101100010101, 00110010101001, 1011001010010001, 001001001011, 01001100101101, 10011010101010, 00011, 101101110, 10110011010110101110, 001001100101010101, 00100101001101001, 11010010110, 0010010001, 10110101100010, 10111001, 10111000, 010010100111001, 1011001010010110, 0100110100110, 11011010110101110, 0100110101010001, 00100101010101, 1101101011011010, 00101010101, 1101100100101010, 10010101010, 0010010101001, 10110100110, 00101101001, 10110011101010, 0010101101001, 0100101001101001, 10101101010, 01001010001110, 0100100101010101, 1011010010, 0010010100110110, 0111001, 0010010100110111, 101100111000, 001001010010101, 101100111001, 110110101110110, 010001010001, 001001100010101, 010010101110, 101010001110, 0010101010001, 0100101001101110, 101100110101001, 00100110010101001, 110101101010, 11010100110101110, 00100110100111, 01001100101010101, 1011101010, 00100100101010101, 001010110111, 0100110010101001, 001010110110, 1011001101001110, 001001110001, 0110101101001, 00111001, 11011001101011101010, 00101010001, 010001101001, 001001100100101010101, 1101100010101010, 10110101101010, 1010100101010, 0010011001010111, 0010011001010110, 1101100110101110110, 0100101101, 110100101010, 0100110010101110, 1101011001, 1101011000, 10100101010, 001001101010101, 0100110010010110, 01001010001001, 010010111001, 1010010110, 0100110110111, 101100010101010, 10110010110110, 10110101001, 1011001010101110, 01001010011101, 001001101011101, 0100110010100100101, 1010101010, 1101010101110, 00100101001110001, 00100010101, 0110110, 11011001010010110, 01001010011010101, 10110010110001, 001001101010001, 0010011011010101, 01001010010001, 1101101011001001, 1101101011001000, 1100100, 101110110, 110110101000, 0010001001, 110110101001, 0010101100010101, 0110001, 00101011000111, 00101011000110, 0100101100101, 010011010111001001, 1011001001000, 1101101010110, 001001101011010101, 10110010110011, 0010011010010101, 010001001, 010010101001, 0100101001110001, 1101001000, 010010100010101, 101010011011010, 00110001, 0010010100100101, 1011011010101010, 101100101011010, 11011001000, 0011001011]"
(a|b)(a|b)+aaa+,"a{2,}",[aaa],"[abb, aaba, b, aaab]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[bab, abbb]","[bbba, abbaba, ba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[baaaa, bbaaa, abaaa, aaaaaba]","[abb, bab, aab, bbb, abaab, aaaabba, abaa, aaab, aaaa, bbaa, baab, abab, bbab, baaa, baaab, bbaab]"
