Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[011111, 111101]","[101, 111111, 0100, 11110]"
a+b,(a*|b),"[aa, , b]","[bb, aab, abba, ba]"
0*10*(10*10*)*,-1,[-1],"[1, -0, -10, -11, 010]"
(a*ba*b)*a*ba*,(a|ba*b)*,"[bba, bbbab, ]","[bbba, bbab]"
0(0|1)*0,0(0|1)*1,"[011, 0101, 01001]","[11, 01010, 0110, 0100, 10]"
(0*10*10*)*|0*,0*10*1(1)0*,"[1110, 1011]","[1111, 01101, 11101, 10]"
0*10*(10*10*)*,(1)(111),[1111],"[110, 01, 1110, 11111, 11110, 10]"
(a*ba*b)*a*ba*,a*ba*b,"[abb, bab]","[abbaa, bbbb, ba]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[bbbabbb, bbbbbabbb, abbbabbbbb, bbbaab, bbbb, babbab]","[bbbaa, bbbabba, bbbba, bbbabbbba, bbbabab, abbaa, bbbbbabba, bbbabbba, bbbbbaba, ba]"
b*a*,a(a)*b,"[ab, aab]","[aa, b, abaa, abbb]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[, baabaaa, baabaa]","[baabba, bb, ab, bab, baabaaab, baabab]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[aa, baaab, bab, bbb, bbaa, baab, bbab]"
b*a*,(a*b*)*baa(a*b*)*b,"[bbabaab, babaabb, abaabab, baabaab]","[abaababa, babaabba, baabaa, bbab]"
(a|baa)*,"(a)b{2,}",[abbb],"[aaa, b, abbba, abba, abab]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[ab, bab, bbb, bbab]","[abb, baba, aba, babb, bbbaa, aaba, bbabb, baa, bbaba, bbaa]"
001|1010|110,(001)(10101)(110),[00110101110],"[01, 00110101111, 001100, 0000, 001101011100, 0011010110, 001101011101, 00101, 001101010, 00110100, 00111, 0011011]"
(0*10*10*)*|0*,1,[1],"[11, 010, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[11, 01, 0010, 10]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[bbabbbaaabbbbbaabaaabb, bbbbabaabbabbbaabb, bbabbbaaabbbbbaabaabbb, bbaababbaabb, bbabbbbaabbb, bbabbbbaaabb, abbbaabbabaaabbb, abbbaabbabaaaabb, bbaababbabbb]","[bbabbbbaa, bbaababba, bbbbabaabbabbbaabbb, abbbaabbabaaa, bbabbbaaabbbbbaabaa]"
(ab|ba)*,aabb(a|b)*,"[aabba, aabbb]","[ab, b, aab, aabab, aaaa]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,[abb],"[bba, ababa]"
a+b,(a|b),"[a, b]","[bb, ab, aaba, ba]"
a+b,a|b,"[a, b]","[bb, ab, aaba, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[bb, ab, aab]","[bba, aa, abaa, abbb, ba]"
0*10*(10*10*)*,0*|1(111)0*,"[00, , 1111]","[110, 001, 101, 1110, 11111, 010]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[011, 100, 0101, 11010, 1010, 01001]","[01010, 0110, 1101, 1001, 0100, 10101]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, , 1]","[11, 01, 0010, 10]"
b*a*,(b|a)*(baa)+(a|b)*b,"[bbabaab, abaabb, babaabab, baabaab]","[babaababa, abaabba, bbab, baabaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[11, 01, 0010, 10]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"[abbba, abbaa, aabba]","[aa, b, abbaab, abbabb, abbb, abaa]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,"[bbbab, abbbba]","[bbba, abbbbab]"
001|1010|110,1+0+11+0+,"[101110, 110110, 100110, 101100]","[00, 11, 100, 1011001, 101101, 10101, 10111]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"[bbaabbaaabba, bbabbaabba, bbbbaabba, bbaabbabbaabba, bbbbabbaababa]","[aa, ab, bbbbabbaaba, bbaabbaaa, bbaabbabbaa, bbbbaa, bbabbaabb]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, |bbaaaa]","[bb, aaa, aba, aab, |a, |bbaaaab, |ba, |bbab, |bbaab, |bbaaab, |bbb]"
a+b,b+a,"[bba, ba]","[aa, bb, bab, baab]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[baba, aababa]","[bb, babb, ab, bab, aab, aaaa, aabb, baab]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,"[bbbab, , aabb, abba, bbbb]","[aa, bbba, bbbbb, abbab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[00101, 00001, 00100, 01111, 01011, 01110, 01010, 10011, 10110, 11001, 11100, 10010, 11000, 10111, 11101, 000000, 11010, 00011, 00110, 01101, 00111, 01001, 01100, 01000, 00010, 10000, 11111, 11011, 11110, 10101, 10001, 10100]","[1000, 1011, 1110, 0010, 1010, 0101, 0000, 0011, 0110, 1101, 0001, 0100, 0111, 1001, 1100, 1111]"
(a|(b*bb))*,b(ab+ba+b)*,"[babbababbab, babbbababbab, babbaab, babbab]","[baba, babbaa, bb, ab, baa, babbabaaa, babbababa, babbabb, babbababba, babbbababb]"
(0*10*10*)*|0*,0*1(0*10*10*)+,"[111101, 1110, 1011, 11111]","[111111, 11110, 11101, 10]"
001|1010|110,1+0+011+0+,"[1001110, 1000110, 100110, 1100110]","[11, 101, 10011001, 1001101, 100111, 1000, 10010, 010]"
b*a*,(a)(a)*(b)(b)*(a)(a*),"[aaba, abaa, abba]","[aa, bb, abb, abaab, ababa]"
b*a*,[ab]*baa[ab]*b,"[bbabaab, abaabb, baabaab, babaabab]","[babaababa, abaabba, bbab, baabaa]"
(ab|ba)*,aaa*bbb*(a|b)*,"[aabba, aaabb, aabbb]","[abb, aaa, b, aab, aabaa]"
(a|b)(a|b)+aaa+,(a|b(aaa)),"[a, baaa]","[bb, aa, baaaa, babb, ab, baaab, baaba]"
a+b,a*|b,"[aa, , b]","[bb, aba, bab, aab]"
(a|b)(a|b)+aaa+,(ab|aaa),"[aaa, ab]","[bb, abb, aba, aaba, aaab, aaaa]"
a+b,a*,"[, a]","[bb, aba]"
001|1010|110,(0+1)*01(0+1)*,"[001000101, 010101, 00101001, 0101, 00101]","[01010, 0011, 001000, 001011, 0101110, 0010100]"
(0*10*10*)*|0*,0*1(0|11)*,"[1110, 11111]","[1100, 111101, 11101]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"[bba, , bbbb]","[bbbaa, bab, bbab]"
001|1010|110,(0|01),[01],"[011, 1, 0010, 010]"
(ab|ba)*,(aa)*b,"[aab, aaaab]","[aaaba, aabab, aabb]"
001|1010|110,0|0|1,"[0, 1]","[000, 11, 01, 10]"
