Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[, ba]",[]
001|1010|110,001|10101|110|1010,"[110, 001, 10101]","[01, 100, 111, 00010, 101010, 0011, 101011, 1101, 1100, 1011, 0010, 10100]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[baaa, bbbabaabaa, aaaababaa, aaaabaaa, bbaababaa, abaa, bbaa, aababaabaa]","[aababaab, aaaabaaaba, baaaba, bbaaba, aaaababaaba, bbaababaaba, abaaba, bbbabaab]"
(0*10*10*)*|0*,(0*|1*)*,"[, 10]",[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"[, ba]",[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[, bbbbaabaab, bbbaabaa, abbbaabaaa]","[bbbaabaab, bbbaabaaa, abbbaabaa, bbbbaabaa]"
(a|baa)*,[a]*|[baa]*,"[, ba]",[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[11, 010]","[0, ]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"[, 10]",[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[1010111, , 101010010, 101010110, 10100]","[1010100, 1010010, 101010, 10101]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[, abaabbababaabbabab, aabbababaabbabab, abbabaaabbabab, baaabbababaabbababaabbabab, aabbbababaabbabab, aabbabbabaabbabab, aabbababaaabbabab]","[abaabbabaa, baaaba, baaabbababb, baaabbaa, baaabbabaa, aabbababaabbababb, abaabbababab, abbb, aabbabbabaabbab, babb, aabbababaa, aabbababaabbaab, aabbababaabbababab, aabbababaabbabaa, abaaba, abaabbababb, aabbbababaabb, aabbababaabaa, baaabbababab, abaabbaa]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[, ba]",[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[babaabaaabaaa, aaabaabaaa, aabaaabaaa, abaaabaaaa]","[aabaaaba, babaabaaab, aaabaabaaaba, abaaabaaaaba]"
b*a*,a+[ba]*|(b*a*),"[bb, aa, , ab, baa]","[baba, babb, baab, bbab]"
(a|(b*bb))*,(a|b)*,"[, ba]",[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaa, babaaa, aabaaa, bbabaabaaabaaa, baabaaabaaa, ababaabaaabaaa, aaabaaabaaa, aaaabaabaaabaaaa, aaaa, baaabaabaaabaaaa]","[baabaaaba, bbabaabaaab, aaabaaaba, aaaabaa, babaaabaa, baaabaabaaabaaaabaa, ababaabaaab, aaaabaabaaabaaaabaa, aabaaabaa, baaabaa]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaa, aaaabaaa, aabaaaa, bbabaabaaabaaa, aaaabaabaaa, baabaaabaaa, babaaaa, ababaabaaabaaa, aaabaaabaaa, baaabaabaaa]","[aaaabaabaaab, baabaaaba, babaaaab, baaab, bbabaabaaab, baaabaabaaab, aaabaaaba, aaaabaaab, ababaabaaab, aabaaaab]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"[babaabaaabaaa, aaabaabaaa, aabaaabaaa, abaaabaaaa]","[aabaaaba, babaabaaab, aaabaabaaabaa, abaaabaaaabaa]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"[, ba]",[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[, bbbbaabaab, bbbaabaa, abbbaabaaa]","[bbbaabaab, bbbaabaaa, abbbaabaa, bbbbaabaa]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[bb, aba]","[, a]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[babba, , bbb, ababaabb]","[bab, b, ababaa]"
(a|baa)*,(a|(b*aa))*,"[bbaabaa, , baaa, baabaa]","[baaab, bbaab, baababba]"
(a|baa)*,(a)*((b|aa)*(a)*)*,"[, ba]",[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[, bbbbabb, ababaabaab, abaababab, bbbbaaaba, abbbabb, abbbaaaba, bbaababab, bbabaabaab, abab, bbab]","[bbaabababaa, bbabaabaabb, bbbbaaa, abaabababaa, abbbabbaa, bbbbabbaa, abbbaaa, ababaa, ababaabaabb, bbabaa]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,"[, 10]",[]
001|1010|110,0*1(01)*1*0*,"[110, 111, 01000, 10110, 10100]","[1101, 101001, 11001, 101101, 11101, 0100110]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[aba, aaba, aaaba, abba]","[bb, aa, abb, ab, aab, ba]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[, a, b, /]",[]
(ab|ba)*,a*b*(a|b)*,"[, ba]",[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[bb, , aba, aab]","[aa, a]"
(a|b)(a|b)+aaa+,(a+|b+)*aaa,"[babaabaaabaaa, aaabaabaaa, aabaaabaaa, abaaabaaaa]","[babaabaaab, aabaaaba, aaabaabaaabaa, abaaabaaaabaa]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"[, 10]",[]
b*a*,(a)*a*b*a*,"[bb, , abaa]","[babb, ababa, baab, bbab]"
(a*ba*b)*a*ba*,(a*ba*)*,"[bb, , aba, aab]","[aa, a]"
(a|b)(a|b)+aaa+,(a|b)*aaaa*,"[babaabaaabaaa, aabaaabaaa, aaabaabaaabaaa, abaaaa]","[babaabaaab, aabaaaba, abaaaab, aaabaabaaabaaab]"
(a*ba*b)*a*ba*,(a*ba*)+,"[bb, aba]","[, a]"
0*10*(10*10*)*,(0*10*1*)*,"[11, , 001, 010]","[0, 00]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[abbbaaab, , abbbabab, bbbbabab, bbbbaaab, ababaabaab, bbabaabaab, abaababb, abab, bbab, bbaababb]","[bbaababbaa, bbabaabaabb, bbbbaaa, abaababbaa, abbbababaa, abbbaaa, ababaa, ababaabaabb, bbabaa, bbbbababaa]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[, aaaa, abab]","[aa, abb, ab, aabb, ba]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"[, abbaba, aaaaaa, aaaabb, aabbbb, aabbaa, baab, bbaa, bbbb, baba, abbaab, ababba, ababab]","[aaaba, aabab, aabbab, aaaaab, abaa, abbb, bbab, baaa, babb, bbba, aabbba, aaaaba, abbaaa, abbabb, ababaa, ababbb]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"[bb, babbabaaaaa, , babaa, bababbaaa, babbabaaaab, babbaabba, bababbaab, ababbaabaa, ababbaabab, babbaaababa]","[babaabbaa, babbba, bababbaa, bababbbb, bbabbaa, ababbaaba, babbaaabb, babbaabbb, babbabaaaa, babbabb]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"[babaab, ababbab, bbab]","[bb, babaa, ababbaba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"[, 10]",[]
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"[baaa, aabaaabaaaa, bbabaabaaabaaa, aaaabaabaaa, baabaaabaaa, ababaabaaabaaa, aaabaaabaaa, baaabaabaaa, aaaa, babaaabaaaa]","[aaaabaabaaab, baabaaaba, baaab, bbabaabaaab, baaabaabaaab, aaabaaaba, aaaab, ababaabaaab, babaaabaaaab, aabaaabaaaab]"
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"[babaab, ababbab, bbab]","[bb, babaa, ababbaba]"
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"[baab, bbab]","[bbaba, baa]"
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","[, ba]",[]
(0*10*10*)*|0*,0*(0|1)*,"[, 10]",[]
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"[11, , 001, 010]","[0, 00]"
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"[, 10]",[]
0(0|1)*0,0+(0*1*0*)*,"[00, 01]","[, 11, 10]"
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"[aaa, aba, aab]","[bb, ab, a, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"[, 10]",[]
(ab|ba)*,(a|b)*,"[, ba]",[]
(ab|ba)*,(ab|ba)*|(ab|bb)*,"[baabba, babaab, , abbbabab, abbbbbbb, abbaabab, abbababa, bbbbab, abab]","[bababb, babaaa, bbbbabaa, bbbbabba, abbaaaa, abbabbb, abaa, bbabaa, bbabba, bbbbaa, bbbbba, abbbaa, abbbba, baabbb, baabaa]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"[babba, , bbb, ababaabb]","[bab, b, ababaa]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"[baaa, aaaabaaa, aabaaaa, bbabaabaaabaaa, aaaabaabaaa, baabaaabaaa, babaaaa, ababaabaaabaaa, aaabaaabaaa, baaabaabaaa]","[baabaaaba, aaaabaabaaabaa, bbabaabaaab, aaabaaaba, ababaabaaab, babaaaabaa, aaaabaaabaa, aabaaaabaa, baaabaa, baaabaabaaabaa]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"[, bbbbaaabab, ababaabaab, abaababbab, abbbaaabab, abbbab, bbbbab, bbaababbab, bbabaabaab, abab, bbab]","[abbbabaa, bbabaabaabb, bbbbaaa, bbbbabaa, abaababbabaa, abbbaaa, ababaa, ababaabaabb, bbabaa, bbaababbabaa]"
(0*10*10*)*|0*,(0*|1*0*1*)+,"[, 10]",[]
(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"[babba, , bbb, ababaabb]","[bab, b, ababaa]"
0(0|1)*0,0+(0|1)*,"[00, 01]","[, 110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"[, 10]",[]
(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"[babaab, abaaa, bbabaa]","[baba, aba, bbab]"
(a|(b*bb))*,(a*(b*b)*a*)*,"[, ba]",[]
(a|b)(a|b)+aaa+,(a|b)*a{3},"[babaabaaabaaa, aabaaabaaa, aaabaabaaabaaa, abaaaa]","[babaabaaab, aabaaaba, abaaaab, aaabaabaaabaaab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"[, bbaabab, abbbabbab, bbbbaaabab, ababaabaab, abbbaaabab, abaabab, bbbbabbab, bbabaabaab, abab, bbab]","[bbabaabaabb, bbbbaaa, abaababaa, abbbabbabaa, bbaababaa, abbbaaa, ababaa, ababaabaabb, bbbbabbabaa, bbabaa]"
(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"[baaa, babaaa, aabaaa, bbabaabaaabaaa, baabaaabaaa, ababaabaaabaaa, aaabaaabaaa, aaaabaabaaabaaaa, aaaa, baaabaabaaabaaaa]","[baabaaaba, baaab, bbabaabaaab, baaabaabaaabaaaab, aaabaaaba, aaaabaabaaabaaaab, aabaaab, aaaab, ababaabaaab, babaaab]"
(a|(b*bb))*,(a|b(b*))*,"[, ba]",[]
(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"[baaa, aabaaabaaaa, bbabaabaaabaaa, aaaabaabaaa, baabaaabaaa, ababaabaaabaaa, aaabaaabaaa, baaabaabaaa, aaaa, babaaabaaaa]","[baabaaaba, aaaabaabaaabaa, bbabaabaaab, aaabaaaba, aaaabaa, ababaabaaab, aabaaabaaaabaa, baaabaa, baaabaabaaabaa, babaaabaaaabaa]"
(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"[, bbbbaabaab, bbbaabaa, abbbaabaaa]","[bbbaabaab, abbbaabaa, bbbaabaaa, bbbbaabaa]"
(a|(b*bb))*,(a|(bb*))*,"[, ba]",[]
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"[, 01010, 0110, 1101, 0100, 1001, 10101]","[011, 100, 0101, 11010, 1010, 01001]"
(a|baa)*,[ab]*(baa)*,"[, ba]",[]
(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,"[bb, aba]","[, a]"
