Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[bbbbba, bbbbbaa, bbbbbbb, aabbbbb, bbbbbaaa, bbbbbb]","[bb, , bab, baa, bbaa, bbab, baba, bbbab, babb, bbba, bbbaa, bbbbbbbab, bbbbbabb, bbbbbaba, aa, bba, a, b, bbb, bbbbab, bbbbaa, bbbb, baaa, bbbba, bbbbbab, bbbbbaaab, ba]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[baba, , ab, abbaabba, ababab, abba, abab, ba]","[aaa, bb, bab, aab, baa, abaaa, abaab, abbaa, abbaabb, abbaaba, abbb, aabb, abbaabbba, baab, abbaabbabb, abbaabbbb, babb, abbaabaa, abbaabab, abbaab, abbaaa, ababa, aa, abb, bba, aba, a, b, abababa, bbb, ababb, abbaaaa, abbaaab, abaa, abbaabbab, aaaa, abbaabbaba, baaa, aaba, abbaabbb, babab, ababaa]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[baaaaa, baaabb, , bababa, b, aab, baa, bbb, baaabaab, baaabbbb, baaabaabbb, baaababa, baaabab, baababa, baaabba, baaaa, baabb, bbba, baaa, babb, bbaba, baaabaaba, baaababbb, ba]","[bb, , bab, baaabbabaaa, baaabaaa, baaabaaaaa, babbaaabaaa, baab, baaabbb, baba, baaba, baaabaababaaa, baaabbbaaa, baaabaabb, aa, bba, baaaba, a, baaabaaaba, baaababb, baaabababaaa, baaabaaabb, baaaaab, baaabaa, baaab, baabbaaabaaa, bbbaaabaaa, baaabaaaa, baaabaaab]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[aa, aaa, abb, bb, bba, , a, bbb, abbbb, bbbbaa, bbbbbb, abba, bbaa, bbbb, bbbbabb, bbbbbba, bbabb, bbbba, bbbbbbbbb]","[, bab, bbbbbbab, baa, abaaa, abbab, abbb, bbab, bbbab, bbaab, bbba, bbbaa, bbbbbbb, ababa, ab, aba, b, ababb, aaab, abaa, bbbbab, abab, bbbbb, bbbbaab, bbbbba, bbbbbaa, bbbbbab, ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[01, 000111, 001101, 1000, 0010, 00001, 00100, 010, 111, 011001, 01011, 01110, 0001, 0100, 001011, 10, 000001, 000100, 101001, 1011, 01101, 00111, 001, 100, 1, 00010, 1101, 0111, 100101, 000010]","[00, , 0000010, 000011, 101110, 00000000, 00000, 011101, 110, 0000, 00000010, 0000011, 11, 000000, 00000011, 00110, 01001, 000, 0, 011011, 0011, 0000101, 0000100, 0001111, 000110, 001001, 00000101, 00000100, 00101, 01111, 011010, 011, 0101, 0000110, 0000111, 0001001, 000101, 001111, 00000111, 100010, 00000110, 1010, 00011, 01100, 101, 0110, 1001, 111010, 0000000, 0000001]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[aa, bb, bba, , a, bbaaa, bbbb, bbaa]","[bab, b, aab, baa, bbb, bbaaab, bbab, baba, baaa, babb, bbbbb, bbba, bbabb, bbaba, ba]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"[bbaab, baabaabbb, baabaababbbaab, baabaabb, aababaaaab, baabaab]","[aa, bb, , a, b, bab, baa, baabaabab, baaaa, baaa, baaba, baabaabbba, baabaababb, baabaababbb, ba, baabaa]"
(0|1)(0|1)*,(0|1)((01)+),"[, 001, 101, 00101, 10101]","[00, , 01, 101010, 0010, 00000, 00100, 010, 111, 0000, 10011, 001010, 10111, 10, 11, 1011, 1010, 00110, 000, 0, 100, 1, 0011, 1001, 10100]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[baaa, bbaab, bbbbb, bbba, bbbaa, b, aab, baa, bbb, bbbbab, ba]","[aa, bb, bba, , a, bab, bbbaab, bbbbbb, bbaa, bbbb, baba, babba, baaab, babaa, babb, babbb, bbbba]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"[bbbbb, bbba, b, aab, baa, bbb, ba]","[aa, bb, bba, , a, baab, bbbb, bbaa, bbab, bbbab, bbaaa, bbabb, bbaba]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,"[baabb, aabaaaab, bbbaab, baab, baabbb]","[aa, bb, , a, b, bab, baa, bbb, baabaaa, baababb, baabbba, baababa, baaaa, baba, baaa, babb, baaba, baabab, ba, baabaa]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[aa, aaa, bb, , b, aab, aabaa, aabbb, aabaabaaaa, aabaabaabb, aabaab, aabaabaaa, aaaa, aabaabaa, aabaabbb, aabb, aabaabaab, baabaab, aabaaa, aabaaaa, aabaabb, aabaabaabbb]","[aabaababb, aabaabbba, aabaababa, bbaaba, aababb, aabbba, aabaabaaba, aababa, aabaabaabab, aabaabaabaa, aabaabaababa, aabaabaababb, aabaabaabbba, abb, ab, aba, a, aabab, aabaaaaba, aabaabab, aaba, aabaaba, aaaaba, aabaabaabaaa, aabaabaaaaba, ba]"
(0|10*1)*,(0*|101)+,"[00, 0, , 101, 101101, 1010]","[101110, 101111, 1000, 1011, 001, 100, 1, 1001, 10000, 10011, 10010, 10101, 10111, 10]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"[0010010011001001, 11111100, 111111, 1111110]","[00, , 1111100, 110, 111, 11111111, 1111, 11100, 111000, 11101, 10, 11, 111100, 1110, 1111111, 11111110, 0, 1, 100, 1100, 111010, 11111, 111011, 11110, 111110, 111111001]"
(a|baa)*,(b?aaa*)*,"[aa, aaa, , baa, aabaa, aaaa, aabaabaa]","[bb, ab, a, b, aaaab, aabab, aabaab, aabaabbba, aabaabbb, aabaabbaa, aabaabbbb, aaba, aabaabba, aababb, aababa, aabaabb, ba]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"[bbbbb, bbba, b, aab, baa, bbb, ba]","[aa, bb, bba, , a, baab, bbbb, bbaa, bbab, bbbab, bbaaa, bbabb, bbaba]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"[bbbbb, bbba, b, aab, baa, bbb, ba]","[aa, bb, bba, , a, baab, bbbb, bbaa, bbab, bbbab, bbaaa, bbabb, bbaba]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"[aaa, aba, abaaa, ababb, aaaaa, aaabb, aaaaaa, aaabbb, aaab, abaa, aaaa, abab, abaaaa, ababbb]","[, bb, aab, aaaba, aaaaaab, aaaabaa, abaab, aaabbba, abbb, abaabb, abaaaab, ababa, aa, abb, a, ab, b, ababbba, aaaab, aaabaa, aaba, aaaaba, abaabbb, ababab, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"[00, , 10110111101, 10101101, 101111, 101101101, 0101010, 010, 010010, 111, 01110, 01010, 0100, 101101, 01010010, 10111, 01001000010, 1011011001, 11, 010010010, 1011, 10110101, 10110001, 0100110, 000, 010000, 0, 1, 101, 01000, 1010101, 10101, 10001, 01001001010, 01001001110]","[01, 101101100, 0101111, 0101110, 010011, 1011000, 0100100, 01011, 0001, 0100100111, 10, 101000, 101001, 1110, 01001, 1011011, 1011010, 10100, 1011010100, 101010, 101011, 010010010100, 1000, 10110111, 01001001, 01001000, 0101011, 010110, 011, 0100001, 010111, 0101, 10110, 010010000, 101100, 1010, 101101111, 10110100, 0101100, 1010100, 100, 010101, 1011110, 010100, 10110110, 0111, 0100100101, 010010011, 0100100100, 10110110100]"
(0|10*1)*,0*|(10*1)*|0*,"[00, 000, 0, 11, , 1001, 1111, 11101]","[01, 1110, 010, 011, 110, 100, 111, 1, 0110, 1101, 0001, 0100, 0111, 1100, 11110, 10]"
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"[babbbb, babba, , baaa, babb, b, aab, bbb, baa, ba, bbab]","[aa, bb, , bba, babaaa, bababb, a, bab, bababa, baba, bbbab, baaab, babbb, babaa, babab, babbab]"
(a|(b*bb))*,(bb|a)*,"[aa, bb, bba, , a, bbbb]","[baba, , bbba, baaa, babb, bab, b, aab, baa, bbb, bbaba, ba]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"[, b, bbb]","[bb, , aa, aaa, abb, bba, ab, aba, a, bab, baa, bbbb, ba]"
(b|(a*aa))*,(aa+)*b*,"[aa, aaa, bb, , b, aab, aabbb, aaaa, aabb]","[abb, bba, ab, aba, a, aabaa, aabab, aaba, aabaaa, aababb, aabbba, aaaaba, aababa, ba]"
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"[001001001001, 111100, 1111, 11110]","[00, 11, , 111111, 1110, 1111110, 1111001, 1111100, 1111111, 110, 0, 1, 100, 111, 1100, 11100, 11111, 111110, 10]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"[bbabb, abaab, aaab, baab]","[aa, aaa, , bba, aba, a, b, baa, bbabbbb, abaa, bbabbb, bbab, bbabbbbb, abaabb, abaabba, abaabbaa, ba]"
