Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,[],"[baabba, baabb, aaabbab, aaabb, aaabba, aaab, baabbab, baab]"
(0*10*10*)*|0*,0|111*,"[0, 11, 111]","[000, 00, 01, 0110, 0001, 010]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[00, 0, 11, 1]","[001, 0011, 0010]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[abaaa, abaab, abaaaa]","[abaaaab, abaaaabb, abaaaaba]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[aaa, bba, bbaab, aab, bbb, aaaab, aaaa, bbaa]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,[],"[abb, aba, abbab, abba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[000100001011100100101110010111111110010010100111110100010101001101001001110011, 000100001011100100101110010111111110010010100111110100010101001101001001110010, 00010000101110010010111000, 000100001011100100101110010111111110010010100111110100010101001101000, 0001000010111001001011100100, 00010000101110010010111001011111111001001010011111010001010100110100100111010100100010101, 000100001011100100101110010111111110010010100111110100010101001101001001110101001000101010010001, 000100001011100100101110010111111110010010100111110100010101001101, 0001000010111001001011100101111111100100101001111101000101010011010010011100111, 00010000101110010010111001011111111001001010011110, 000100001011100100101110010111111110010010100111110100010101001101001001110101, 00010000101110010010111001011111111001001010011111010001010100110100100111, 0001000010111001001011100101111111100100101001100111, 0001000010111001001011100101111111100100101001111101, 00010000101110010010111001011111111001001010011111010001010100110100100111001110, 0001000010100, 000100001011100100101110010111111110010010100111110100010101001101001001110101001, 00010000101110010010111001011111111001001010011111010001010100110100100111001111, 00010000100, 00010000101110010010111001011111111001001010010, 00010000101110010010111001011111111001001010011111010001010100110100100111010100100010101001000111, 0001000010111001001011100101111, 00010000101110010010111001011111111000, 000100001011100100101110010111111110010010100111110100010101001, 00010000101110010010111001011111111001001010011, 0001000010111001001011100101111111100100101001111101000101010011010010011100, 0001000010111001001011100101111111100100101001111101000101010011010010011100001, 00010000101110010010111001011111111001001010011000, 00010000101110010010111001011111111001001010011001, 0001000010111001001011100101111111100100101001100001, 000100001011100100101110010111111110010010100110010, 000100001011100100101110010111111110010010100110011, 000100001011100100101110010111111110010010100111, 000100001011100100101110010111111110010010100110, 000100001011100100100, 0001000010111001001011100101111111100100101001111101000101010011, 0001000010111001000, 00010000101110010010111001011111111001001010011111010001010100111, 0001000010111001001011100101111111100100101001, 0001000010111001001011100101111111100100101001101, 0001000010111001001011100101111111100100100, 0001000010111001001011100101111111100100101001100, 00010000101110010010111001011111111001001010011111010001010100110100100111010100100010101001000100101, 000100001011100100101110010111111110010010100111110100010101001101001001110000, 00010000101110010010111001011111111001001010011111010001010100110100100111001, 00010000101110010010111001011111111001001010011111010001010100110100100111000, 00010000101110010010111001011111111001001010011001110, 000100001011100100101110010111111110010010100111110100010100, 000100001010, 0001000010111001001011100101111111100100101001111101000101010011010010011101010011, 00010000101110010010111001011111111001000, 000100001011100100101110010111111110010010100110000, 0001000010111001001011100101111111100100101001111101000101010011010010011101010010, 0001000010111001001011100101111111100100101001111101000101010011010010011101010010001010100100010, 00010000101110010010111001011111111001001010011001111, 0001000010111001001011100101111111100100101001111101000101010011010010011101010010001010100100011, 0001000010111001001011100101111110, 000100001000, 0001000010111001001011100101111111100100101001111101000100, 0001000010111001, 0001000010111001001011100101111111100100101001111]","[000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010110000110110111101011011000111101000, 0001000010001001001100010010001001101000100010010010111100001101101110111000100100100111111000101100001101101111010110110001111010010111100, 00010000100010010011000100100010011010001000100100101111000011011011101110001001001001111110001011000011011011110101101100011110100101111010, 00010000100010010011000100100010011010001000100100101111, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011110, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010110000110110110, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010110000110110111101011011000111100, 000100001000100100110001001000100110100010001001001011110000110110111, 00010000100010010011000100100010011010001000100100101111000011011011101110001001001001111110001000, 00010000100010010011000100100010011010001000100100101111000011011011101110001001001001111110001001, 0001000010001001001100010010001001101000100010010010110, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010010, 0001000010001001, 000100001000100100110001001, 00010000100010010011, 000100001000100100110001001000100110100010001001001011110000110110111010, 000100001000101, 0001000010001001001100010010001001101, 00010000100010010011000100100010011010001000100100101111000011011011101110001001001001111, 00010000100010010011000100100010011010001000100100101111000011011011101110001001001001111110001011000011011011110101101100010, 0001000010001, 00010000100010, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010110000110110111101011011000110, 0001000010001001001100010010001001101000100010010010111100001101101110111000100100100111111000100, 000100001000100100110001001000100111, 0001000010001001001100010010001001101000100010010010111100001101101111, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010110000110110111100, 0001000010001001001100010010001001, 00010000100010010011000100100010011, 000100001000100100110001001000100110100010001001001011110000110110111011100010010010011111100010011]"
(a|b)(a|b)+aaa+,"a{2,}","[aaa, aa]","[aaaba, aaabb, aaab]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[ababb, abab]","[ababaa, ababa, ababaab]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaa, aaaaa, aaaaaa, bbaaab]","[bbaaabbb, bbaaabb, aaaaaab, aaaaaaba]"
(ab|ba)*,((bb)*|(aa)*)*,[aabb],"[aaba, aabaa, aabbb, aabaab]"
(ab|ba)*,(a|b)b,"[bb, ab]","[aaa, aa, abb, bba, aba, baa, bbb, aaab, baab, ba]"
