Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[abbbbbaa, abbbbb, abbbbba, abbbbbb]","[abbbbbaab, aba, abbba, abaab, abbbba, abaa, abba]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,[],"[aaa, aa, ababb, ababbabab, ababbabaa, ababbaabb, aaab, abaa, ababbaaa, ababbaab, ababbaaba, ababbaabbb, ababbababb, ababa, ababbaa, ababbab]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,[abaaaabaab],"[abaaaabaabbbb, abaaaabaaaab, abaaaabaaaa, abaaaabaaa]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[aabbbbbbb, aabbbbba, aabbba, aabb]","[aabbbbaba, aaba, aabbba, aabaa, aabbbbabbaba, aabaab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[0000010, 000001, 000001110, 0000011111100100, 00000111111001, 00000111110]","[0000010, 0000011010101010111001, 000000, 00000001, 00000110101, 00000110101010100, 0000011010101, 000001101, 0000000, 0000011]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[abbaa, abba]","[aba, abaab, abbaab, abaa]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,[abaaababbb],"[abaaaba, abaaababb, abaaabab]"
(0|1)(0|1)*,(0|1)((01)+),[],"[000, 100, 0000, 0011, 1001, 1011, 0010, 1010]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[aba, abaa]","[abaab, abaababab, abaaba, abaabab]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,[ababb],"[ababaa, ababa, ababaab]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,"[abaaab, abaaabb]","[abaaaba, abaaabaab, abaaabaa, abaaabbb]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[aaabaaabab, aaabaaabaa, aaabaaabaaab, aaabaaabaaabb, aaabaaabaaa]","[aaabaaabaaabaab, aaabaaabaaaba, aaabaaabaaabbbb, aaabaaabaaabbbbb, aaabaaabaaabaa, aaabaaabaaabbb]"
(0|10*1)*,(0*|101)+,[0101],"[010001, 01000, 01011, 0100]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"[01010110101, 010101101010]","[0101011010101, 01010100, 010101001, 0101010]"
(a|baa)*,(b?aaa*)*,[],"[aaababab, aaaba, aaabb, aaababa, aaabab, aaab]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,[ababb],"[ababaa, ababa, ababaab]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,[ababb],"[ababaa, ababa, ababaab]"
