Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,[],"[0110101, 0100, 01001, 010]"
a+b,(a*|b),"[aa, a, b]","[aaba, aab, aabab, aabb]"
0*10*(10*10*)*,-1,[-1],"[00, 0, 001, -0, -10, -11]"
(a*ba*b)*a*ba*,(a|ba*b)*,[abab],[]
0(0|1)*0,0(0|1)*1,[00101],"[0010, 001110, 00111, 0011101]"
(0*10*10*)*|0*,0*10*1(1)0*,"[010110, 01011]","[010100, 0101101, 01010, 0101001]"
0*10*(10*10*)*,(1)(111),[1111],"[00, 0, 110, 001, 1110, 11111, 11110, 10]"
(a*ba*b)*a*ba*,a*ba*b,[abab],"[ababb, ababaa, ababa, ababaab]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,[ababbaabbb],"[ababbaaba, ababaa, ababa, ababbaabba, ababaab]"
b*a*,a(a)*b,[aab],"[aaba, aabaa, aabaab, aabb]"
(a|b)*baa(a|b)*b,"(ba{2,})*",[],"[aa, baaabb, a, baaab, aab]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[aa, a, baaa, aab, baab, bbaa, bbab]"
b*a*,(a*b*)*baa(a*b*)*b,[abaaabab],"[abaaaba, abaaabbbb, abaaabbb]"
(a|baa)*,"(a)b{2,}","[abb, abbb]","[aaa, aa, aba, abbbb, aaab, abba]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[ab, a, bab, babab]","[aaa, aa, abb, aba, abbaa, abbabba, aaab]"
001|1010|110,(001)(10101)(110),[00110101110],"[000, 001100, 0000, 001101011100, 0011010110, 001101011101, 0010, 001101010, 00001, 00110100]"
(0*10*10*)*|0*,1,[1],"[00, 0, 11, 001, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[000, 00, 11, 111]"
(ab|ba)*,(aa|bb|ab|ba)*bb,[],"[aaba, abbba, aabba, abbbb, aabbb, abba]"
(ab|ba)*,aabb(a|b)*,"[aabba, aabbb, aabb]","[aaa, aaba, aaaab, aabbab, aabbbb, aaaa]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"[abb, ab]","[aba, abaab, abaa]"
a+b,(a|b),"[a, b]","[aaa, aa, bb, ab, baa, aaab, baab, ba]"
a+b,a|b,"[a, b]","[aaa, aa, bb, ab, baa, aaab, baab, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[aab, aabb]","[aaba, aabba, aabaa, aabaab, aabb]"
0*10*(10*10*)*,0*|1(111)0*,"[00, 0, 1111]","[001, 00101, 0010, 00110, 001110]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),[00101],"[001110011, 0010, 00111001]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, 1]","[000, 00, 11, 111]"
b*a*,(b|a)*(baa)+(a|b)*b,[abaaabab],"[abaaaba, abaaabbbb, abaaabbb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[000, 00, 11, 111]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"[aabba, aabbaa]","[aaba, aabaa, aabbaab, aabaab]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,[],[ababab]
001|1010|110,1+0+11+0+,"[1001100, 100110]","[00, 0, 001, 10011001, 10010]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,[],"[aa, a, babaaa, babaa, aab, babab, babaaab]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, a|bbaaa, a|bbaaaa]","[aaa, aab, aa|bbaaaab, aa|a, aaaa, aabb, aa|ba]"
a+b,b+a,[ba],"[aa, a, bab, aab, baa]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[baba, aaba, aabaa, babab]","[aaa, bababb, baa, aabaab, aaaa, baab]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,[],[aababab]
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[000000, 111111, 11111, 00000]",[]
(a|(b*bb))*,b(ab+ba+b)*,[babbaab],"[aa, baba, a, babbaabb, aab, baa]"
(0*10*10*)*|0*,0*1(0*10*10*)+,[],[01010101]
001|1010|110,1+0+011+0+,"[1000110, 10001100]","[00, 0, 001, 100010, 100011001]"
b*a*,(a)(a)*(b)(b)*(a)(a*),"[aaba, aabaa]","[aabaaba, aabaab, aabaabab]"
b*a*,[ab]*baa[ab]*b,[abaaabab],"[abaaaba, abaaabbbb, abaaabbb]"
(ab|ba)*,aaa*bbb*(a|b)*,"[aaabb, aaabba, aaabbb]","[aaaba, aaabbab, aaabaab, aaabbbb, aaabaa]"
(a|b)(a|b)+aaa+,(a|b(aaa)),"[a, baaa]","[aaa, aa, abb, ab, abaaab]"
a+b,a*|b,"[aa, a, b]","[aaba, aab, aabab, aabb]"
(a|b)(a|b)+aaa+,(ab|aaa),"[aaa, aab]","[aaaaa, aaabb, aaab, aaaa]"
a+b,a*,[a],"[aba, ab, abab]"
001|1010|110,(0+1)*01(0+1)*,[00011001],"[000, 00, 010011, 000110, 0001, 00011, 0001101]"
(0*10*10*)*|0*,0*1(0|11)*,[01011],"[010100, 01010, 0101001]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,[abb],"[aba, abaab, abaa]"
001|1010|110,(0|01),"[0, 01]","[000, 00, 011, 0001, 010]"
(ab|ba)*,(aa)*b,[aab],"[aaba, aabaa, aabaab, aabb]"
001|1010|110,0|0|1,"[0, 1]","[000, 00, 11, 01, 100, 0001, 1001, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[bbabababab, aaabababab]","[bbabbba, bbaba, aaaba, aaabbba, aaabba, bbabba]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abb, aaba, aab, abbb]","[aaa, aba, abbbb, aabab, aaaa, abab]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,[],"[aa, ab, aaba, aab, aabab]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abb, aaba, aab, abbb]","[aaa, aba, abbbb, aabab, aaaa, abab]"
(ab|ba)*,a,[a],"[aaa, aa, ab, aaab]"
(a|(b*bb))*,(a+b)b(a+b),[aabbaab],"[aaba, aabbaaba, aabaa, aabaab, aabbaabb]"
001|1010|110,0,[0],"[000, 00, 01, 0001]"
001|1010|110,1,[1],"[00, 0, 11, 001, 10]"
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"[abbaab, aabaab]","[aaa, aba, aabaabb, abbaabb, aaaa, abab]"
001|1010|110,(1|0)(001|10101|110)*,"[100110110, 000110110]","[000001, 000110, 1001100, 1001101, 100110, 1000, 10011011, 00000, 00011011, 0000, 00011101, 10011101, 100001, 10000, 0001101, 0001100]"
001|1010|110,(0|1)*0101(0|1)*,"[001001, 0010010, 0010011]","[00101011, 00101111, 00100, 0010111, 0010101]"
a+b,(a*)ba,[aba],"[abaaa, abaaab, abaa, abab]"
(a*ba*b)*a*ba*,(a)*b(a)*b,[abab],"[ababb, ababaa, ababa, ababaab]"
0+1*,1,[1],"[00, 0, 11, 001, 10]"
(0*10*10*)*|0*,0*10*11,[01011],"[010110, 010100, 010111, 01010, 0101001]"
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[-1],"[-0, -10, -00, -11, -01]"
001|1010|110,[001]|[10101]|[110],"[0, 1]","[000, 00, 11, 01, 100, 0001, 1001, 10]"
001|1010|110,11010110,[11010110],"[00, 0, 001, 1101010, 110101101, 1100, 110100, 110101100, 10]"
0*10*(10*10*)*,0*(10*1),[0101],"[010100, 01011, 01010, 0101001]"
a+b,ba+,"[baa, ba]","[aa, a, aab, baab]"
(a|b)*baa(a|b)*b,a(a*)b,[aab],"[aaba, aabaa, aabaab, aabb]"
a(a|b)a(a|b)*,abba,[abba],"[aaa, aa, aba, aab, abbaa, abbab]"
001|1010|110,(0|1)*0101(0|1),[],"[001010110, 001010111, 0010101111, 00100, 0010100]"
(a*ba*b)*a*ba*,(bb)+,[],"[aa, bba, a, aab, bbb, ba]"
0*10*(10*10*)*,0*|1(1)0*,"[00, 0, 11]","[001, 00101, 0010]"
b*a*,a(a*)b,[aab],"[aaba, aabaa, aabaab, aabb]"
