Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[a, b]",[]
001|1010|110,001|10101|110|1010,"[001, 001010, 0010110, 0010101]","[000, 001100, 0000, 0011, 001101011, 0010, 00001, 00110100, 00110101101]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),[],"[bbaaabb, aaaaabb, aaaaab, bbaaab]"
(0*10*10*)*|0*,(0*|1*)*,"[0, 1]",[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"[a, b]",[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[aa, bb]",[]
(a|baa)*,[a]*|[baa]*,"[a, b]",[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[011, 01, 010]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"[0, 1]",[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[010011, 010010, 0100111, 01001, 0100110]",[]
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,[aaabbababaabbbba],"[aaaba, aaabaab, aaabbaa, aaabbabaa, aaabbababa, aaabbababb, aaabaa, aaabbababaa, aaabbababab, aaabbababbbab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[a, b]",[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,[],"[aaaab, aaaabb]"
b*a*,a+[ba]*|(b*a*),"[aa, bb, a, ab, b, baa, ba]","[aabaaba, abbaabab, abbaab, abbaaba, aabaab, aabaabab]"
(a|(b*bb))*,(a|b)*,"[a, b]",[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,[],"[aaaab, aaaabb]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"[a, b]",[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[aa, bb]",[]
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[abb, aba, ab]",[]
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[abaabb, abaabbb, abaabba]",[]
(a|baa)*,(a|(b*aa))*,[abaa],"[abaab, abaaba, abaabab]"
(a|baa)*,(a)*((b|aa)*(a)*)*,"[a, b]",[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[babaab, aabaaba, aabaabb, babaabb, babaaba, aabaab]","[aabababb, babaa, babababb, aabaa]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,"[0, 1]",[]
001|1010|110,0*1(01)*1*0*,"[010110, 01, 010111, 01000, 01011, 0101, 0100, 010]","[010001, 0100010, 01000101]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[aaa, aba, aaaa, abab]","[ababb, aaaaba, aaaab, ababbb]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[a, b, /]",[]
(ab|ba)*,a*b*(a|b)*,"[a, b]",[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[aaba, aab, aabb]",[]
(a|b)(a|b)+aaa+,(a+|b+)*aaa,[],"[aaaab, aaaabb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"[0, 1]",[]
b*a*,(a)*a*b*a*,"[abb, aba, ab, a, abaa]","[abaab, abaaba, abaabab]"
(a*ba*b)*a*ba*,(a*ba*)*,"[aaba, aab, aabb]",[]
(a|b)(a|b)+aaa+,(a|b)*aaaa*,[],"[aaaab, aaaabb]"
(a*ba*b)*a*ba*,(a*ba*)+,"[abb, aba, ab]",[]
0*10*(10*10*)*,(0*10*1*)*,"[001, 0011, 0010]",[]
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[babaab, aabaaba, aabaabb, babaabb, babaaba, aabaab]","[aabababb, babaa, babababb, aabaa]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[aaa, aba, aaaa, abab]","[ababb, aaaaba, aaaab, ababbb]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"[aaaabb, aaaabbabba, aaaabbabbba, aaaabbabbbb]","[aaaabaa, aaaaba, aaaabbb, aaaabbbaa, aaaabaab, aaaabbbabbab]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"[abaabbaabbb, abaabbaaabb, abaaba]","[abaababaaabb, abaababaabb, abaababaaab, abaababaabbba, abaababaaabba, abaababaabbbab, abaababaabbb, abaababaaabbab]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,[abaabab],"[abaaba, abaabbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"[0, 1]",[]
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),[abaabab],"[abaaba, abaabbb]"
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,[abab],[aba]
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","[a, b]",[]
(0*10*10*)*|0*,0*(0|1)*,"[0, 1]",[]
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"[001, 0011, 0010]",[]
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"[0, 1]",[]
0(0|1)*0,0+(0*1*0*)*,"[00, 0, 01]","[011, 001, 0110, 00101, 0010, 01101]"
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"[aaa, aa, aab]","[aaaba, aabbb, aaab, aabb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"[0, 1]",[]
(ab|ba)*,(a|b)*,"[a, b]",[]
(ab|ba)*,(ab|ba)*|(ab|bb)*,"[abbaabba, abbaabbbab, abbaabbbbb]","[aaa, aa, abbaabbabaa, abbaabbabba, abbaaa, aaab, abbaabbab]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"[abaabb, abaabbb, abaabba]",[]
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"[babaab, aabaaba, aabaabb, babaabb, babaaba, aabaab]","[aabababb, babaa, babababb, aabaa]"
(0*10*10*)*|0*,(0*|1*0*1*)+,"[0, 1]",[]
(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"[abaabb, abaabbb, abaabba]",[]
0(0|1)*0,0+(0|1)*,"[00, 0, 01]","[011, 001, 0110, 00101, 0010, 01101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"[0, 1]",[]
(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"[abaaa, abaab, abaa]","[abaabb, abaaab, abaabbb, abaaabb]"
(a|(b*bb))*,(a*(b*b)*a*)*,"[a, b]",[]
(a|b)(a|b)+aaa+,(a|b)*a{3},[],"[aaaab, aaaabb]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"[babaab, aabaaba, aabaabb, babaabb, babaaba, aabaab]","[aabababb, babaa, babababb, aabaa]"
(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
(a|(b*bb))*,(a|b(b*))*,"[a, b]",[]
(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,[],"[aaaaabb, aaaaab, baaaabb, baaaab]"
(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"[aa, bb]",[]
