Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,"[aa, bb, a, b]",[]
001|1010|110,001|10101|110|1010,"[110, 001, 10101]","[0000010, 101010, 101000, 101011, 101001, 00101, 1000, 1110, 00011, 00110, 00100, 00111, 010, 011, 0, 1, 1101, 1001, 1100, 1111, 10110, 10111]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[bbabaaaabaa, bbaabaa, bbbaa, aaabaaaabaa, bbabbaa, aaaabaa, aabaa, aaabbaa, aaaabbbaa, bbaabbbaa]","[bbaabbb, aaabaaaaba, a, bbaab, bbabb, b, aab, bbb, aaaabbb, aaabb, aaaab, bbabaaaaba]"
(0*10*10*)*|0*,(0*|1*)*,"[00, 0, 11, 1]",[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,"[aa, bb, a, b]",[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[aa, bb, aaaa, bbbb]","[aaa, a, b, bbb]"
(a|baa)*,[a]*|[baa]*,"[aa, bb, a, b]",[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[1, 00100, 00111]","[00, 0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),"[00, 0, 11, 1]",[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[001000100, 0, 101, 10101100, 10101111, 10110, 10111]","[1, 10101, 0010001001, 10]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[babaaabbabab, ab, abaabbabab, abbaaabbabab, aaaabbababaaabbabab, aabbababaabbabab, aabbabbbab, baaabbabab, aabbbbabab, aabbabab, ba]","[bba, abb, aba, a, aabbabaaa, aabbababaaa, aabbabababb, aabbabbba, bab, b, aabbabaab, aabbabababa, aab, bbb, baa, abaab, baaab, aaaabaaaba, aabbababba, aabbababbb, aabbaaa, aabbbba, aabbaabb, aabbababaab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,"[aa, bb, a, b]",[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[abaaaaabaaa, aabaaa, aabbaaa, aaabaaa, abbaaa, aaabbbaaa]","[abb, a, aaba, b, abaaaaaba, aaabbb, aaab, aabb]"
b*a*,a+[ba]*|(b*a*),"[aaa, abb, baaa, bbba, a, b]","[bbbab, babbb, bab, baaabaaba]"
(a|(b*bb))*,(a|b)*,"[aa, bb, a, b]",[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[aaaabbbaaa, aabaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, baabaaa, babaaaaabaaa, bbaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]","[bb, ab, a, aabaaaaaba, b, aaaba, aaaabbb, aaabb, aaaab, aabb, baaabbb, baabb, baaab, babb, baaba, babaaaaaba]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[aaaabbbaaa, aabaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, baabaaa, babaaaaabaaa, bbaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]","[bb, ab, a, aabaaaaaba, b, aaaba, aaaabbb, aaabb, aaaab, aabb, baaabbb, baabb, baaab, babb, baaba, babaaaaaba]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"[abaaaaabaaa, aabaaa, aabbaaa, aaabaaa, abbaaa, aaabbbaaa]","[abb, a, aaba, b, abaaaaaba, aaabbb, aaab, aabb]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"[aa, bb, a, b]",[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[aa, bb, aaaa, bbbb]","[aaa, a, b, bbb]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[b, aabaa, aabbb]","[aa, a]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[baabb, babb, a, aababb, baaababb, bbaa, bbbb]","[baaaba, b, bab, baa, aabab]"
(a|baa)*,(a|(b*aa))*,"[a, aabaaa, baabbbaa]","[b, aabaaab, baababbb, baabbbabaaba]"
(a|baa)*,(a)*((b|aa)*(a)*)*,"[aa, bb, a, b]",[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[bbabaab, abaab, abbab, aaabbb, abbb, bbaaab, bbabbbab, ababbbab, bbbb, bbbab, bbaab, bbaba, abaaab, ababa, ababaab, baabbb]","[a, b, abaaa, aaabb, abbbb, ababbbabaa, bbabaa, abba, bbaabb, baabb, bbbbb, bbba, bbaaa, bbabbbabaa, abaabb, ababaa]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,"[00, 0, 11, 1]",[]
001|1010|110,0*1(01)*1*0*,"[100, 1, 00101, 1000, 1011, 11000, 11110, 1010]","[0, 1101, 110111, 111101, 101001, 1001, 101101, 10001, 00101101, 1100010010]"
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[ababb, abbba, aaaaa, aabba]","[aa, a, ab, b, baa, bbb, abbb, aabb]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[a, b, /]","[a, b, /]"
(ab|ba)*,a*b*(a|b)*,"[aa, bb, a, b]",[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"[bb, ab, b, aaabaa, aaabbb, ba]","[aaa, a]"
(a|b)(a|b)+aaa+,(a+|b+)*aaa,"[abaaaaabaaa, aabaaa, aabbaaa, aaabaaa, abbaaa, aaabbbaaa]","[abb, a, aaba, b, abaaaaaba, aaabbb, aaab, aabb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"[00, 0, 11, 1]",[]
b*a*,(a)*a*b*a*,"[bbba, a, b, aabaaa]","[bbbab, babbb, bab, aabaaabaaba]"
(a*ba*b)*a*ba*,(a*ba*)*,"[bb, ab, b, aaabaa, aaabbb, ba]","[aaa, a]"
(a|b)(a|b)+aaa+,(a|b)*aaaa*,"[abaaaaabaaa, aabaaa, aabbaaa, aaabaaa, abbaaa, aaabbbaaa]","[abb, a, aaba, b, abaaaaaba, aaabbb, aaab, aabb]"
(a*ba*b)*a*ba*,(a*ba*)+,"[b, aabaa, aabbb]","[aa, a]"
0*10*(10*10*)*,(0*10*1*)*,"[11, 01, 1, 000100, 000111, 10]","[000, 0]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[bbaaaba, abaaaba, abaab, abbaba, aaabbba, ababaaba, abbb, baabbba, bbabbbab, ababbbab, bbabaaba, bbbb, bbaab, bbaba, bbbaba, ababa]","[a, b, abaaa, aaabb, abbbb, ababbbabaa, bbabaa, abba, bbaabb, baabb, bbbbb, bbba, bbaaa, bbabbbabaa, abaabb, ababaa]"
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[ababb, aaaaa]","[aa, bb, a, ab, b, abbbb, aabaa, ba]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"[baabba, babaab, bababa, aaaa, aabb, abba, bbbbbb, bbbbaa, bbaaaa, bbaabb, baab, bbaa, bbbb, abab, baba, baabab]","[baaabb, a, b, baaaaaba, abbaa, aaaab, aabbb, babba, bbbab, baabb, babbb, bbbaa, bbbbb, bbaab, babaa, bbabb, bbbba, bbaaa, bbaba, baaba, babab, ababa]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"[a, b, babbaabab, babbaaaaa, babbaabba, babbaaaba, bbba, babaa, aabaaaba, babab, babbaab, babbaaa, babbaba]","[bababbaa, babaabbaa, babbaaaa, babbaaba, babbaabbaa, babbbaaba, babbbbb, babbabb, bbbabbaa, babbaaabaa, aabaaababbaa, babbab]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"[bbbab, babaab, aabaaabab, babbbab]","[babbbaba, bbba, babaa, a, b, aabaaaba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"[00, 0, 11, 1]",[]
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"[aaaabbbaaa, aabaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, baabaaa, babaaaaabaaa, bbaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]","[bb, ab, a, aabaaaaaba, b, aaaba, aaaabbb, aaabb, aaaab, aabb, baaabbb, baabb, baaab, babb, baaba, babaaaaaba]"
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"[bbbab, babaab, aabaaabab, babbbab]","[babbbaba, bbba, babaa, a, b, aabaaaba]"
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"[bbbab, b, aabab, baab]","[a, aaba, bbbaba, baa]"
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","[aa, bb, a, b]",[]
(0*10*10*)*|0*,0*(0|1)*,"[00, 0, 11, 1]",[]
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"[11, 01, 1, 000100, 000111, 10]","[000, 0]"
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"[00, 0, 11, 1]",[]
0(0|1)*0,0+(0*1*0*)*,"[000, 0, 011]","[, 111, 1, 10010]"
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"[aaaa, abba, aabb]","[abb, a, b, baa, bbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"[00, 0, 11, 1]",[]
(ab|ba)*,(a|b)*,"[aa, bb, a, b]",[]
(ab|ba)*,(ab|ba)*|(ab|bb)*,"[baabba, babaab, ab, bababa, abba, bbbbbb, baab, bbbb, bbab, bbabab, baba, ababba, baabab]","[abb, aba, a, b, bbabaa, baabbba, aabb, bbaa, baabbbb, baaaa, bbbab, babaa, baaab, baaa, bbaab, bbbbb, bbbaa, bbba, bbaaa, bbbbba, baaba, bbaba, aaaaba, babab]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"[baabb, babb, a, aababb, baaababb, bbaa, bbbb]","[baaaba, b, bab, baa, aabab]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"[aaaabbbaaa, aabaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, baabaaa, babaaaaabaaa, bbaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]","[bb, ab, a, aabaaaaaba, b, aaaba, aaaabbb, aaabb, aaaab, aabb, baaabbb, baabb, baaab, babb, baaba, babaaaaaba]"
