Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[aa, ba]","[bab, aab]"
(0*10*10*)*|0*,0|111*,"[0, 11]",[00]
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[0, , 1]",[01]
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,[baaa],[baaab]
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[aaa, bba]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,[b],[bb]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[001000101101001110010010101000, 0010001011010011100100101010010101010010010010100101, 001000101101001110010010101001, 001000101101001110010010101001010101001001001010010, 0010001011010011100100101010010101010010011, 0010001011010011100100101010010101010010010, 00100010110100111001001010100101010100100100101001, 00100010110100111001001010100101010100100101, 001000101101001110010010101001010101, 00100010110100111001001010100101010100100100, 0010001011010010, 001000101101001110010010101001010101001001000, 001000101101001110010010101001010101001001001, 0010001011010011100100101010010101010010010011, 001000101101001110010010101001010101001001, 001000101101001110010010101, 00100010110100110010, 0010001011010011100100101011, 001000101101001100, 0010001011010011100100101010, 0010001010, 001000100, 00100010110100111001001010100, 0010001011010011001, 00100010110100111, 00100010110100110]","[0010001001, 00100010010100101001011001001010111000111110010101011100100, 0010001001010, 001000100101]"
(a|b)(a|b)+aaa+,"a{2,}",[aa],[aab]
(a*ba*b)*a*ba*,a*b(a)*bb*,[bb],[bba]
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaa, aaaaa]","[aaaaab, bbaaab]"
(ab|ba)*,((bb)*|(aa)*)*,[],"[ab, a, b]"
(ab|ba)*,(a|b)b,"[bb, ab]","[aa, ba]"
(ab|ba)*,((aa)*b)*,[],"[aa, ab, a]"
b*a*,a+|(b*a)*,[],[b]
001|1010|110,(0|1)*01(0|1)*,[01],[]
(a|b)(a|b)+aaa+,(ab|aaa)*,[],"[aa, a, aab]"
0*10*(10*10*)*,(1(11)*)|0*,[0],"[011, 01]"
(ab|ba)*,(aa+ab+bb+ba)*,[],"[aaa, aa, a, aaaba, aaabb, aaabbbb, aaabbb, aaab]"
(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,[],"[aba, ab]"
b*a*,(a+|a*b*),"[, b]",[ba]
a(a|b)a(a|b)*,a+a+b+a+(a+b)*,[],"[aabaaba, aabaabb]"
0*10*(10*10*)*,0*(11)*0*1*,"[110, 11, , 1, 1101]",[10]
(a*ba*b)*a*ba*,(a|ba+a)*,[],"[bab, b, ba]"
a+b,(ab)*,[],"[aa, a]"
0*10*(10*10*)*,(0|(1(11))*)+,[],"[11, 1, 10]"
(a|baa)*,(a)*((b)+(aaa)+)*,[baaa],[baaab]
a+b,(ab)+,[ab],[aa]
(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"[abbbb, abbbba]",[]
(0*10*10*)*|0*,0*0?|(0|1)11*,"[00, 0, , 01]","[001, 0011]"
b*a*,(a+(a*))|((a*)+(b*)),"[, b]",[ba]
(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+,"[ab, abaaaa]",[aba]
(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"[abbaabab, abbaabababa]","[aa, abbaababbabab]"
(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+),[aaa],"[aaaba, aaabb, aaabba, aaab]"
(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*)),"[baba, bab]",[babab]
(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"[bb, , a, b]",[ab]
(b|(a*aa))*,(a|b)(aa)*(a|b)*,"[a, b]",[]
(0*10*10*)*|0*,0?0|111*,"[00, 0, 11]",[000]
(a|baa)*,(a|b)(a|b)+(aaa)+,"[bbaaa, aaaaa]",[]
(ab|ba)*,(a)*(b)*|(b)*(a)*,"[, ab, a, b, ba]",[aba]
(ab|ba)*,(ab)*(ba)*|abbba,"[ababba, ababbbba]",[aa]
(a*ba*b)*a*ba*,(a|ab*b)*ba*,[ab],[abbb]
(a|(b*bb))*,(a|b)(a|bb)*,[],"[bba, bb, aba, ab]"
(a|(b*bb))*,(bb*)*,[],[a]
(a|(b*bb))*,b*|(a*b*),"[, b]",[ba]
(a*ba*b)*a*ba*,a*b(a*ab*b)*a*,"[b, ba]",[bab]
(a*ba*b)*a*ba*,a*b(a|b){2},"[baa, bbb]","[baaa, bbba]"
(a|b)*baa(a|b)*b,(a|b)*b(aa*)b,[bab],[]
(a|(b*bb))*,a*(bb)*(a+b)*,[abab],"[ababb, ababbb]"
(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*,[ba],"[baba, bab]"
(a|b)(a|b)+aaa+,a|b+a|b+a{3}a*,"[a, baaa]","[aa, ab]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((01+0)*(10+1)*)*,"[00, 0100101, 01001011]","[001, 00101, 001010, 00100]"
b*a*,a*|b*|(ba)*,"[a, babb]","[ab, abab]"
(a|baa)*,((b)(a)(a)*(a*))*,[ba],[a]
b*a*,((a*)(b*)(a+))|((a+)(b*)(a*)),"[aba, ab, a]",[abab]
(a|baa)*,(a|b)*baaa*,[baa],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*,[],"[0, 01, 1, 10]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|ba*b)*a)*)?,[],"[bb, b]"
(a*ba*b)*a*ba*,(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,[],"[ababbb, ababa]"
(a|b)*baa(a|b)*b,a|ba*b*(baa)b,[a],"[aa, abb, ab, abbaa, abba]"
(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))),"[a, baabbab]","[aa, abaab, ababa, abaa]"
0(0|1)*0,0*0*|1*0*,"[0, ]",[01]
0*10*(10*10*)*,(0*10*10*10*)*,[0111],[]
(a*ba*b)*a*ba*,a*(bb)*b*a*,"[, b, ba]",[bab]
0(0|1)*0,0*,[],[1]
(a|(b*bb))*,(bb|a)*b*,"[, b]",[ba]
(a|baa)*,a|(b|aa*),"[a, b]",[ab]
(a|(b*bb))*,(a+b)*(bb)*(a+b)*,[abbab],"[a, ba]"
0*10*(10*10*)*,0*1+0*1*0*,"[1, 101, 1010, 10]",[10101]
