Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[bbbbb, bbbbba]",[ba]
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[ababaabba, abab]","[aa, ababbaa, ababbaab]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,[],"[baaaba, baaab, baaabaaa, baaabaa]"
(a|(b*bb))*,(a|bb)*|(bbb)*,[],"[aba, ab, abbbbb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[0000011010, 000001, 000001101]","[000000, 00000111111, 000001111110]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[bba, bb]",[ba]
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,[baab],[]
(0|1)(0|1)*,(0|1)((01)+),"[001, 101]","[000, 100]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[bbb, ba]",[bab]
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,[],"[bba, bb]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,[baab],[baaba]
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[aabaabaa, aabaabaab]",[aabaabaaba]
(0|10*1)*,(0*|101)+,[],"[100, 1, 10]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),[111111],[1110]
(a|baa)*,(b?aaa*)*,[],"[aab, aabb]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,[],"[bba, bb]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,[],"[bba, bb]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"[aaa, aba, aaab, abaa, aaaa, abab]","[abaab, aaaab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),[0100100110101101],"[0100101, 010010101011, 0100100, 01001011, 0100101010110]"
(0|10*1)*,0*|(10*1)*|0*,"[0, 11]",[01]
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,[],"[baba, bab]"
(a|(b*bb))*,(bb|a)*,[],"[b, ba]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,[b],[a]
(b|(a*aa))*,(aa+)*b*,"[aa, aab]",[aaba]
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),[1111],[11111]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"[bb, ab]","[abb, bbb]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"[aaaaaa, bbaaaa]",[]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),[000001],"[000000, 00000111111010, 0000011111101]"
(a*ba*b)*a*ba*,(a|bb)*a*b,[b],[ba]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"[0000010, 000001, 00000100]",[000000]
(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,[],"[aba, ab]"
(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"[bbaaa, aaaaa]",[]
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"[011, 01101, 011010]",[010]
(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+,"[bbaaaaaa, bbaaaaa, aaaaaaa, aaaaaaaa]",[]
(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*,[bbabb],[ba]
(0*10*10*)*|0*,(0*(11)*0*0*)*,[],"[1, 10]"
(a|b)*baa(a|b)*b,(baa)(baa)*(b),[baab],[a]
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),[00001],[00000]
