Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,[111],[10]
a+b,(a*|b),"[, a, b]",[ab]
0*10*(10*10*)*,-1,[],[0]
(a*ba*b)*a*ba*,(a|ba*b)*,[],[b]
0(0|1)*0,0(0|1)*1,[01],[011]
(0*10*10*)*|0*,0*10*1(1)0*,[111],[110]
0*10*(10*10*)*,(1)(111),[],[0]
(a*ba*b)*a*ba*,a*ba*b,[bb],[bba]
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,[],"[bba, bbbabb]"
b*a*,a(a)*b,[ab],[aba]
(a|b)*baa(a|b)*b,"(ba{2,})*",[baa],[a]
a(a|b)*b,b(a|b)a,"[bba, baa]",[a]
b*a*,(a*b*)*baa(a*b*)*b,[baab],[]
(a|baa)*,"(a)b{2,}",[abb],[aa]
(a|b)*baa(a|b)*b,a|b*[baa]b,"[ab, a, bab]","[aa, abba]"
001|1010|110,(001)(10101)(110),[],[000]
(0*10*10*)*|0*,1,[],[0]
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[00, 11]"
(ab|ba)*,(aa|bb|ab|ba)*bb,[abb],[a]
(ab|ba)*,aabb(a|b)*,[aabb],[aaa]
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,[b],[ba]
a+b,(a|b),"[a, b]","[aa, ba]"
a+b,a|b,"[a, b]","[aa, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,[ab],[aba]
0*10*(10*10*)*,0*|1(111)0*,[0],"[011, 01, 0111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[01, 010]",[]
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, , 1]","[00, 11]"
b*a*,(b|a)*(baa)+(a|b)*b,[baab],[]
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[00, 11]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),[abba],[aba]
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,[bb],[]
001|1010|110,1+0+11+0+,[10110],[0]
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,[],"[a, bbaa]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, a|bbaaa]","[aaa, aab]"
a+b,b+a,[ba],[a]
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[baba, aaba]","[aaa, baa]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,[abb],[]
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[11111, 00000]",[]
(a|(b*bb))*,b(ab+ba+b)*,[],"[babba, a, babb, bab, ba]"
(0*10*10*)*|0*,0*1(0*10*10*)+,[111],[]
001|1010|110,1+0+011+0+,[100110],[0]
b*a*,(a)(a)*(b)(b)*(a)(a*),[aba],[abab]
b*a*,[ab]*baa[ab]*b,[baab],[]
(ab|ba)*,aaa*bbb*(a|b)*,[aabb],[aaba]
(a|b)(a|b)+aaa+,(a|b(aaa)),[a],"[aa, aba, ab, abaa]"
a+b,a*|b,"[, a, b]",[ab]
(a|b)(a|b)+aaa+,(ab|aaa),[aaa],"[aaab, aaaa]"
a+b,a*,[],[b]
001|1010|110,(0+1)*01(0+1)*,[],"[00, 011, 010]"
(0*10*10*)*|0*,0*1(0|11)*,[],"[110, 11]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,[],"[b, ba]"
001|1010|110,(0|01),"[0, 01]",[00]
(ab|ba)*,(aa)*b,[ab],"[, ab, a]"
001|1010|110,0|0|1,"[0, 1]","[00, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[bbbbb, aabbb]",[]
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abb, aab]","[aaa, aba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,[a],[ab]
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abb, aab]","[aaa, aba]"
(ab|ba)*,a,[],[aa]
(a|(b*bb))*,(a+b)b(a+b),[abbab],[aba]
001|1010|110,0,[],[00]
001|1010|110,1,[],[0]
a(a|b)a(a|b)*,a(a|b)b(a+b)*,[],"[aaa, aba, aaba, abba]"
001|1010|110,(1|0)(001|10101|110)*,[],"[000, 00, 011, 110, 11, 01, 100, 111, 0000, 1000, 010, 10]"
001|1010|110,(0|1)*0101(0|1)*,[0101],[]
a+b,(a*)ba,[ba],[baa]
(a*ba*b)*a*ba*,(a)*b(a)*b,[bb],[bba]
0+1*,1,[],[0]
(0*10*10*)*|0*,0*10*11,[111],[110]
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[],[-0]
001|1010|110,[001]|[10101]|[110],"[0, 1]","[00, 10]"
001|1010|110,11010110,[],[0]
0*10*(10*10*)*,0*(10*1),[11],[110]
a+b,ba+,[ba],[a]
(a|b)*baa(a|b)*b,a(a*)b,[ab],[aba]
a(a|b)a(a|b)*,abba,[],[aa]
001|1010|110,(0|1)*0101(0|1),"[01011, 01010]",[]
(a*ba*b)*a*ba*,(bb)+,[bb],[a]
0*10*(10*10*)*,0*|1(1)0*,[0],[01]
b*a*,a(a*)b,[ab],[aba]
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,[aaabbaabaaa],"[aaa, aaabb, aaabbaa, aaabbaaa, aaabba, aaab]"
b*a*,(b|a)*(baa)+(a|b)*b+,[baab],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"[01, 010]",[]
(a|baa)*,a*b(a*ba*b)*a,[],[baa]
0*10*(10*10*)*,0*,[],[1]
a+b,(a*b)*a,[],[aa]
001|1010|110,((0|01)(1|10)),"[011, 01, 010]",[00]
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"[11111, 00000]",[]
0*10*(10*10*)*,(0*10*10*10*10*)*,[01111],[]
001|1010|110,(1|0)(001|1010|110)*,[],"[000, 00, 110, 11, 01, 100, 0101, 0000, 1101, 1000, 010, 10]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,[bab],[ba]
(a|baa)*,abb*,[ab],[aa]
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,[bab],"[babb, baa]"
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,[],"[bab, b, ba]"
(a|b)*baa(a|b)*b,a+|b*a*,"[, a]",[ab]
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),[],"[11011010, 110110, 1101101]"
