Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,[],[]
001|1010|110,001|10101|110|1010,"[001, 001010]","[000, 00110101]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[aaaa, bbaa]",[]
(0*10*10*)*|0*,(0*|1*)*,[],[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,[],[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,[],"[a, b]"
(a|baa)*,[a]*|[baa]*,[],[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,[1],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),[],[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[101, 1011]",[]
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,[],"[aaba, aabbababb, aabbababa]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,[],[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,[aaa],[]
b*a*,a+[ba]*|(b*a*),"[, a, b, ba]",[abab]
(a|(b*bb))*,(a|b)*,[],[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaa, aaaa]",[]
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaa, aaaa]",[]
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,[aaa],[]
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,[],[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,[],"[a, b]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,[b],[]
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,[bab],[ba]
(a|baa)*,(a|(b*aa))*,[],"[bab, b, ba]"
(a|baa)*,(a)*((b|aa)*(a)*)*,[],[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[bba, bb, aba, ab, abab, bbab]",[]
(0*10*10*)*|0*,(0*|1)*(0*|1)*,[],[]
001|1010|110,0*1(01)*1*0*,"[11, 100, 1, 10]",[1001]
a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"[aaa, aba]","[aaab, abab]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"[, a, b]",[]
(ab|ba)*,a*b*(a|b)*,[],[]
(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,[ab],[]
(a|b)(a|b)+aaa+,(a+|b+)*aaa,[aaa],[]
(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,[],[]
b*a*,(a)*a*b*a*,"[, b, ba]",[bab]
(a*ba*b)*a*ba*,(a*ba*)*,[ab],[]
(a|b)(a|b)+aaa+,(a|b)*aaaa*,[aaa],[]
(a*ba*b)*a*ba*,(a*ba*)+,[b],[]
0*10*(10*10*)*,(0*10*1*)*,[01],[]
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"[bba, bb, aba, ab, abab, bbab]",[]
a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"[aaa, aba]","[aaab, abab]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,[],"[aaa, aaba, aab, aaab, aabb]"
(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,[],"[babbaa, babbab]"
(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,[bab],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,[],[]
(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"[baaa, aaaa]",[]
(a|b)*baa(a|b)*b,(a*(b+a+)+b+),[bab],[]
(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,[b],[]
(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+",[],[]
(0*10*10*)*|0*,0*(0|1)*,[],[]
0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,[01],[]
(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,[],[]
0(0|1)*0,0+(0*1*0*)*,[0],[01]
a(a|b)a(a|b)*,a(a|b)*a(a|b)*,[aa],[aab]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,[],[]
(ab|ba)*,(a|b)*,[],[]
(ab|ba)*,(ab|ba)*|(ab|bb)*,[],"[aa, baba, a, babb, bab, baa]"
(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,[bab],[ba]
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"[baaa, aaaa]",[]
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"[bba, bb, aba, ab, abab, bbab]",[]
(0*10*10*)*|0*,(0*|1*0*1*)+,[],[]
(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,[bab],[ba]
0(0|1)*0,0+(0|1)*,[0],[01]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,[],[]
(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,[baa],[]
(a|(b*bb))*,(a*(b*b)*a*)*,[],[]
(a|b)(a|b)+aaa+,(a|b)*a{3},[aaa],[]
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"[bba, bb, aba, ab, abab, bbab]",[]
(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"[baaa, aaaa]",[]
(a|(b*bb))*,(a|b(b*))*,[],[]
(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"[baaa, aaaa]",[]
(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,[],"[a, b]"
(a|(b*bb))*,(a|(bb*))*,[],[]
(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,[],"[01, 010]"
(a|baa)*,[ab]*(baa)*,[],[]
(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,[b],[]
(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),[],"[baaab, aaaab]"
(a*ba*b)*a*ba*,(a|b)+(a|b)*,"[a, b]",[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*,[],[]
0+1*,0*1*,"[, 1]",[10]
(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),[],"[01, 010]"
(ab|ba)*,(ab|ba|aa|bb)*,[],"[a, b]"
(a|baa)*,((b+a+a)*a*)*,[],"[bab, b, ba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101],"[0, 1]",[]
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa,"[baaa, aaaa]",[]
(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*,[],"[aabbbaaba, aaba, aabbbaabb]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,[],"[01, 010]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*,[],[]
(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,[],"[a, b]"
b*a*,((a+)|(b*a*))*,[],[]
(a|baa)*,(a|(b*a(a)*))*,[],[b]
(a|baa)*,((a)*(b+aa+))+|[a]*,[],"[bab, b, ba]"
0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11),[01],[]
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?,"[bba, bb, aba, ab, abab, bbab]",[]
(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*,"[aa, ba]",[]
(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+),"[bbaaa, aaaaa, aaaa, bbaa]",[]
(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*,[],[]
(a|b)*baa(a|b)*b,(a|b|baa+)+b,"[bb, ab]",[]
(a|baa)*,(a*)+(a*|b+a+a)+(a*),[],"[bab, b, ba]"
(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,[],"[a, b]"
a+b,[ab]*(ab)[ab]*,[ab],[]
(a|(b*bb))*,(a|(b)*)*,[],[]
a+b,(a|b)*(b),[b],[]
(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*,[ab],[]
(a|b)(a|b)+aaa+,(a|b)*,[],[]
(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*,[ab],[]
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|(0+1+)+0+|(1+0+)+1+,[],"[01, 010]"
(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*,[babb],[bab]
0(0|1)*0,0*(0|1)*0*,[],[]
(ab|ba)*,((aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*)+((ab)?),[],"[a, b]"
(a|(b*bb))*,(a*|(bb*))*,[],[]
(a|b)(a|b)+aaa+,(a|b)*a{2}aa*,[aaa],[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aabb+bbaa+ab+ba)*,[],"[aaa, aabbbbaaaaabbabbabbaaabbbaaabb, aabbbbaaaaabbabbabbaaabbbaaabbaaabbb, aabbbbaaaaabbaa, aabbbbaaaaabbaaabbbbaa, aabbbbaaaaabbabbabbaaabbbaaabbb, aabbbbaaaaabbabbabbaaabbbaaabbaaa, aabbbbaaaaabbabbabbaaabbbaaabbabb, aabbbbaaaaabbaaa, aabbbbaaaaabbabbabbaaabbbaaabbba, aabbbbaaaaabbabbabbaaabbbaaabbaaab, aabbbbaaaaabbabbabbaaabbbaaabbabbb, aabbbbaaaaabbabbabbaaabbbaaabbaa, aabbbbaaaaabbaaab, aabbbbaaaaabbaaabb, aabbbbaaaaabbabbaa, aabbbbaaaaabbabbabbaaabbbaaabbaaabb, aabbbbaaaaabbaaabbbba, aabbbbaaaaabbaaabbb, aabbbbaaaaabbaaabbbb]"
(ab|ba)*,((a|b)|((a|b)(a|b)(a|b)))*|(ab|ba)*,[],[]
(ab|ba)*,(bb|aa|(abab|aabb)*)*((aa)|(bb)|(ab)|(ba))*,[],"[a, b]"
(ab|ba)*,(ab)*((a|b)(a|b))*,[],"[a, b]"
(a|(b*bb))*,(a*(b+a*b+)*a*)*,"[babb, bab]",[]
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(a|b)*aaa*,"[aaaa, bbaa]",[]
(a|b)*baa(a|b)*b,(a|b|baa+)*b,[b],[]
(ab|ba)*,(bb?|aa|(ab|ba)*)*((aa)?|(bb)|(ab)|(ba))*,[ab],[a]
(a|b)(a|b)+aaa+,(a|b)|(a|b)+(a|b)*aaa,[],"[baaab, aaaab]"
a+b,[a]*[b]*,"[, b]",[ba]
(ab|ba)*,((ab)|(ba))*|(a|b)((a|b)(a|b))*,"[aaa, aab]",[]
(ab|ba)*,(ab(a|b)*)*((a|b)(a|b))*,"[aaab, aabb]","[aaa, aab]"
(a|b)(a|b)+aaa+,[ab]|[ab]+a{3},[],"[baaab, aaaab]"
(a|(b*bb))*,((a|b)*b?)*,[],[]
(a|b)(a|b)+aaa+,((a|b)+)aaa,"[baaa, aaaa]",[]
(a|b)*baa(a|b)*b,(a*b*)*(baa)*(a*b*)b,[b],[]
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(1*0+1*0+1*)*|(0*1+0*1+0*)*,"[00, 0101, 01101, 011010, 010]",[]
(a|b)(a|b)+aaa+,((a|b)+(aaa+)),"[baaa, aaaa]",[]
a+b,(a|a*)b,[b],[ba]
(a|b)(a|b)+aaa+,(((a)|(b))+)+(aaa)+,"[baaa, aaaa]",[]
(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa(a|b)*,"[bbaaa, aaaaa]",[]
(a|b)(a|b)+aaa+,(a|b)(a|b)*aaa,"[baaa, aaaa]",[]
(a|(b*bb))*,(a*|(b*b)*)*,[],[]
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))+)?,"[bba, bb, aba, ab, abab, bbab]",[]
(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*,[aaabab],"[aaaba, aaab]"
(0|1)(0|1)*,[01]*,[],[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*((a|b)a*b)*,"[bbabbbab, ababbbab]",[]
(a|b)(a|b)+aaa+,(a|b)*aaa(a)*,[aaa],[]
(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa*,"[aaa, baa]",[]
a+b,[a]*[b],[b],[ba]
