Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[baba, aaba, aabaa, ba]","[bb, babb, ab, babbba, aabbba, aabaabb]"
(0*10*10*)*|0*,0|111*,"[0, 111]","[000, 011, 110, 1110, 10]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[00, 11]","[110, 001, 101, 010]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[bb, abaaaa]","[baabb, bab, abaaaba, bbaa, baaaab]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb, ab, ba]","[bba, abb, aba, bab, baa, aab, bbb, aaaba]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[bab, baab]","[babba, bbb, baa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[10101001000, 10111001001011, 011010111, 100110101011, 101101010101, 00100111010100, 101100110110100, 1011001110101, 110110010010101, 1101100110101011, 0111001011, 001001110101010, 0100101001000, 1010111, 111, 001001000, 11011001110101, 00100110001101101010, 0011010100, 10110101001011, 0010011010110100, 101010010101, 10110100110110111, 010100110100, 11001101010101, 10101001011, 1010100111000, 10110001010101, 011010100, 101100110100110111, 010010100110110111, 1011001000, 010011001010100, 0101101101010, 000, 0010011001010010010, 100100, 10101001110101, 00100111000, 0101010010, 1001101010101, 11011001011011, 1101101101010101, 00101011001101101010, 1010101101, 010011010110111, 101100101001011, 1011001001001011, 101011000, 101100110110101011, 00101011001101010, 1011001101010101, 101101011000111, 001010101000, 01010101000, 010011001010111, 001001011000, 010011001010010010, 01001100101000111, 10110011010110111, 01010110010010, 010010100101000, 001001100101000100, 01001101101010, 10101001001001011, 110110101011, 00101001010, 10110010101101, 1101100101000111, 0101011000110111, 101011011, 001001101001101010, 110111011, 1010110010101, 1011001101101010101, 0010010100101000, 00110101010, 010110100, 1101010011000111, 110101001011, 001010110001010, 101001001001011, 1101010010011011, 1100110101011, 010100110111, 110110101101101, 010101000, 0010011001000, 0110101010, 1101010010101, 0100110101000, 1101100101001011, 001001101001010, 0010110100, 11010110101, 10101000111, 101111, 101011001011, 11010100111001011, 0101011000111, 10110101101101, 101010001100111, 01001101001010, 101100101010111, 1011000111, 11010010101, 1101100110100111, 1101101011010111, 001001010010010, 011001010100, 01001001010100, 100101011, 1101110101, 101110010101, 00100110010100101000, 010011010110100, 1010100110111, 101000, 0010010101101010, 00101010010, 1001010101101, 0101011000100, 101100110101110101, 11011001001011, 01001011000, 110110011010110111, 1011000100, 011011, 00100101000100, 010101101010, 101100110100111, 001010110001101010, 1011010111011, 11011001101101010101, 00100110101000, 010010111, 101101011000110111, 10110010010101, 01000110100, 001010111000, 11010100111011, 101100111001011, 101100111011, 11011010110111, 0010101100111000, 101101000, 010011001011000, 1100110111, 110101000111, 01001100101001000, 101101011001000, 10111011, 110110111, 100111, 101100101000110111, 0101101010, 1101010111, 1011001010010101, 110110010110101, 110101001101101, 001001101101010, 1101100110101101101, 001000100, 0100110010110010, 0100110001000, 0100101001101010, 0101001101010, 10111010111, 101001011, 010010100111000, 010010010101010, 100101000, 0010011010111000, 10110110100, 101010011010111, 0100110100111, 00100110010010101010, 0100110101101010, 0010100100, 0100111011, 0101011001000, 0101001010, 011001000, 110110101110101, 10110100111, 01001010100, 1101010011001011, 11011001011001011, 1101100110101001011, 0011001010100, 0011001000, 0010011001001010100, 00100110010101101010, 00100110100100, 010100100, 0010011001010001010, 0100110100100, 101101011001001011, 11011000101011, 101100101000111, 0100110010101010, 10110011010111001011, 01010110001010, 1101100111011, 101100110101000, 0100111000, 0100110010100101000, 110110011010111011, 010001010, 010000, 11001010101, 010011001001010100, 010011010101000, 01001010111, 101101011001011, 0010010101010, 01001101001100111, 10101010111, 1011010111001011, 00110010101010, 0100110101110010010, 1011001010111, 01001110101010, 010011001000, 001001010001101010, 1101011011, 010011001010001010, 0010011010101000, 00101011001000, 101100110101011, 1101100101001001011, 0010011001010001101010, 001010110010010, 101100110101001011, 10110111, 11011010111001011, 01001000, 010001101010, 11011001101011010111, 00100110101101010, 011000, 11011010111011, 01001100011001010, 00101001101010, 0010101101101010, 0010101100101000, 101100110111, 11011001010010101, 01001101101101101010, 1011010111000, 01001010001010, 101101101010101, 01010110111, 001010110100, 010011001001011, 1011010110010101, 110101010111, 1001100111, 1101011001011, 110110101001011, 1011000101011, 110110110101011, 11011000111, 01010110110111, 011001011, 00100110001010, 1010110101, 1101010011001001011, 10101001101101, 010010100110111, 0010011001010100, 0010101101010, 101100110101101101, 01001101010010, 01010110100, 11010100110010101, 010011001010110111, 1011001101011010111, 1101100111001011, 0100101000111, 10110101000, 001001001010100, 0100110010010101010, 10110010110101, 0010010010101010, 001001101010010, 010010100110100, 1010010101, 1100111, 101110101, 0011100100, 0100110001010010, 010101100101000, 0100101100110, 101100101001000, 11010100110111, 0010101100110100, 0100110111, 01001100101000110111, 01001010010010, 1011001001011, 0010001101010, 1010110011011, 0100110110100, 001001010100, 0100101000100, 10110101011, 1101101010101, 00100110110100, 01001100101000100, 110111001011, 101101011010111, 10110101110101, 1011001011000, 11011001101010101, 01001001011, 1101100110101110101, 010011010111000, 101010111, 1010100111011, 110110100111, 0110010101010, 1101010011010111, 00100110101101101010, 1011001011001011, 1011010110111, 10110011010111000, 0100101001110010, 110101001110101, 01000101000, 0011000, 110110010101101, 0100101000110111, 100110111, 010011010110110110111, 010111, 110110001010101, 00100101001000, 00100110010101010, 0010011001011000, 11011001010111, 1101100110111, 1100101011, 1011001011011, 110110011010111001011, 0010011000100, 0100111010100, 01010111000, 1010100111001011, 0010001010, 010101110010, 10111001011, 00101011000100, 001001010001010, 11010101101, 01001010110111, 0010101000, 10110011010111011, 00101101010, 01000100, 010010101010, 100110100, 1101100101010111, 1101001011, 101100101001001011, 1101100110110101011, 10110110101011, 001001100101001000, 010100111]","[10110001010110, 1101000, 10101001001001, 010011000101011, 1101100101011010, 0100110101110001, 110110011011010101010, 001010110001001, 0010010110001, 010010010101001, 1001101010110, 1001010110, 001100101010101, 00100110010001, 0101011010101, 00101011010101, 0010010100010101, 1010001, 01010110010001, 0010101100100101, 11001101010110, 1001010001, 00100110010100100101, 010011010110110110, 01001101101001, 0010101100110110, 0010101100110111, 1011001101101010110, 001010010101, 110111000, 101101011000110, 1010110010110, 01001100101000110, 010011010100101, 110101001000, 110111001, 11011010010, 1101101101010110, 00100111011, 00100110101110001, 11011001011000, 11011001011001, 101101011101010, 11011101010, 0010101110001, 001001101001001, 10101110110, 11010100110001110, 01001010010101, 11011001010001110, 00101001001, 11011000100, 0101011000110, 101100110101110110, 10110011011010101010, 00100101101, 001000111, 001000110, 010010110001, 0110101001, 0010110111, 1101100101101010, 00101011101, 11011001101001110, 110110110100, 110110011010010, 0100110001100, 0100010101, 1001101110, 00100110111, 010010110011, 11010110110, 101100101101010, 0010011101010101, 010011000111, 101110010110, 110101011010, 11011001010101110, 1101100110110100, 0110101110, 101101011011010, 01001110001, 010011010010101, 10110010001, 01010010101, 101101011001001, 001001101101001, 1001101001, 1101100101001001, 110010101010, 1101100101001000, 01001110110, 001001010010001, 010011011010101, 0100110010110001, 001010100101, 101100110101110001, 1100110100, 10101100101010, 01010110010101, 00100110010110001, 001101010101, 001001100101001010001, 10111001001, 11010100110010110, 01100101010101, 01010110001001, 1001110, 101101001110, 01001101110, 10110101100101010, 10101001101010, 11001010110, 0101001101001, 11100, 0100011010101, 1011001101110, 110110010110110, 1001100, 00100110010010101001, 010010100100101, 0100110010100010101, 101010011101010, 001010110010101, 01001010110, 1011001101011011010, 0010011000110110, 11011001101110, 10110011010010, 0100110101101110, 1101100111000, 1011010111001, 001010110011101, 0101001110, 110110011010111001, 00100110001001, 110110011010111000, 10101001101110, 010011101010101, 1011010110101110, 1101100111001, 0100101010101, 01010110110, 101100110101101110, 11001101110, 1001001, 0100110101101001, 0010100111, 0010100110, 001010110010001, 0101001001, 1010110110, 1011001101011101010, 001011010101, 11011010111000, 11011010111001, 00100110010100010101, 001001100101101, 00100110101101001, 00010110, 110011010101010, 010101101110, 010010100110110, 01001101011101, 0010011001010001001, 010011001010001110, 1101101011101010, 110110011101010, 010101110001, 11010101110, 0100101000110, 1101010001110, 010110111, 01010011010101, 0110010110, 10010001, 01001101010001, 10110011010101010, 101110101110, 11011001101010110, 10110001110, 010011001010001001, 101100110101101010, 0110010101001, 1011100101010, 00100101001010001, 0100110010010101001, 1011001010001110, 1010101011010, 110110001110, 110110001010110, 10110100110110, 110101001110110, 0110010001, 0100110010001, 10110001001, 110110011010101010, 0100101001010001, 001001010001001, 01000110, 001001010111, 001001010110, 01000111, 110110010100010, 01101010101, 10110011010111001, 01001101010101, 01001100101001010001, 01010111001, 01001110101001, 11011010101010, 01010110001110, 1010100110101110, 11010100010, 0011011, 01010100101, 110110010101110, 0010010010101001, 1101101110, 110110011010110101110, 0010011000111, 010100110, 101010010110, 10101001110001, 1011001101010001, 0010011001010010001, 01011010101, 101101101001, 1101100110101101010, 110110101101110, 0101010001, 1010100111001, 101101010110, 00110010001, 11010100111001, 10101001110110, 1011010101010, 11010100111000, 1011001101010110, 110110010010110, 1101100110101001, 1101100110101000, 110110010101010, 01001100100101010101, 1010100010, 0101011101, 010101100100101, 01001101011010101, 00101011001010001, 101101010001, 101100100101010, 11010101010, 010011001010010001, 010011001010110, 0010011001010010101, 0010111, 00110101001, 010000110, 00100101000110, 01001100010010, 00100101000111, 0010011001001011, 101010101110, 1101010011101010, 010010001, 10110101110110, 0101010101, 1010101110, 10110010100010, 10110010100101010, 101010010001, 00101011001101001, 010101010001, 001001110101001, 1011001110110, 11011001110110, 10110101110001, 0010011010110110, 001001100101000111, 0010011010110111, 001001100101000110, 1101010010011, 10110010101110, 110101001101010, 1011010110010110, 001010110011010101, 0101110, 010011001010010101, 1010110001, 11001110, 11011001101101010110, 10101011010, 0101011001010001, 10110101101110, 010101101001, 110101001100101010, 1101010011011010, 110110010100101010, 10110010010110, 1011010110010001, 010010010110, 0010011010100101, 1011010110001110, 00100110101010001, 1010110011, 01001101001001, 10111100, 101100110100110, 10110010101010, 1101110110, 1101101001110, 11011011010101010, 101101101010110, 1101010010110, 0101101001, 110101001101110, 110110101101010, 11010100101010, 1101100110101101110, 010011001011001, 1011001101101001, 11011001101011011010, 01001101001110, 101001000, 010101100010101, 00110010101001, 001001001011, 1011001010010001, 01001100101101, 10011010101010, 110101001100010, 101101110, 10110011010110101110, 001001100101010101, 11010010110, 0010010001, 1101010011001001, 01001101001100, 1101010011001000, 01001011101, 10110101100010, 10111000, 010010100111001, 1011001010010110, 11011010110101110, 0100110101010001, 00100101010101, 1101101011011010, 00101010101, 1101100100101010, 10010101010, 0010010101001, 00101101001, 0010101101001, 10110011101010, 10101101010, 0100101001101001, 01001010001110, 0100100101010101, 1011010010, 0111001, 101100101000110, 001001010010101, 101100111000, 110110101110110, 101100111001, 010001010001, 001001100010101, 010010101110, 101010001110, 0010101010001, 0100101001101110, 101100110101001, 00100110010101001, 110101101010, 11010100110101110, 00100110100110, 1011101010, 01001100101010101, 00100110100111, 00100100101010101, 001010110111, 001010110110, 0100110010101001, 1011001101001110, 001001110001, 00111001, 11011001101011101010, 00101010001, 010001101001, 001001100100101010101, 10110101101010, 1101100010101010, 1010100101010, 0010011001010111, 0010011001010110, 1101100110101110110, 0100101101, 110100101010, 0100110010101110, 1101011001, 1101011000, 10100101010, 001001101010101, 0100110010010110, 01001010001001, 1010010110, 0100110110111, 10110010110110, 101100010101010, 10110101001, 1011001010101110, 01001010011101, 001001101011101, 0100110010100100101, 1100110, 1010101010, 1101010101110, 00100010101, 0110110, 101100101001001, 01001010011010101, 11011001010010110, 10110010110001, 00101011001110001, 01001010010001, 001001101010001, 0010011011010101, 1100100, 101110110, 1011001011001, 110110101000, 0010001001, 110110101001, 0010101100010101, 0110001, 00101011000111, 00101011000110, 010011010111001001, 0100101100101, 1101101010110, 1011001001000, 10110100010, 001001101011010101, 0010011010010101, 010001001, 010010101001, 101010001100, 0100101001110001, 1101001000, 010010100010101, 101010011011010, 00110001, 0010010100100101, 1011011010101010, 101100101011010, 11011001000, 0011001011]"
(a|b)(a|b)+aaa+,"a{2,}",[aaa],"[abb, aaba, b, aaab]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[bab, abbb]","[bbba, abbaba, ba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[baaaa, bbaaa, abaaa, aaaaaba]","[abb, bab, aab, bbb, abaab, aaaabba, abaa, aaab, aaaa, bbaa, baab, abab, bbab, baaa, baaab, bbaab]"
