Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[abbbbbaa, bbbbbb]","[bbba, bbbbbbab, bbbba, bbbbbab, bbbbbaab, abaa, bbab]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[baba, abbaabba, ababab, abbaabbaabba]","[aa, bb, baa, abababb, ababb, abbab, abbaaba, abbaabbab, abaa, abbb, abbaabbaaa, babb, babaa, abbaabbaaba, abbaabbb, abbaaa, ababaab]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[babbaabb, baaabbbaabbaab, baabbaaabaab, bbbaaabaab, bbbabbaababaaa, baaabbbabbaaba, baaabaabbabbaab, baaababbaabbb, baabbabbaaabaab]","[bbbabbaaba, baaabbbaaab, baabbaaabaaa, bbbaaabaaa, babbaabbaaaba, baaababbaabb, baaabaabbabbaaaa, baaabaabbaaa, baabbabbaaabaaa, baaabbbabbaababa]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[bbbbbbbbbbabbbb, bbbbbbbbabb, bbbbbbbbb, bbbbbbabb, bbbbbbbba, bbbbbbbbbbbba, abba]","[bbbbbbbbaba, bbbbbbbbbaa, bbbbbbbbbbabab, abbba, abbaba, bbbbbbaba, bbbbbbba, bbbbbbbbbbba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[000111, 001101, 101010, 100000, 101111, 110001, 110100, 011001, 01011, 01110, 110010, 111000, 001011, 001110, 000001, 000100, 100011, 100110, 101001, 101100, 110111, 111101, 01101, 01000, 100101, 111011, 111110, 001000, 000010]","[000011, 001100, 110101, 1101000, 1110111, 101110, 1110110, 111111, 0011100, 0011101, 011101, 1011001, 1011000, 011100, 01010, 101101, 1101001, 0000011, 0001110, 1001100, 1101110, 101000, 110011, 111100, 1001101, 01001, 010000, 011011, 010001, 100100, 1100100, 1101111, 1100101, 0000101, 0000100, 0001111, 0001000, 000110, 001001, 00000101, 1000000, 1001011, 1000001, 101011, 110000, 1100010, 1111100, 1111101, 01111, 0010110, 011010, 0010111, 010110, 1010011, 011000, 1010010, 010111, 100111, 1100011, 001010, 1001010, 0001001, 000101, 0110011, 001111, 1000110, 1110001, 100010, 1000111, 110110, 1110000, 111001, 1111011, 0010000, 0011011, 0010001, 1010100, 1011111, 0011010, 1011110, 1010101, 1111010, 100001, 111010, 0000000, 0110010]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[bbbba, abbaa]","[bbaab, bbbaa, bbbbab, abab, bbab]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"[baababbabaab, babaabb, baabaaab, abaabaab]","[baababbab, abaabaabab, babaabbab, baabaaa]"
(0|1)(0|1)*,(0|1)((01)+),"[101, 00101, 10101]","[000, 11, 1010111, 100, 01, 0011, 101000, 1011, 001000, 0010111]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[bbba, bbbbb, abaa, bbbbab]","[bbbab, babb, bbbba, ababa, bbbbbb, baab]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"[bbba, abbbbb]","[bbbab, abbab, bbbbaa]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,"[baaab, bbaab, abaabb]","[baabba, bb, baaa, babb, abaabaa]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[bb, baabb, aaa, baaa, aabaabaabb, baabaaa, baabaab]","[baabaaaba, ab, baabaabba, bab, aabab, aaabab, baaabab, aabaabab, baabbab, bbab, baabaaba, aabaabaabaa, baabab]"
(0|10*1)*,(0*|101)+,"[101101, 1010]","[101111, 101100, 10101]"
