Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[111101, 0111110]","[01010, 11110, 1111101]"
a+b,(a*|b),"[aa, b]","[bb, aab, abba, ba]"
0*10*(10*10*)*,-1,[-1],"[00, 1, -10, -11, -01]"
(a*ba*b)*a*ba*,(a|ba*b)*,"[bba, bbbab]","[bbba, bbab]"
0(0|1)*0,0(0|1)*1,"[011, 0101, 01001]","[11, 01010, 0110, 0100, 10]"
(0*10*10*)*|0*,0*10*1(1)0*,[01110],"[11111, 11101, 01100]"
0*10*(10*10*)*,(1)(111),[1111],"[00, 110, 101, 1110, 11111, 11110]"
(a*ba*b)*a*ba*,a*ba*b,"[abb, bab]","[bbb, abbaba, ba]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[abbbabbb, bbbabbb, bbbbbabbbbb, bbbaab, bbbb, babbab]","[bbbaa, bbbabba, bbbba, bbbabbbba, bbbaba, bbbbbabbab, bbbbbabaa, bbbabbba, abba, ba]"
b*a*,a(a)*b,"[ab, aab]","[aa, b, abaa, abbb]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[baaa, baabaa]","[aa, bb, baabb, baaab, babb, baabab, baabaab]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[aa, baaab, bab, bbb, bbaa, baab, bbab]"
b*a*,(a*b*)*baa(a*b*)*b,"[babaab, bbabaab, abaabbab, baabaab]","[abaabbaba, babaaba, bbab, baabaa]"
(a|baa)*,"(a)b{2,}",[abbb],"[aaa, b, abbba, abba, abab]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[ab, bab, bbb, bbab]","[aaa, abb, baba, babb, bbba, bbabb, baa, bbaba, bbaa, abab]"
001|1010|110,(001)(10101)(110),[00110101110],"[01, 001100, 00101, 00110100, 00111, 0011011, 1, 00110101111, 0000, 001101011100, 0011010110, 001101011101, 001101010]"
(0*10*10*)*|0*,1,[1],"[00, 11, 101]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[11, 01, 0010, 10]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[bbabbbaaabbbbbaabaaabb, bbbbabaabbabbbaabb, bbabbbaaabbbbbaabaabbb, bbaababbaabb, bbabbbbaabbb, bbabbbbaaabb, abbbaabbabaaabbb, abbbaabbabaaaabb, bbaababbabbb]","[bbabbbbaa, bbbbabaabbabbbaabba, bbaababba, abbbaabbabaaa, bbabbbaaabbbbbaabaa]"
(ab|ba)*,aabb(a|b)*,"[aabba, aabbb]","[ab, b, aab, aabab, aaaa]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,[abb],"[bba, ababa]"
a+b,(a|b),"[a, b]","[bb, ab, aaba, ba]"
a+b,a|b,"[a, b]","[bb, ab, aaba, ba]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[bb, ab, aab]","[aa, bba, abaa, abbb, ba]"
0*10*(10*10*)*,0*|1(111)0*,"[00, 1111]","[110, 001, 101, 1110, 11111, 010]"
