Regex,Attempt Regex,Positive Strings,Negative Strings
(a*ba*b)*a*ba*,a*b*(a*ba*b)*a*,[ba],[]
001|1010|110,001|10101|110|1010,"[110, 001, 10101]","[01, 100, 111, 101010, 0011, 101011, 1101, 0001, 1100, 1011, 0010, 10100]"
(a|b)(a|b)+aaa+,((a|b)(a|b)+aa+),"[baaa, bbbabaabaa, aaaababaa, aaaabaaa, bbaababaa, abaa, bbaa, aababaabaa]","[aababaab, aaaabaaaba, baaaba, bbaaba, aaaababaaba, bbaababaaba, abaaba, bbbabaab]"
(0*10*10*)*|0*,(0*|1*)*,[10],[]
(a|b)*(bab)(a|b)*,((a|b)*(bab)*(a|b)*)*,[ba],[]
(ab|ba)*,((ab|ba)*|(aabb|bbaa)*)*(aa|ab|ba|bb)*,"[bbbbaabaab, bbbaabaa, abbbaabaaa]","[bbbaabaab, bbbaabaaa, abbbaabaa, bbbbaabaa]"
(a|baa)*,[a]*|[baa]*,[ba],[]
0*10*(10*10*)*,(0|1)*1(0|1)*1*0*,"[11, 010]","[0, ]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*)*0*)|((1*0*)*1*),[10],[]
(0*10*10*)*|0*,0*(0*1+0*1+0*)*,"[101010111, 1010110, 101010010, 10100]","[1010100, 101010, 101001, 10101]"
(ab|ba)*,(ab|ba)*(aa+bb+ab+ab)*,"[abaabbababaabbababaabbabab, aabbababaabbabab, abbabaaabbabab, aabbbababaabbabab, aabbabbabaabbabab, aabbababaaabbabab, baaabbababaabbabab]","[abaabbabaa, aabbababaabbaa, baaaba, aabbababaaa, baaabbababb, baaabbaa, baaabbabaa, abaabbababab, aabbababaabbababb, abbb, aabbabbabaabbab, babb, aabbababaabbababab, aabbababaabbabaa, aabbababaaba, abaabbaab, abaabbababb, abaabaa, aabbbababaabb, baaabbababab]"
(a|(b*bb))*,(ab|ba|b|a)*(a)*,[ba],[]
(a|b)(a|b)+aaa+,(a|b*a|b*)*aaa,"[babaabaaabaaa, aaabaabaaa, aabaaabaaa, aaabaaa, abaaaa]","[babaabaaab, aaabaabaaab, aabaaaba, aaabaaab, abaaaab]"
b*a*,a+[ba]*|(b*a*),"[bb, aa, ab, baa]","[babba, baab, bbab]"
(a|(b*bb))*,(a|b)*,[ba],[]
(a|b)(a|b)+aaa+,(a+|b+)+aaa,"[baaa, aaaabaaa, aabaaaa, bbabaabaaabaaa, aaaabaabaaa, baabaaabaaa, babaaaa, ababaabaaabaaa, aaabaaabaaa, baaabaabaaa]","[baabaaaba, aaaabaabaaabaa, bbabaabaaab, aaabaaaba, ababaabaaab, babaaaabaa, aaaabaaabaa, aabaaaabaa, baaabaa, baaabaabaaabaa]"
(a|b)(a|b)+aaa+,((a|b)|(aa|bb))+aaa,"[baaa, babaaa, aabaaa, bbabaabaaabaaa, baabaaabaaa, ababaabaaabaaa, aaabaaabaaa, aaaabaabaaabaaaa, aaaa, baaabaabaaabaaaa]","[baabaaaba, bbabaabaaab, aaabaaaba, aaaabaa, babaaabaa, baaabaabaaabaaaabaa, ababaabaaab, aaaabaabaaabaaaabaa, aabaaabaa, baaabaa]"
(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a*|b*)+aaa,"[babaabaaabaaa, aaabaabaaa, aabaaabaaa, aaabaaa, abaaaa]","[aabaaaba, babaabaaab, aaabaabaaaba, aaabaaaba, abaaaaba]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,[ba],[]
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"[bbbbaabaab, bbbaabaa, abbbaabaaa]","[bbbaabaab, bbbaabaaa, abbbaabaa, bbbbaabaa]"
(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"[bb, aba]","[, a]"
(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"[babba, bababb, bbb, abaabb]","[baba, bab, b, abaa]"
(a|baa)*,(a|(b*aa))*,"[bbaabaa, baaa, baabaa]","[bbaab, babb, baaab, baababa]"
(a|baa)*,(a)*((b|aa)*(a)*)*,[ba],[]
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"[bbbbabb, ababaabaab, abaababab, bbbbaaaba, abbbabb, abbbaaaba, bbaababab, bbabaabaab, abab, bbab]","[bbaabababaa, bbabaabaabb, bbbbaaa, abaabababaa, abbbabbaa, bbbbabbaa, abbbaaa, ababaa, ababaabaabb, bbabaa]"
(0*10*10*)*|0*,(0*|1)*(0*|1)*,[10],[]
001|1010|110,0*1(01)*1*0*,"[110, 111, 0100, 10110, 10100]","[010011, 1011010, 1101, 101001, 11101]"
