Regex,Attempt Regex,Positive Strings,Negative Strings
(a|baa)*,((b|a)a+a*)*,"[aaa, baba, baaaba, aaba, baa, aaaaba]","[a, bab, b, aab, baaababb, aaabb, aaaababb, abbb, aabb, bbbb, baabb, babb, bbaaba, abaaba]"
(0*10*10*)*|0*,0|111*,"[0, 1111]","[011, 100, 1, 101, 0011, 1101, 1100, 1110, 000010, 010]"
(0|1)(0|1)*,(0+|1*)|(1*|0+),"[000, 0, 111, 1]","[01, 100, 000100, 000111, 101, 1110]"
(a|b)(a|b)+aaa+,a*b*(aaaa*)*,"[a, aabaaaaa, bbbaaa, b]","[baba, baabb, baaab, bbba, babb, baaba, aabaaaaabaa, aabaaaaabbb]"
(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb)),"[aa, bb]","[a, bbba, aaba, bbaaaba, bbabb, b, aaabb, aaaaaba, aabb, bbbb]"
(a|b)*baa(a|b)*b,(ba|a|baa)*b,"[bab, b, aabab, baab]","[baba, a, aaba, bbaaba, baa, bbbb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*),"[1010100111110, 010011110, 1001111, 0100100100101011111, 01001101111, 00100101001011000, 0010001101101, 0010001100010, 001001001001110101, 010010100011, 010010100111110, 11010100101, 1100001010101, 0010011110101, 10110001010101, 1101110, 1001101, 00110101, 01001011, 1010010010101, 010000, 10101001101001, 0, 00100101001101101, 1010000, 110101001111, 1, 110101001110, 010001, 00100101001110, 110110101, 010010010011101000100, 01001101101, 01001010000010, 1101111, 10010100111010001101, 1101101101010101, 101010011100, 101010011101, 101011, 0100110100, 00100, 0100110101, 10110111, 010010100100, 101001001110, 010011011001, 001001011000, 010010100101000, 010010000, 101101101010101, 01001001000, 00100101001111000, 10110101, 10110100, 01001110, 0010001, 001001110, 10101001101101, 100101001010111, 001001010011010, 1001, 000010000010000, 11010100110101, 0010001101, 00100101001001000, 1010100110101, 110011001010101, 101001001011, 01001001001010101000, 100101001011, 11001101, 1011001, 11010010101, 01001010011100, 10111110, 001001101101, 00100110100, 00100110101, 101110010101, 1010100110111, 1101101001, 010010010010101101, 11001111, 100001000, 10100110101, 001001001000, 1101010010010101, 1101010001, 11010100001, 00100101001010, 01001010011010, 01001001001011, 01001010011011, 001000101000, 101010000011, 1011101, 01001010001, 110110001010101, 00100101001000, 110110111, 11001, 11011001, 1010100100, 1101010011011, 1010100101, 101010001, 1101011, 001001010001, 001001010000, 0010010000, 0110, 001000101001110, 100101000, 10011001010101, 111101110101]","[0100110100110, 10101001001, 101010011010110, 0010010100110101, 00100011, 1001110, 1101000, 01001101110, 11010100100, 1010010010110, 1101100100, 0100101001001, 1001010010110, 0010011101, 10110100110, 00100101000011, 1101001, 11011100, 010010010010110, 110011010, 1010100111001, 0100100100111010001001, 10101001010, 1001100, 01001010011111001, 0100100100101011100, 0100100100101011101, 01001101100, 010011011110, 00100011000101, 001001101011011, 1010001, 001, 001001011, 00100101001111, 110110100, 0011, 0100111010, 100101, 11110, 0100100001, 1001010001, 00001000001000010010, 010011010110110, 101011001, 1010010011100, 010010100101, 001000100111, 011, 10101001101110, 0010010100011, 0010010100101001, 100101001010110110, 1000010001, 1010010001, 110010, 010010001, 1001010011101000100, 001001001001011, 0010010010001, 1001001, 11010100111100, 10011110, 0100011, 01001111, 010011011011, 010010100000101, 001001111, 110101001010, 10110110, 001001010011011, 010010100110110, 110101100, 101111100, 1101010011100, 10101000110, 1010100110100, 010010010001, 00100100100111010, 01000011, 0100101000110, 101001001010, 11001100, 0010001010001, 01001001001010101, 11001110, 1011000, 10110101001, 100101001010101, 110111100, 010010100110101, 01001010011101, 0010010100111001, 1010100110110, 1010010000, 11010100110110, 00100100001, 0010011010011, 01001011001, 001000101001011, 00100110111, 101010011111001, 00100110110, 1100101, 0010001001, 01001001001010110110, 110011110, 1101010000, 1010100111010, 00100010100111010, 110000100, 110101000110, 1010011, 101010000010, 1011100, 00100101001001, 110110110, 10111010, 1001010010101110, 01001001001010111110, 1101010011010, 11011000, 10100001, 00100011011, 001001010010001, 10110011100, 101101110, 100110101, 0010010001, 11011010100, 00100101001011, 1101101110, 010010100111001, 001000110111]"
(a|b)(a|b)+aaa+,"a{2,}",[aaaa],"[abb, bb, aba, a, b, aab, aaaabaa, aaaabbb, ba]"
(a*ba*b)*a*ba*,a*b(a)*bb*,"[bb, aabaabbb]","[bba, a, bbabb, bbbba, b, aabaabaaaba]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*,"[bbaaabb, aaaaaaa]","[bbaabbb, a, aaba, bbabb, b, aaaba, aaaabaa, aaaa, bbaa, bbbb]"
