Regex,Attempt Regex,Positive Strings,Negative Strings
(a|(b*bb))*,a*(bb+bbb)a*,"[aabbbbbaaa, bbbbbbba]","[a, b, bbbbab, bbbbaa, bbaa, bbab, bbbab, babb, bbbaa, aabaaaba, bbbbbab, bbbbbbbab, bbbbbaaaba, bbbbbabb]"
(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*,"[baba, abbaabba, ababab]","[bab, abaaa, abaab, abbb, aabb, abbaabbba, baab, abbaabbabb, abbaabbbb, babb, abbaabaa, abbaabab, ababba, ababbb, ababa, bba, a, abababa, b, bbb, abbaaaa, abbaaab, abbaabbaba, baaa, aaaaba, babab, ababaa]"
(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)*,"[bababa, b, bbb, baaaaabb, baaabbbb, baaabaabbb, baaababa, baababa, baaabba, baabb, babb, bbaba, aabbba, baaabaaba, baaababbb]","[bba, a, baaabbabaaa, baaababb, baaabababaaa, baaabaaabb, babbaaabaaa, aabb, baaabbb, baba, baaba, baabbaaabaaa, bbbaaabaaa, baaabaababaaa, baaabaaaaaba, baaaaabbbaaa, baaabaabb]"
(a|(b*bb))*,(a|bb)*|(bbb)*,"[abb, bbbbabb, bbbbbba, a, bbabb, bbbbbbbb, aaabb, abbbb, bbbbaa, abba, bbaa]","[bab, bbbbbbab, b, baa, abaaaba, ababb, abbab, aaabbb, bbbbab, abbb, bbab, bbbab, bbaab, bbbaa, bbbbaab, bbbbbaa, bbbbbbb, bbbbbab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001),"[000001, 000100, 000111, 001101, 101001, 1000, 1011, 01101, 00100, 00111, 111, 1, 011001, 01011, 01110, 1101, 0100, 100101, 001011, 000010]","[000110, 001001, 00000101, 00000100, 101110, 00101, 01111, 011010, 011101, 110, 0101, 0000110, 0000111, 0001001, 000101, 001111, 00000111, 100010, 00000011, 00000110, 1010, 00110, 01001, 01100, 0, 011011, 1001, 111010, 0000101, 0000000010, 0000100, 0001111]"
(a|(b*bb))*,(a)*(bb)*(a)*,"[a, bbaaa, aabbbb, bbbb]","[babb, bbbbb, bbba, bbaaaba, bbabb, b, aabaaaba, bbb, bbab]"
(a|b)*baa(a|b)*b,(a*|b*)*baa+a*b+,"[bbaab, aababaaaabaabbbabbbaab]","[aababaaaabaabbbabbb, bb, a, b]"
(0|1)(0|1)*,(0|1)((01)+),"[00101, 10101]","[101010, 1011, 0010, 1010, 00000, 00110, 00100, 010, 0, 111, 1, 0011, 10011, 001010, 10100, 10111]"
(a*ba*b)*a*ba*,a*b(ba*ba*)*a*,"[bbaabbb, bbbaabb, b, aabaaa, bbbbab]","[babbb, a, bab, bbbba, bbbaabbb, aabaaabaaba, bbaabb]"
(a*ba*b)*a*ba*,a*b(a*b{2})*a*,"[bbbbb, bbba, b, bbb, aabaabb]","[bbbab, a, bbaaaba, bbabb, aabaabbb, bbbb]"
(a|b)*baa(a|b)*b,a*b*(baa+)b+,"[aabaaaabbb, bbbaab, baab]","[baba, aabaaaabaaaba, babb, bbba, a, b, baaba, baababb, baabbba]"
(b|(a*aa))*,(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"[bb, b, aab, baa, aabbbaa, aaaabaaaabaaaabbb, aabaabbbaab, aabaab, aabaabaab]","[abb, bba, aba, a, aaaabaaaabaaaabaaaba, aabaababb, aabaabbba, aabaabab, aabaababa, aaba, aababb, aabbba, aabaabaaba, aababa, aabaabaababb, aabaabaabbba, ba]"
(0|10*1)*,(0*|101)+,"[0, 101101, 001010]","[1, 001000010, 101010, 101110, 101111, 10011]"
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"[001001001100100100, 111111]","[11110010010010, 11, 0, 11111111, 111, 1, 11111, 111011, 1111111, 00100100100010]"
(a|baa)*,(b?aaa*)*,"[baa, aaaabaabaa]","[bb, ab, a, b, aababb, aababa, aaaabaabbaaba, aabaabbbb, ba]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"[bbbbb, bbba, b, bbb, aabaabb]","[bbbab, a, bbaaaba, bbabb, aabaabbb, bbbb]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"[bbbbb, bbba, b, bbb, aabaabb]","[bbbab, a, bbaaaba, bbabb, aabaabbb, bbbb]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"[abaaaa, aaaaaa, ababbb, aaabbb]","[bb, a, b, ababbba, aaaaaabaa, abaab, aaaab, aaabbba, abaaaabbb, aaabaa, abbb, aaba, ababab, ba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"[00101010, 10101101, 00100110, 1110101, 0010000100001010, 101100101, 10110011001, 10111101, 0010010, 0010010010, 010, 0, 1, 1011001101, 101, 101100111101, 101101, 100010101, 01010010, 001110, 001001001110]","[01, 101010, 101011, 101101100, 01001001, 0101111, 0101011, 010110010, 010011, 10001000, 10110, 0111011, 10110110110, 0001000010000101011, 101001, 1110, 01001, 1010100, 010101, 1011110, 0100100111011, 010100, 10110110, 101100010110, 1011011110]"
(0|10*1)*,0*|(10*1)*|0*,"[000, 11, 0, 1111, 100111, 11101]","[01, 1, 00010010, 1101, 0111, 1100, 10011, 11111, 1110]"
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"[baaabb, babbbb, babba, babb, b, bbb, bbaba, aabbba]","[bba, bababb, babbb, a, babaaaba, bbbaba, baaabbba, babbaba, aabb]"
(a|(b*bb))*,(bb|a)*,"[bba, a, aabb, bbbb]","[baaaba, babb, b, bbb, bbaba, aabbba]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"[b, bbb]","[bb, abb, bba, a, bab, baa, aaaba, bbbb]"
(b|(a*aa))*,(aa+)*b*,"[bb, b, aab, aaaabbb]","[abb, bba, aaaabaaaba, aba, a, aaba, aababb, aabbba, ba]"
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"[00100100100100, 1111]","[11, 0, 111, 1, 0010010010010010010, 11111, 1111111]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"[aaabaab, baababb]","[aaabaabbaa, a, b, baababbbbb]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"[bbabaaa, bbbbaaaa, aaaaaabaaa, aaaaabaaa, aaabaaa, aaaaabbaaa, aaaaaabbbaaa, bbaaabaaa, bbaaaabbbaaa, aaaabbaaa, aaaabaaaaabaaa, bbaabaaaaabaaa, bbaaaabaaa, bbaaabbaaa, bbaabbaaa, aabbaaaa]","[bbaaaab, a, bbaaaba, b, bbaaabb, aaaaaabbb, aaaaaab, aabba, aaaaabb, aaaaaba, aaaabb, aaab, aaaabaaaaaba, bbaabb, bbaaaabbb, bbab, bbbba, bbaabaaaaaba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"[000001, 000100, 000111, 001101, 101010, 101001, 101111, 1000, 01101, 00100, 00111, 1010001, 111, 1, 01011, 0100, 0111, 10011, 10110, 11001, 001011, 000010]","[000011, 000110, 001001, 00000101, 00000100, 101011, 00101, 01111, 110, 1010011, 0101, 101101, 10111, 0001001, 000101, 001111, 00000111, 101000, 00000011, 00000110, 00110, 01001, 0, 0110, 1001, 1010101, 11110, 10001, 0000101, 0000000010, 0000100, 0001111]"
(a*ba*b)*a*ba*,(a|bb)*a*b,"[b, bbb, aabbb, bbab]","[bba, baaaba, babb, a, aabb, bbbb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"[000001, 000100, 000111, 1001001, 001101, 100011, 110001, 1011, 00100, 00111, 1010001, 111, 1, 010101, 011001, 0100, 0111, 10000, 10011, 001011, 000010]","[000110, 001001, 00000101, 00000100, 101110, 00101, 01111, 110, 0101, 100111, 10010, 0000110, 0000111, 0001001, 000101, 001111, 00000111, 00000011, 00000110, 1010, 00110, 01001, 0, 0110, 100001, 11110, 10001, 0000101, 0000000010, 0000100, 0001111]"
(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,"[a, aaabbabb]","[b, aaabaaaba, ababb, abbba, abbbb, abbab]"
(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"[bbaabbaabbaaa, bbabaaa, bbaaaaa, aaaaabbaaaa, aaaaaaa, aaabaaa, aaaaababaaa, aaaabaaabaaaa, aaabbaaaa, bbabbbaaa, bbbbaaa, aaaaaabaaaa, bbaaabbbaaa, aabaaaa, aaaabaaaa, bbaaababaaa, bbaabbaaa, bbaaaabbaaa]","[bbaaaaaa, bbaaaab, a, bbaaabbb, bbaaabab, b, aab, bbb, aaaba, aaabb, aaaaaab, aaaaaa, bbaabbaaaa, bbaaaa, aaaabaaaaa, bbabb, bbaba, aaaabaaab, aaaaabba, aaaaaaaa, bbaabbaab, aaaaabab]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"[011, 110, 0, 101, 1000111, 1111, 101101, 11000, 11101, 01111, 10111, 0001111]","[01, 1100010, 101110, 100011, 111101, 1110, 01101, 01100, 111, 1, 011110, 01011, 01110, 1101, 0110, 0111, 10110, 11011, 10101, 10100, 000100010]"
