Regex,Attempt Regex,Positive Strings,Negative Strings
0*(10*1)*0*,0*1(10*10*)*,"[1, 1110011, 001100111, 111101]","[0, 11100111, 00100010, 110011, 1011, 11110]"
a+b,(a*|b),"[aaa, a, b]","[bba, ab, bab, baa, bbb, aaabaaba, abbb]"
0*10*(10*10*)*,-1,[-1],"[11, -00, -, -01, 011, -101, 0, -100, -111, 1, 00010, -110, 10]"
(a*ba*b)*a*ba*,(a|ba*b)*,"[bba, a, aabb, baabbb]","[baabb, b, aabbb, bbab]"
0(0|1)*0,0(0|1)*1,"[011101, 000101, 01001]","[0, 111, 1, 00010, 0100, 10010, 0111010]"
(0*10*10*)*|0*,0*10*1(1)0*,"[111, 001001100]","[11, 0, 1, 00100100010, 1110010, 1111, 11111, 11011]"
0*10*(10*10*)*,(1)(111),[1111],"[111100, 111111, 111101, 011, 0, 100, 1, 101, 00010, 1101, 1100, 11100, 111110, 11101]"
(a*ba*b)*a*ba*,a*ba*b,"[bb, aabaab]","[bbba, a, bbabb, b, bbb, aabaabaaaba, bbbb]"
(a*ba*b)*a*ba*,a*ba*(bb)*a*b(bb)*,"[bb, bbbab, bbbaaabbb, bbbabbbbb, aabaabbb, bbbbbb]","[a, b, bbb, bbbabbbb, bbbabbaa, bbbabbba, bbbbb, bbbaaabaa, bbabb, bbbabb, bbbba, bbbabab, bbbabbab, aabaabaaaba]"
b*a*,a(a)*b,"[ab, aaab]","[abb, bb, a, b, aaabaaaba, ababb, abbb, abba, ba]"
(a|b)*baa(a|b)*b,"(ba{2,})*","[baaaabaa, baabaa]","[abb, baabba, bb, a, b, aaaba, baaaababa, baababb, baab, baabbb]"
a(a|b)*b,b(a|b)a,"[bba, baa]","[abb, a, b, aaaba, bbbb, baaaa, baabb, baba, baaab, babb, bbaab, bbba, bbaaa, bbabb, baaba, bbaba]"
b*a*,(a*b*)*baa(a*b*)*b,"[bbaab, baabbbab, aababaaaabab, baabaab]","[bb, a, b, baabbbaba, aababaaaaba, baabaa]"
(a|baa)*,"(a)b{2,}",[abbbb],"[bb, a, b, aaaaba, abbaa, abbab, abbbba, abaa, aabb, abab, ba]"
(a|b)*baa(a|b)*b,a|b*[baa]b,"[ab, a, bab, bbbbab, bbab]","[b, abaa, abbb, aabb, abba, baab, bbaa, abab, baba, baaa, babb, bbabb, bbbba, aaaaba]"
001|1010|110,(001)(10101)(110),[00110101110],"[0000010, 001101001, 00101, 00110110, 00100, 00110111, 0011001, 0011000, 00110101101, 010, 011, 00110101100, 0011010100, 0011010101, 001101000, 0011010111001, 0011010111000, 001110, 10, 11, 001111, 00011, 0, 1, 001101011110, 001101011111, 0011010111010, 0011010111011]"
(0*10*10*)*|0*,1,[1],"[011, 0, 100, 111, 101, 00010]"
(0|1)(0|1)|(0|1)(0|1)(0|1),0|1,"[0, 1]","[0000, 1111]"
(ab|ba)*,(aa|bb|ab|ba)*bb,"[baaabb, babb, bbbabb, aaaabb, ababbb, abbb, bbabbb, aabb, bbaabb, bbbb, baabbb]","[aa, aaa, abb, a, ab, aba, bab, b, bbb, aab, baa, bbaa, bbab, bbba, bbbba, ba]"
(ab|ba)*,aabb(a|b)*,"[aabbaa, aabbbb]","[abb, bb, aba, a, b, aab, aaabb, aabaa, aaaaaba, aabab, ba]"
(a|b)*baa(a|b)*b,(a*)(b*|aa*)b,"[b, aabbb]","[babb, bbba, a, aabaaaba]"
a+b,(a|b),"[a, b]","[abb, bba, aba, baaaba, babb, bbb, aaaaba, aabb]"
a+b,a|b,"[a, b]","[abb, bba, aba, baaaba, babb, bbb, aaaaba, aabb]"
(a|b)*baa(a|b)*b,(a*|b*|aa*)b,"[ab, b, bbb, aaab]","[abb, bbba, a, bab, baa, aaabaaaba, ababb, abbb, abba]"
0*10*(10*10*)*,0*|1(111)0*,"[000, 0, 11110]","[01, 100, 1, 101, 00010010, 1101, 0111, 1100, 111101, 11100, 11111, 11101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*1)|(1(0*1*)*0),"[011101, 110, 000101, 1010001110, 01001]","[11, 0, 1, 00010, 101000111, 0100, 0111010]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)?,"[0, 1]","[0000, 1111]"
b*a*,(b|a)*(baa)+(a|b)*b,"[bbaab, baabbbab, aababaaaabab, baabaab]","[bb, a, b, baabbbaba, aababaaaaba, baabaa]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)|(0|1)|(0|1),"[0, 1]","[0000, 1111]"
b*a*,(a)(a)*(bb)(b)*(a)(a*),"[aaabbaaa, abbbba, abba]","[bb, ab, a, b, aaabaaaba, ababb, abbab, abbbbab, abbabb, abbaaaba, ba]"
(a*ba*b)*a*ba*,([a]*[b][a]*[b][a]*)+,"[bbbab, aabaabbb, bbaabb]","[bbaabbb, bbba, a, b, aabaabb]"
001|1010|110,1+0+11+0+,"[1011110, 1110110, 10110, 100011000]","[011, 0, 1, 101, 00010, 1000100, 101101, 1110, 10101, 101100010, 10111101]"
(a*ba*b)*a*ba*,b(a*ba*ba*)*a*ba,"[bbbba, bbaabba, bbbaba, bbaaaababa, baabbba, bbababa, bbabba]","[abb, baabb, bbaab, bbba, a, bbabb, b, bbaba, aaaba, bbaabb, bbbb, bbaaaaba]"
(a|b)(a|b)+aaa+,aa||bbaaa+,"[aa, |bbaaaaa]","[abb, bb, aba, a, b, aaaaa, aabbb, |bbaaba, |bbaabb, |bbabb, |bbaaab, |bbaba, |bbba, |bbaaaaabb, |bbaaaaaba, |, |ab, |aa, |bbbb, |bab, ba, |baa]"
a+b,b+a,"[bbba, ba]","[abb, baba, bbbab, baaa, babb, a, b, aaaba, baab]"
a(a|b)a(a|b)*,((a|b)aba(a|b)*),"[bababb, aabaaa]","[baabb, aba, a, babbb, bab, b, aab, bbb, aaaaa, aabba]"
(a*ba*b)*a*ba*,(a*ba*ba*)*,"[abb, bb, bbbab, bab, abbaabb, aaabaabbb]","[ab, bbba, a, b, bbb, abbaabbb, aaabaabb, ba]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)+(0|1)(0|1)(0|1),"[1111111, 0000000]","[0, 1, 0000, 1111]"
(a|(b*bb))*,b(ab+ba+b)*,"[b, babbaaababbab, babbbbab, babbab]","[abb, bb, a, babbabba, aaaba, babbababb, babbaaaba, baab, baaa, babaa, babab, babbbba, babbabbb]"
(0*10*10*)*|0*,0*1(0*10*10*)+,"[111, 1110011, 111101, 00100100111]","[0010010011, 11, 0, 1, 11100111, 11110]"
001|1010|110,1+0+011+0+,"[1000011000, 100110, 10011110, 11100110]","[1001101, 10000100, 1011, 1110, 10011011, 1010, 011, 0, 100111101, 1, 00010, 1001, 100101, 1001100010]"
b*a*,(a)(a)*(b)(b)*(a)(a*),"[aba, abbba, aaabaaa]","[bb, ab, a, b, aaabaaabaaba, ababbb, abbbab, abab, ba]"
b*a*,[ab]*baa[ab]*b,"[bbaab, baabbbab, aababaaaabab, baabaab]","[bb, a, b, baabbbaba, aababaaaaba, baabaa]"
(ab|ba)*,aaa*bbb*(a|b)*,"[aaaabbaa, aaaabbbb, aabb]","[abb, bb, aaaabaaaba, aba, a, b, aab, aababb, ba]"
(a|b)(a|b)+aaa+,(a|b(aaa)),"[baaa, a]","[baaaa, baba, bba, baabb, baaab, babb, b, baaba, bbb, abbb, aaaa]"
a+b,a*|b,"[aaa, a, b]","[bba, ab, bab, baa, bbb, aaabaaba, abbb]"
(a|b)(a|b)+aaa+,(ab|aaa),"[aaa, ab]","[abb, bb, aba, a, aaba, b, aaaaaa, aaabbb, aabb, ba]"
a+b,a*,"[aa, a]","[b, bbb, aabaaba]"
001|1010|110,(0+1)*01(0+1)*,"[00101, 000010101, 01000101]","[0, 001, 1, 00101111, 01011, 0000101011, 00110, 0010110010, 00111, 0100010]"
(0*10*10*)*|0*,0*1(0|11)*,"[111, 1, 11111, 1110, 0010011]","[0, 001001110, 1100010, 1111, 111010, 11011]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"[bba, a, aabb, bbbb]","[baaaba, babb, b, bbb, aabbb, bbab]"
001|1010|110,(0|01),"[0, 01]","[11, 1, 0101, 0011, 0100, 0111, 000010, 10]"
(ab|ba)*,(aa)*b,"[b, aab, aaaab]","[aa, bba, aaa, a, bab, baa, bbb, abaaba, abbb, aabb]"
001|1010|110,0|0|1,"[0, 1]","[011, 110, 111, 0011, 100010, 1011, 000010, 010]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[aabbaabbb, bbbbabbb, bbbbaabbb, bbbbbaabbb, aabaabbb, aabbbbbabbb, aabbbabbb, bbbabbb, bbbaabbb, aaaababbb, aababbb, bbbbbabbb, aabbbaabbb, bbaababbb, aabbabbb, bbbbbbbabbb]","[a, b, aabbbbba, aabaa, aabab, aabbab, aabbaa, bbbbab, bbbbaa, bbbab, bbbaa, bbaaba, bbbbbaa, bbbbbab, aaaaba, aabbbab, aabbbaa, bbbbbbba]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abbbb, aabaa]","[aa, bb, a, ab, b, ababb, aaaaa, ba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,"[aaa, a]","[aa, bb, b, aab, abaaba, abbb, aaab, ba]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abbbb, aabaa]","[aa, bb, a, ab, b, ababb, aaaaa, ba]"
(ab|ba)*,a,[a],"[abb, bb, aba, b, aaaaba, aabb, ba]"
(a|(b*bb))*,(a+b)b(a+b),"[abbab, aaabbaaab]","[bb, ab, a, b, aaabaaaba, ababb, abbba, abbbb, abbabba, abbabab, abbabbb, abbaaabaa, abbabb, ba]"
001|1010|110,0,[0],"[11, 1, 0011, 000010, 010, 10]"
001|1010|110,1,[1],"[011, 110, 0, 100, 111, 101, 00010]"
