shortdescription,regex,attemptregex
Every b followed by two or more a's,(a|baa)*,((b|a)a+a*)*
even number of 1's,(0*10*10*)*|0*,0|111*
Length 1 or More,(0|1)(0|1)*,(0+|1*)|(1*|0+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*b*(aaaa*)*
Odd number of b's,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb))
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ba|a|baa)*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(10+1)*(01+0)*(10+1)*1*)|(0*(01+0)*(10+1)*(01+0)*0*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a{2,}"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a)*bb*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+(a|b)*
even prefix,(ab|ba)*,((bb)*|(aa)*)*
even prefix,(ab|ba)*,(a|b)b
even prefix,(ab|ba)*,((aa)*b)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(b*a)*
Three Choices (Regex),001|1010|110,(0|1)*01(0|1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aaa)*
Odd number of 1s,0*10*(10*10*)*,(1(11)*)|0*
even prefix,(ab|ba)*,(aa+ab+bb+ba)*
Odd number of b's,(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|a*b*)
first and third,a(a|b)a(a|b)*,a+a+b+a+(a+b)*
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1*
Odd number of b's,(a*ba*b)*a*ba*,(a|ba+a)*
At least one a followed by one b,a+b,(ab)*
Odd number of 1s,0*10*(10*10*)*,(0|(1(11))*)+
Every b followed by two or more a's,(a|baa)*,(a)*((b)+(aaa)+)*
At least one a followed by one b,a+b,(ab)+
non isolated 'b',(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*
even number of 1's,(0*10*10*)*|0*,0*0?|(0|1)11*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+(a*))|((a*)+(b*))
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+
even prefix,(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+)
Odd number of b's,(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*))
Odd number of b's,(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*
non isolated 'a',(b|(a*aa))*,(a|b)(aa)*(a|b)*
even number of 1's,(0*10*10*)*|0*,0?0|111*
Every b followed by two or more a's,(a|baa)*,(a|b)(a|b)+(aaa)+
even prefix,(ab|ba)*,(a)*(b)*|(b)*(a)*
even prefix,(ab|ba)*,(ab)*(ba)*|abbba
Odd number of b's,(a*ba*b)*a*ba*,(a|ab*b)*ba*
non isolated 'b',(a|(b*bb))*,(a|b)(a|bb)*
non isolated 'b',(a|(b*bb))*,(bb*)*
non isolated 'b',(a|(b*bb))*,b*|(a*b*)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ab*b)*a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|b){2}
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*b(aa*)b
non isolated 'b',(a|(b*bb))*,a*(bb)*(a+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+a|b+a{3}a*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((01+0)*(10+1)*)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*|b*|(ba)*
Every b followed by two or more a's,(a|baa)*,((b)(a)(a)*(a*))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a*)(b*)(a+))|((a+)(b*)(a*))
Every b followed by two or more a's,(a|baa)*,(a|b)*baaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|ba*b)*a)*)?
Odd number of b's,(a*ba*b)*a*ba*,(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a|ba*b*(baa)b
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b)))
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*0*|1*0*
Odd number of 1s,0*10*(10*10*)*,(0*10*10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*b*a*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*
non isolated 'b',(a|(b*bb))*,(bb|a)*b*
Every b followed by two or more a's,(a|baa)*,a|(b|aa*)
non isolated 'b',(a|(b*bb))*,(a+b)*(bb)*(a+b)*
Odd number of 1s,0*10*(10*10*)*,0*1+0*1*0*
Odd number of b's,(a*ba*b)*a*ba*,((aa)*[b](bb)*)?
even prefix,(ab|ba)*,(ab)*|(aa|ab|bb)*
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa)+)+|[a]*
non isolated 'b',(a|(b*bb))*,(a)*b*(b+bb)*b*(a)*
Odd number of b's,(a*ba*b)*a*ba*,b(b)*|(b)*b
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*a*b*
even prefix,(ab|ba)*,(ab+ba)(ab+ba)*(aa+bb+ab+ba)*
first and third,a(a|b)a(a|b)*,a|(a+b)|a(a+b)*
non isolated 'b',(a|(b*bb))*,a*b*a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|(((a|b)a*b)|((a|b)a*ba)*)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)|(0+1*0+)|1*|0*
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*aba(a|b)*
Every b followed by two or more a's,(a|baa)*,((a)*|(b))(a)(a)*
non isolated 'b',(a|(b*bb))*,(a)*b*(ba+ab+b)*b*(a)*
non isolated 'b',(a|(b*bb))*,b*b
non isolated 'b',(a|(b*bb))*,b*bb*
Odd number of b's,(a*ba*b)*a*ba*,a*|b(ab*ab*)*
first and third,a(a|b)a(a|b)*,aa+ba
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0*1+0*1*)+)+
Every b followed by two or more a's,(a|baa)*,(a*(baa*))
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb)*
Odd number of 1s,0*10*(10*10*)*,(0)*(111)*(1)*(0)*
Every b followed by two or more a's,(a|baa)*,a*b*aaa*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01)0*(10))*|(0*1*0*))
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*)b)*|((a|b)(a*)ba*)
